problem, nodes, solutions, fails, time, optimum
PSP1.SCH, 3949285, 21, 1974622, 545.31s, 26
PSP2.SCH, 864557, 0, 432245, timeout, none
PSP3.SCH, 8358622, 0, 4179266, timeout, none
PSP4.SCH, 4246063, 10, 2123001, timeout, 42
PSP5.SCH, 2215848, 6, 1107888, timeout, 46
PSP6.SCH, 13951396, 0, 6975656, timeout, none
PSP7.SCH, 768467, 16, 384218, 51.25s, 43
PSP8.SCH, 329099, 11, 164539, 38.91s, 40
PSP9.SCH, 54240917, 0, 27120422, timeout, none
PSP10.SCH, 394909, 8, 197447, 106.69s, 36
PSP11.SCH, 3307778, 17, 1653837, timeout, 32
PSP12.SCH, 16560011, 0, 8279950, timeout, none
PSP13.SCH, 11252297, 0, 5626099, timeout, none
PSP14.SCH, 13925929, 0, 6962908, timeout, none
PSP15.SCH, 3412237, 4, 1706066, timeout, 67
PSP16.SCH, 3225383, 12, 1612636, timeout, 36
PSP17.SCH, 1, 0, 1, 0.00s, unsat
PSP18.SCH, 2704121, 9, 1352013, timeout, 45
PSP19.SCH, 4798464, 12, 2399191, timeout, 31
PSP20.SCH, 5398931, 1, 2699410, timeout, 76
PSP21.SCH, 7529879, 0, 3764884, timeout, none
PSP22.SCH, 5238836, 6, 2619385, timeout, 38
PSP23.SCH, 9278535, 0, 4639207, timeout, none
PSP24.SCH, 8083, 6, 4036, 0.41s, 33
PSP25.SCH, 299555, 14, 149764, 27.37s, 40
PSP26.SCH, 1, 0, 1, 0.00s, unsat
PSP27.SCH, 1, 0, 1, 0.00s, unsat
PSP28.SCH, 800797, 22, 400377, 29.58s, 34
PSP29.SCH, 2712951, 6, 1356430, timeout, 43
PSP30.SCH, 3185080, 12, 1592488, timeout, 39
PSP31.SCH, 8295, 0, 4148, 7.74s, unsat
PSP32.SCH, 16865265, 0, 8432606, timeout, none
PSP33.SCH, 5394237, 3, 2697083, timeout, 72
PSP34.SCH, 3774005, 6, 1886972, timeout, 59
PSP35.SCH, 389717, 4, 194855, 31.40s, 45
PSP36.SCH, 5652775, 1, 2826387, 76.79s, 57
PSP37.SCH, 2197665, 9, 1098798, timeout, 39
PSP38.SCH, 418841, 8, 209413, 72.71s, 45
PSP39.SCH, 203121, 8, 101553, 17.42s, 50
PSP40.SCH, 25333138, 0, 12666539, timeout, none
PSP41.SCH, 15601049, 0, 7800478, timeout, none
PSP42.SCH, 26721446, 0, 13360688, timeout, none
PSP43.SCH, 28337532, 0, 14168708, timeout, none
PSP44.SCH, 3144325, 11, 1572120, timeout, 38
PSP45.SCH, 3541170, 8, 1770545, timeout, 38
