problem, nodes, solutions, fails, time, optimum
PSP1.SCH, 495825, 0, 247532, timeout, none
PSP2.SCH, 362764, 0, 180919, timeout, none
PSP3.SCH, 291901, 0, 145568, timeout, none
PSP4.SCH, 1046398, 0, 522959, timeout, none
PSP5.SCH, 356851, 0, 178190, timeout, none
PSP6.SCH, 600149, 0, 299741, timeout, none
PSP7.SCH, 1171501, 2, 585286, timeout, 171
PSP8.SCH, 337241, 0, 167922, timeout, none
PSP9.SCH, 226505, 0, 112975, timeout, none
PSP10.SCH, 568490, 0, 284127, timeout, none
PSP11.SCH, 662775, 0, 331022, timeout, none
PSP12.SCH, 767941, 0, 383632, timeout, none
PSP13.SCH, 3518931, 0, 1758830, timeout, none
PSP14.SCH, 1897185, 0, 948136, timeout, none
PSP15.SCH, 1640490, 0, 820027, timeout, none
PSP16.SCH, 529108, 1, 264233, timeout, 151
PSP17.SCH, 930866, 0, 465137, timeout, none
PSP18.SCH, 779711, 41, 389542, timeout, 112
PSP19.SCH, 5289894, 0, 2644259, timeout, none
PSP20.SCH, 497434, 0, 248464, timeout, none
PSP21.SCH, 2915437, 0, 1457226, timeout, none
PSP22.SCH, 5723334, 0, 2861050, timeout, none
PSP23.SCH, 645764, 0, 322519, timeout, none
PSP24.SCH, 2322143, 44, 1160761, timeout, 108
PSP25.SCH, 922111, 0, 460714, timeout, none
PSP26.SCH, 1030853, 104, 515323, 424.77s, 41
PSP27.SCH, 35013, 100, 17407, 10.41s, 60
PSP28.SCH, 1377367, 11, 688111, timeout, 173
PSP29.SCH, 152449, 118, 76107, 49.34s, 49
PSP30.SCH, 337725, 0, 168532, timeout, none
PSP31.SCH, 185414, 0, 92423, timeout, none
PSP32.SCH, 353969, 0, 176582, timeout, none
PSP33.SCH, 102216, 0, 50937, timeout, none
PSP34.SCH, 255605, 0, 127270, timeout, none
PSP35.SCH, 319621, 0, 159035, timeout, none
PSP36.SCH, 417785, 0, 208619, timeout, none
PSP37.SCH, 222983, 0, 111054, timeout, none
PSP38.SCH, 366239, 0, 182490, timeout, none
PSP39.SCH, 282934, 0, 141212, timeout, none
PSP40.SCH, 344131, 0, 171837, timeout, none
PSP41.SCH, 308660, 0, 153950, timeout, none
PSP42.SCH, 505204, 0, 252252, timeout, none
PSP43.SCH, 1025819, 0, 512552, timeout, none
PSP44.SCH, 355524, 0, 177299, timeout, none
PSP45.SCH, 430710, 59, 214763, timeout, 143
PSP46.SCH, 660612, 0, 329474, timeout, none
PSP47.SCH, 956379, 0, 477761, timeout, none
PSP48.SCH, 501891, 0, 250341, timeout, none
PSP49.SCH, 330252, 0, 164746, timeout, none
PSP50.SCH, 2309491, 102, 1154644, 584.96s, 57
PSP51.SCH, 52211, 122, 25984, 13.72s, 41
PSP52.SCH, 97011, 165, 48341, 27.40s, 32
PSP53.SCH, 54717, 96, 27263, 14.88s, 72
PSP54.SCH, 3010047, 0, 1504553, timeout, none
PSP55.SCH, 719322, 70, 359439, timeout, 103
PSP56.SCH, 93833, 130, 46787, 39.88s, 48
PSP57.SCH, 266661, 134, 133197, 184.27s, 48
PSP58.SCH, 494740, 0, 247074, timeout, none
PSP59.SCH, 675039, 0, 337157, timeout, none
PSP60.SCH, 1949888, 70, 974678, timeout, 83
PSP61.SCH, 231918, 0, 115692, timeout, none
PSP62.SCH, 87782, 0, 43647, timeout, none
PSP63.SCH, 257377, 0, 128346, timeout, none
PSP64.SCH, 137583, 0, 68646, timeout, none
PSP65.SCH, 161429, 0, 80155, timeout, none
PSP66.SCH, 309022, 0, 154076, timeout, none
PSP67.SCH, 193126, 0, 96216, timeout, none
PSP68.SCH, 247991, 0, 123628, timeout, none
PSP69.SCH, 201738, 0, 100585, timeout, none
PSP70.SCH, 163699, 0, 81257, timeout, none
PSP71.SCH, 253995, 0, 126502, timeout, none
PSP72.SCH, 250347, 0, 124767, timeout, none
PSP73.SCH, 680258, 0, 339697, timeout, none
PSP74.SCH, 228165, 0, 113703, timeout, none
PSP75.SCH, 813130, 1, 406169, timeout, 105
PSP76.SCH, 598967, 0, 299250, timeout, none
PSP77.SCH, 535889, 0, 267444, timeout, none
PSP78.SCH, 407366, 0, 203035, timeout, none
PSP79.SCH, 268618, 0, 134183, timeout, none
PSP80.SCH, 638197, 0, 318661, timeout, none
PSP81.SCH, 385010, 0, 192224, timeout, none
PSP82.SCH, 576951, 105, 288371, 323.83s, 35
PSP83.SCH, 811990, 0, 405406, timeout, none
PSP84.SCH, 123387, 91, 61603, 112.48s, 29
PSP85.SCH, 1600645, 0, 799976, timeout, none
PSP86.SCH, 281542, 36, 140603, timeout, 135
PSP87.SCH, 86107, 117, 42937, 95.97s, 31
PSP88.SCH, 774572, 0, 386521, timeout, none
PSP89.SCH, 38727, 94, 19270, 45.99s, 48
PSP90.SCH, 2361924, 0, 1180418, timeout, none
PSP91.SCH, 427653, 0, 213258, timeout, none
PSP92.SCH, 1807687, 0, 903639, timeout, none
PSP93.SCH, 1789555, 4, 894421, timeout, 151
PSP94.SCH, 398865, 0, 198860, timeout, none
PSP95.SCH, 707369, 0, 352953, timeout, none
PSP96.SCH, 1206253, 0, 602942, timeout, none
PSP97.SCH, 544747, 0, 272054, timeout, none
PSP98.SCH, 492051, 0, 245523, timeout, none
PSP99.SCH, 820272, 0, 409698, timeout, none
PSP100.SCH, 815034, 1, 406988, timeout, 192
PSP101.SCH, 536190, 0, 267814, timeout, none
PSP102.SCH, 423970, 0, 211766, timeout, none
PSP103.SCH, 1560929, 0, 780143, timeout, none
PSP104.SCH, 5467064, 1, 2733259, timeout, 171
PSP105.SCH, 981283, 0, 490294, timeout, none
PSP106.SCH, 603185, 0, 301514, timeout, none
PSP107.SCH, 267254, 0, 133540, timeout, none
PSP108.SCH, 439119, 0, 219365, timeout, none
PSP109.SCH, 5015854, 0, 2507313, timeout, none
PSP110.SCH, 649590, 0, 324318, timeout, none
PSP111.SCH, 3967213, 100, 1983507, 317.08s, 54
PSP112.SCH, 47731, 80, 23786, 12.96s, 90
PSP113.SCH, 2206700, 0, 1103141, timeout, none
PSP114.SCH, 9616557, 0, 4807639, timeout, none
PSP115.SCH, 509429, 154, 254561, 124.79s, 58
PSP116.SCH, 857544, 0, 428466, timeout, none
PSP117.SCH, 3586350, 0, 1792533, timeout, none
PSP118.SCH, 600622, 0, 300156, timeout, none
PSP119.SCH, 2347131, 0, 1173360, timeout, none
PSP120.SCH, 2782671, 0, 1391014, timeout, none
PSP121.SCH, 242483, 0, 120952, timeout, none
PSP122.SCH, 210070, 0, 104871, timeout, none
PSP123.SCH, 399982, 0, 199559, timeout, none
PSP124.SCH, 127036, 0, 63425, timeout, none
PSP125.SCH, 176513, 0, 87932, timeout, none
PSP126.SCH, 199288, 0, 99505, timeout, none
PSP127.SCH, 204818, 0, 102071, timeout, none
PSP128.SCH, 324127, 0, 161397, timeout, none
PSP129.SCH, 376027, 0, 187757, timeout, none
PSP130.SCH, 194471, 0, 96533, timeout, none
PSP131.SCH, 1872066, 0, 935558, timeout, none
PSP132.SCH, 38417, 0, 19209, 336.56s, unsat
PSP133.SCH, 403273, 0, 201488, timeout, none
PSP134.SCH, 241106, 0, 120415, timeout, none
PSP135.SCH, 376709, 0, 188254, timeout, none
PSP136.SCH, 1378833, 6, 688953, timeout, 240
PSP137.SCH, 1873047, 121, 936338, timeout, 93
PSP138.SCH, 1140452, 0, 569953, timeout, none
PSP139.SCH, 646369, 0, 323120, timeout, none
PSP140.SCH, 244760, 0, 122324, timeout, none
PSP141.SCH, 30885, 93, 15350, 7.51s, 75
PSP142.SCH, 221921, 152, 110809, 121.62s, 89
PSP143.SCH, 674687, 8, 336941, timeout, 217
PSP144.SCH, 970743, 0, 485254, timeout, none
PSP145.SCH, 1141383, 1, 570392, timeout, 170
PSP146.SCH, 1339745, 0, 669430, timeout, none
PSP147.SCH, 68059, 166, 33864, 19.75s, 45
PSP148.SCH, 43749, 175, 21700, 14.05s, 51
PSP149.SCH, 287213, 116, 143491, 258.90s, 64
PSP150.SCH, 481077, 0, 240027, timeout, none
PSP151.SCH, 280769, 0, 139773, timeout, none
PSP152.SCH, 121972, 0, 60941, timeout, none
PSP153.SCH, 163534, 0, 81575, timeout, none
PSP154.SCH, 129649, 0, 64173, timeout, none
PSP155.SCH, 150621, 0, 74983, timeout, none
PSP156.SCH, 637104, 0, 318392, timeout, none
PSP157.SCH, 132329, 0, 65974, timeout, none
PSP158.SCH, 89804, 0, 44690, timeout, none
PSP159.SCH, 110546, 0, 55071, timeout, none
PSP160.SCH, 226468, 0, 112933, timeout, none
PSP161.SCH, 393981, 0, 196789, timeout, none
PSP162.SCH, 631474, 0, 315663, timeout, none
PSP163.SCH, 137388, 0, 68493, timeout, none
PSP164.SCH, 433452, 0, 216476, timeout, none
PSP165.SCH, 270648, 0, 135283, timeout, none
PSP166.SCH, 584016, 0, 291669, timeout, none
PSP167.SCH, 936510, 0, 467521, timeout, none
PSP168.SCH, 331520, 0, 165494, timeout, none
PSP169.SCH, 417660, 0, 208252, timeout, none
PSP170.SCH, 789551, 0, 394299, timeout, none
PSP171.SCH, 2309565, 0, 1154565, timeout, none
PSP172.SCH, 29901, 148, 14803, 11.08s, 48
PSP173.SCH, 15117, 108, 7451, 8.32s, 81
PSP174.SCH, 57017, 162, 28347, 15.59s, 42
PSP175.SCH, 84687, 146, 42198, 27.35s, 75
PSP176.SCH, 3334870, 28, 1667257, timeout, 104
PSP177.SCH, 7789, 108, 3787, 7.16s, 39
PSP178.SCH, 51401, 189, 25512, 21.09s, 50
PSP179.SCH, 767258, 0, 383370, timeout, none
PSP180.SCH, 949108, 33, 474052, timeout, 172
PSP181.SCH, 2128500, 0, 1063969, timeout, none
PSP182.SCH, 89743, 77, 44795, 38.58s, 97
PSP183.SCH, 105829, 84, 52831, 93.18s, 124
PSP184.SCH, 1545242, 0, 772394, timeout, none
PSP185.SCH, 396962, 0, 197787, timeout, none
PSP186.SCH, 415443, 0, 207623, timeout, none
PSP187.SCH, 444080, 0, 221932, timeout, none
PSP188.SCH, 731126, 0, 365523, timeout, none
PSP189.SCH, 787602, 0, 393712, timeout, none
PSP190.SCH, 287826, 0, 143878, timeout, none
PSP191.SCH, 1983766, 0, 991562, timeout, none
PSP192.SCH, 626754, 0, 313147, timeout, none
PSP193.SCH, 433152, 0, 216496, timeout, none
PSP194.SCH, 264238, 0, 132042, timeout, none
PSP195.SCH, 6908570, 0, 3454231, timeout, none
PSP196.SCH, 1054184, 0, 526935, timeout, none
PSP197.SCH, 465277, 1, 232531, timeout, 169
PSP198.SCH, 274757, 0, 137207, timeout, none
PSP199.SCH, 3307191, 8, 1653483, timeout, 197
PSP200.SCH, 375995, 0, 187951, timeout, none
PSP201.SCH, 1911028, 2, 955299, timeout, 187
PSP202.SCH, 11411746, 0, 5705676, timeout, none
PSP203.SCH, 1305753, 0, 652574, timeout, none
PSP204.SCH, 1521187, 0, 760335, timeout, none
PSP205.SCH, 691686, 10, 345770, timeout, 177
PSP206.SCH, 9239842, 0, 4619483, timeout, none
PSP207.SCH, 6266679, 0, 3133180, timeout, none
PSP208.SCH, 23147, 102, 11472, 39.99s, 85
PSP209.SCH, 691254, 0, 345534, timeout, none
PSP210.SCH, 2425, 17, 1196, 0.89s, 139
PSP211.SCH, 392154, 0, 195762, timeout, none
PSP212.SCH, 393742, 0, 196718, timeout, none
PSP213.SCH, 197577, 0, 98551, timeout, none
PSP214.SCH, 491088, 0, 245268, timeout, none
PSP215.SCH, 324061, 0, 161819, timeout, none
PSP216.SCH, 484331, 25, 242006, timeout, 131
PSP217.SCH, 278197, 0, 139055, timeout, none
PSP218.SCH, 10427, 56, 5158, 10.94s, 147
PSP219.SCH, 176304, 0, 88053, timeout, none
PSP220.SCH, 217792, 0, 108703, timeout, none
PSP221.SCH, 318799, 0, 159371, timeout, none
PSP222.SCH, 268815, 0, 134161, timeout, none
PSP223.SCH, 610678, 0, 305209, timeout, none
PSP224.SCH, 1901132, 0, 950366, timeout, none
PSP225.SCH, 1188601, 0, 593444, timeout, none
PSP226.SCH, 238681, 0, 119245, timeout, none
PSP227.SCH, 673996, 0, 336873, timeout, none
PSP228.SCH, 200270, 0, 100069, timeout, none
PSP229.SCH, 362279, 117, 181023, 517.76s, 107
PSP230.SCH, 510962, 0, 254801, timeout, none
PSP231.SCH, 817576, 39, 408711, timeout, 128
PSP232.SCH, 2703287, 2, 1351429, timeout, 135
PSP233.SCH, 717880, 1, 358498, timeout, 166
PSP234.SCH, 349865, 0, 174603, timeout, none
PSP235.SCH, 29381, 83, 14608, 42.83s, 117
PSP236.SCH, 1145152, 0, 572419, timeout, none
PSP237.SCH, 54811, 63, 27343, 163.25s, 175
PSP238.SCH, 98361, 76, 49105, 92.61s, 64
PSP239.SCH, 606646, 0, 303265, timeout, none
PSP240.SCH, 1452065, 0, 725818, timeout, none
PSP241.SCH, 150897, 0, 75418, timeout, none
PSP242.SCH, 326835, 0, 163264, timeout, none
PSP243.SCH, 259818, 0, 129510, timeout, none
PSP244.SCH, 264548, 0, 132178, timeout, none
PSP245.SCH, 260933, 0, 130375, timeout, none
PSP246.SCH, 194408, 0, 96760, timeout, none
PSP247.SCH, 199781, 0, 99621, timeout, none
PSP248.SCH, 203288, 0, 101462, timeout, none
PSP249.SCH, 115385, 0, 57431, timeout, none
PSP250.SCH, 182586, 0, 91146, timeout, none
PSP251.SCH, 615934, 1, 307869, timeout, 142
PSP252.SCH, 1325604, 0, 662401, timeout, none
PSP253.SCH, 572168, 0, 285800, timeout, none
PSP254.SCH, 71207, 76, 35528, 190.35s, 128
PSP255.SCH, 649362, 0, 324515, timeout, none
PSP256.SCH, 376341, 0, 188051, timeout, none
PSP257.SCH, 352647, 0, 176133, timeout, none
PSP258.SCH, 830861, 0, 415367, timeout, none
PSP259.SCH, 703394, 0, 351442, timeout, none
PSP260.SCH, 436196, 0, 218006, timeout, none
PSP261.SCH, 2656988, 0, 1328237, timeout, none
PSP262.SCH, 41395, 115, 20583, 29.23s, 81
PSP263.SCH, 1470599, 6, 735215, timeout, 155
PSP264.SCH, 94391, 92, 47104, 86.11s, 78
PSP265.SCH, 404274, 0, 202044, timeout, none
PSP266.SCH, 1558622, 1, 778516, timeout, 233
PSP267.SCH, 447337, 0, 223517, timeout, none
PSP268.SCH, 317035, 0, 158420, timeout, none
PSP269.SCH, 683013, 0, 341286, timeout, none
PSP270.SCH, 3200407, 0, 1599902, timeout, none
