problem, nodes, solutions, fails, time, optimum
PSP1.SCH, 153839, 0, 76913, timeout, none
PSP2.SCH, 64299, 0, 32146, timeout, none
PSP3.SCH, 62467, 0, 31229, timeout, none
PSP4.SCH, 76499, 0, 38243, timeout, none
PSP5.SCH, 224189, 0, 112085, timeout, none
PSP6.SCH, 144948, 0, 72467, timeout, none
PSP7.SCH, 359, 7, 173, 2.84s, 65
PSP8.SCH, 146328, 1, 73157, timeout, 77
PSP9.SCH, 65736, 0, 32863, timeout, none
PSP10.SCH, 124957, 0, 62473, timeout, none
PSP11.SCH, 590697, 3, 295341, timeout, 66
PSP12.SCH, 67920, 0, 33956, timeout, none
PSP13.SCH, 681452, 1, 340719, timeout, 61
PSP14.SCH, 241924, 0, 120954, timeout, none
PSP15.SCH, 190873, 7, 95427, timeout, 94
PSP16.SCH, 463918, 3, 231952, timeout, 51
PSP17.SCH, 926419, 1, 463201, timeout, 49
PSP18.SCH, 17627, 3, 8811, 32.07s, 39
PSP19.SCH, 754280, 2, 377129, timeout, 42
PSP20.SCH, 263026, 0, 131506, timeout, none
PSP21.SCH, 1102228, 1, 551105, timeout, 33
PSP22.SCH, 1070238, 1, 535111, timeout, 44
PSP23.SCH, 68212, 0, 34100, timeout, none
PSP24.SCH, 209, 3, 102, 2.54s, 47
PSP25.SCH, 683037, 1, 341513, timeout, 30
PSP26.SCH, 57, 1, 28, 0.88s, 41
PSP27.SCH, 75, 1, 37, 1.20s, 60
PSP28.SCH, 1018583, 3, 509283, timeout, 39
PSP29.SCH, 37, 1, 18, 1.02s, 49
PSP30.SCH, 218664, 1, 109328, timeout, 52
PSP31.SCH, 44230, 0, 22110, timeout, none
PSP32.SCH, 38937, 0, 19465, timeout, none
PSP33.SCH, 15823, 0, 7910, timeout, none
PSP34.SCH, 205707, 1, 102846, timeout, 95
PSP35.SCH, 167283, 1, 83633, timeout, 116
PSP36.SCH, 207603, 2, 103792, timeout, 78
PSP37.SCH, 21606, 0, 10801, timeout, none
PSP38.SCH, 183384, 1, 91683, timeout, 107
PSP39.SCH, 43576, 0, 21781, timeout, none
PSP40.SCH, 185443, 1, 92715, timeout, 96
PSP41.SCH, 58231, 0, 29108, timeout, none
PSP42.SCH, 975515, 1, 487748, timeout, 50
PSP43.SCH, 109125, 0, 54556, timeout, none
PSP44.SCH, 89472, 0, 44732, timeout, none
PSP45.SCH, 10889, 9, 5436, 31.47s, 37
PSP46.SCH, 685172, 1, 342576, timeout, 60
PSP47.SCH, 60929, 0, 30460, timeout, none
PSP48.SCH, 288189, 2, 144087, timeout, 53
PSP49.SCH, 66375, 0, 33181, timeout, none
PSP50.SCH, 733, 5, 362, 4.79s, 57
PSP51.SCH, 49323, 3, 24659, 72.66s, 41
PSP52.SCH, 179, 2, 88, 2.50s, 32
