problem, nodes, solutions, fails, time, optimum
PSP1.SCH, 1, 0, 1, 0.01s, unsat
PSP2.SCH, 1, 0, 1, 0.01s, unsat
PSP3.SCH, 1, 0, 1, 0.01s, unsat
PSP4.SCH, 1, 0, 1, 0.01s, unsat
PSP5.SCH, 1, 0, 1, 0.01s, unsat
PSP6.SCH, 1, 0, 1, 0.01s, unsat
PSP7.SCH, 81760, 6, 40853, timeout, 67
PSP8.SCH, 70228, 0, 35088, timeout, none
PSP9.SCH, 1, 0, 1, 0.01s, unsat
PSP10.SCH, 1, 0, 1, 0.01s, unsat
PSP11.SCH, 76066, 0, 38004, timeout, none
PSP12.SCH, 1, 0, 1, 0.01s, unsat
PSP13.SCH, 75790, 0, 37868, timeout, none
PSP14.SCH, 75317, 0, 37628, timeout, none
PSP15.SCH, 73720, 0, 36839, timeout, none
PSP16.SCH, 77427, 0, 38685, timeout, none
PSP17.SCH, 77176, 0, 38557, timeout, none
PSP18.SCH, 69490, 0, 34725, timeout, none
PSP19.SCH, 78308, 0, 39116, timeout, none
PSP20.SCH, 1, 0, 1, 0.01s, unsat
PSP21.SCH, 77342, 0, 38629, timeout, none
PSP22.SCH, 79761, 0, 39832, timeout, none
PSP23.SCH, 1, 0, 1, 0.01s, unsat
PSP24.SCH, 77786, 1, 38856, timeout, 50
PSP25.SCH, 76357, 2, 38153, timeout, 30
PSP26.SCH, 7199, 4, 3596, 55.74s, 41
PSP27.SCH, 173, 2, 85, 1.13s, 60
PSP28.SCH, 76470, 0, 38207, timeout, none
PSP29.SCH, 77344, 0, 38634, timeout, none
PSP30.SCH, 73711, 2, 36838, timeout, 52
PSP31.SCH, 1, 0, 1, 0.01s, unsat
PSP32.SCH, 66228, 0, 33100, timeout, none
PSP33.SCH, 1, 0, 1, 0.01s, unsat
PSP34.SCH, 71157, 0, 35560, timeout, none
PSP35.SCH, 55077, 0, 27521, timeout, none
PSP36.SCH, 61769, 0, 30867, timeout, none
PSP37.SCH, 52806, 0, 26387, timeout, none
PSP38.SCH, 54395, 0, 27177, timeout, none
PSP39.SCH, 64605, 0, 32285, timeout, none
PSP40.SCH, 69473, 0, 34721, timeout, none
PSP41.SCH, 1, 0, 1, 0.01s, unsat
PSP42.SCH, 71710, 0, 35826, timeout, none
PSP43.SCH, 1, 0, 1, 0.01s, unsat
PSP44.SCH, 1, 0, 1, 0.01s, unsat
PSP45.SCH, 74422, 0, 37168, timeout, none
PSP46.SCH, 76534, 0, 38227, timeout, none
PSP47.SCH, 73687, 0, 36822, timeout, none
PSP48.SCH, 77142, 0, 38532, timeout, none
PSP49.SCH, 1, 0, 1, 0.01s, unsat
PSP50.SCH, 76031, 0, 37979, timeout, none
PSP51.SCH, 72611, 0, 36272, timeout, none
PSP52.SCH, 81136, 0, 40524, timeout, none
PSP53.SCH, 14465, 3, 7230, 108.80s, 72
PSP54.SCH, 77335, 0, 38627, timeout, none
PSP55.SCH, 72299, 0, 36125, timeout, none
PSP56.SCH, 74058, 0, 37004, timeout, none
PSP57.SCH, 79775, 0, 39861, timeout, none
PSP58.SCH, 73789, 0, 36863, timeout, none
PSP59.SCH, 82397, 0, 41156, timeout, none
PSP60.SCH, 74796, 0, 37365, timeout, none
PSP61.SCH, 1, 0, 1, 0.01s, unsat
PSP62.SCH, 1, 0, 1, 0.01s, unsat
PSP63.SCH, 1, 0, 1, 0.01s, unsat
PSP64.SCH, 1, 0, 1, 0.01s, unsat
PSP65.SCH, 55565, 0, 27767, timeout, none
PSP66.SCH, 1, 0, 1, 0.01s, unsat
PSP67.SCH, 1, 0, 1, 0.01s, unsat
PSP68.SCH, 68159, 0, 34065, timeout, none
PSP69.SCH, 1, 0, 1, 0.01s, unsat
PSP70.SCH, 61040, 0, 30506, timeout, none
PSP71.SCH, 69269, 0, 34607, timeout, none
PSP72.SCH, 67692, 0, 33822, timeout, none
PSP73.SCH, 71838, 0, 35894, timeout, none
PSP74.SCH, 72329, 0, 36148, timeout, none
PSP75.SCH, 67955, 0, 33948, timeout, none
PSP76.SCH, 72780, 0, 36362, timeout, none
PSP77.SCH, 72340, 0, 36144, timeout, none
PSP78.SCH, 72372, 0, 36151, timeout, none
PSP79.SCH, 73875, 0, 36914, timeout, none
PSP80.SCH, 73080, 0, 36514, timeout, none
PSP81.SCH, 72858, 2, 36402, timeout, 43
PSP82.SCH, 70814, 0, 35388, timeout, none
PSP83.SCH, 74522, 0, 37223, timeout, none
PSP84.SCH, 82384, 0, 41161, timeout, none
PSP85.SCH, 69459, 1, 34705, timeout, 42
PSP86.SCH, 74892, 0, 37422, timeout, none
PSP87.SCH, 71507, 2, 35723, timeout, 35
PSP88.SCH, 73089, 0, 36511, timeout, none
PSP89.SCH, 76766, 0, 38356, timeout, none
PSP90.SCH, 77923, 0, 38922, timeout, none
PSP91.SCH, 68512, 0, 34242, timeout, none
PSP92.SCH, 1, 0, 1, 0.01s, unsat
PSP93.SCH, 73287, 2, 36624, timeout, 60
PSP94.SCH, 1, 0, 1, 0.01s, unsat
PSP95.SCH, 60828, 0, 30396, timeout, none
PSP96.SCH, 66392, 1, 33179, timeout, 67
PSP97.SCH, 74780, 0, 37370, timeout, none
PSP98.SCH, 72683, 0, 36328, timeout, none
PSP99.SCH, 1, 0, 1, 0.01s, unsat
PSP100.SCH, 74303, 0, 37133, timeout, none
PSP101.SCH, 75967, 0, 37968, timeout, none
PSP102.SCH, 76410, 0, 38181, timeout, none
PSP103.SCH, 315, 2, 156, 2.63s, 97
PSP104.SCH, 75747, 0, 37843, timeout, none
PSP105.SCH, 77797, 0, 38868, timeout, none
PSP106.SCH, 1, 0, 1, 0.00s, unsat
PSP107.SCH, 1, 0, 1, 0.01s, unsat
PSP108.SCH, 1, 0, 1, 0.01s, unsat
PSP109.SCH, 76793, 0, 38359, timeout, none
PSP110.SCH, 72383, 0, 36166, timeout, none
PSP111.SCH, 74424, 0, 37192, timeout, none
PSP112.SCH, 137, 2, 67, 0.84s, 90
PSP113.SCH, 78256, 0, 39104, timeout, none
PSP114.SCH, 76025, 0, 37973, timeout, none
PSP115.SCH, 76132, 0, 38024, timeout, none
PSP116.SCH, 77382, 0, 38665, timeout, none
PSP117.SCH, 84689, 1, 42318, timeout, 39
PSP118.SCH, 1, 0, 1, 0.00s, unsat
PSP119.SCH, 15263, 2, 7630, 117.19s, 102
PSP120.SCH, 76584, 0, 38266, timeout, none
PSP121.SCH, 1, 0, 1, 0.01s, unsat
PSP122.SCH, 1, 0, 1, 0.01s, unsat
PSP123.SCH, 67944, 0, 33956, timeout, none
