problem, nodes, solutions, fails, time, optimum
PSP1.SCH, 30872, 0, 15069, timeout, none
PSP2.SCH, 17717, 0, 8355, timeout, none
PSP3.SCH, 11458, 0, 5316, timeout, none
PSP4.SCH, 42034, 0, 20774, timeout, none
PSP5.SCH, 13936, 0, 6731, timeout, none
PSP6.SCH, 9071, 0, 4198, timeout, none
PSP7.SCH, 49730, 0, 24401, timeout, none
PSP8.SCH, 11961, 0, 5276, timeout, none
PSP9.SCH, 7591, 0, 3530, timeout, none
PSP10.SCH, 20181, 0, 9982, timeout, none
PSP11.SCH, 25034, 0, 12161, timeout, none
PSP12.SCH, 46071, 0, 22686, timeout, none
PSP13.SCH, 60853, 0, 29783, timeout, none
PSP14.SCH, 62744, 0, 30895, timeout, none
PSP15.SCH, 25858, 0, 12713, timeout, none
PSP16.SCH, 28529, 0, 13936, timeout, none
PSP17.SCH, 49726, 0, 24561, timeout, none
PSP18.SCH, 34300, 1, 16741, timeout, 152
PSP19.SCH, 166229, 0, 82419, timeout, none
PSP20.SCH, 24354, 0, 11922, timeout, none
PSP21.SCH, 89534, 0, 44267, timeout, none
PSP22.SCH, 172401, 0, 85581, timeout, none
PSP23.SCH, 28542, 0, 13902, timeout, none
PSP24.SCH, 92548, 1, 45879, timeout, 151
PSP25.SCH, 60492, 0, 29900, timeout, none
PSP26.SCH, 84870, 8, 41982, timeout, 137
PSP27.SCH, 35013, 100, 17407, 282.35s, 60
PSP28.SCH, 21678, 0, 10243, timeout, none
PSP29.SCH, 101336, 78, 50434, timeout, 89
PSP30.SCH, 17843, 0, 8583, timeout, none
PSP31.SCH, 11667, 0, 5550, timeout, none
PSP32.SCH, 20057, 0, 9629, timeout, none
PSP33.SCH, 5737, 0, 2649, timeout, none
PSP34.SCH, 10343, 0, 4604, timeout, none
PSP35.SCH, 7748, 0, 3080, timeout, none
PSP36.SCH, 21212, 0, 10339, timeout, none
PSP37.SCH, 8349, 0, 3712, timeout, none
PSP38.SCH, 18197, 0, 8444, timeout, none
PSP39.SCH, 14824, 0, 7154, timeout, none
PSP40.SCH, 12136, 0, 5841, timeout, none
PSP41.SCH, 14032, 0, 6634, timeout, none
PSP42.SCH, 27528, 0, 13415, timeout, none
PSP43.SCH, 47539, 0, 23410, timeout, none
PSP44.SCH, 20207, 0, 9642, timeout, none
PSP45.SCH, 17888, 2, 8123, timeout, 200
PSP46.SCH, 24346, 0, 11343, timeout, none
PSP47.SCH, 59169, 0, 29158, timeout, none
