problem, nodes, solutions, fails, time, optimum
PSP1.SCH, 129966, 0, 64947, timeout, none
PSP2.SCH, 22865, 0, 11421, timeout, none
PSP3.SCH, 921, 0, 461, 109.69s, unsat
PSP4.SCH, 83379, 0, 41674, timeout, none
PSP5.SCH, 22642, 0, 11306, timeout, none
PSP6.SCH, 63159, 0, 31556, timeout, none
PSP7.SCH, 149, 1, 74, 3.67s, 65
PSP8.SCH, 119213, 1, 59560, timeout, 118
PSP9.SCH, 15489, 0, 7740, timeout, none
PSP10.SCH, 38486, 0, 19222, timeout, none
PSP11.SCH, 40782, 0, 20383, timeout, none
PSP12.SCH, 29385, 0, 14674, timeout, none
PSP13.SCH, 91588, 1, 45768, timeout, 62
PSP14.SCH, 107414, 0, 53677, timeout, none
PSP15.SCH, 76709, 0, 38326, timeout, none
PSP16.SCH, 39424, 0, 19699, timeout, none
PSP17.SCH, 68671, 2, 34312, timeout, 49
PSP18.SCH, 88945, 0, 44456, timeout, none
PSP19.SCH, 243430, 0, 121662, timeout, none
PSP20.SCH, 34078, 0, 17026, timeout, none
PSP21.SCH, 275691, 0, 137791, timeout, none
PSP22.SCH, 843, 3, 419, 9.89s, 39
PSP23.SCH, 46411, 0, 23192, timeout, none
PSP24.SCH, 211, 1, 105, 2.92s, 47
PSP25.SCH, 91524, 3, 45736, timeout, 32
PSP26.SCH, 4909, 4, 2451, 24.47s, 41
PSP27.SCH, 193, 1, 96, 3.23s, 60
PSP28.SCH, 183959, 0, 91948, timeout, none
PSP29.SCH, 267, 3, 131, 3.31s, 49
PSP30.SCH, 57697, 2, 28827, timeout, 52
PSP31.SCH, 11368, 0, 5667, timeout, none
PSP32.SCH, 207053, 0, 103494, timeout, none
PSP33.SCH, 17895, 0, 8933, timeout, none
PSP34.SCH, 37032, 0, 18501, timeout, none
PSP35.SCH, 23854, 0, 11903, timeout, none
PSP36.SCH, 34230, 8, 17085, timeout, 81
PSP37.SCH, 4973, 0, 2482, timeout, none
PSP38.SCH, 6832, 0, 3406, timeout, none
PSP39.SCH, 12424, 0, 6192, timeout, none
PSP40.SCH, 15493, 0, 7717, timeout, none
PSP41.SCH, 69307, 0, 34635, timeout, none
PSP42.SCH, 49000, 4, 24468, timeout, 50
PSP43.SCH, 29163, 0, 14565, timeout, none
PSP44.SCH, 15132, 0, 7548, timeout, none
PSP45.SCH, 90899, 2, 45423, timeout, 49
PSP46.SCH, 69465, 1, 34701, timeout, 65
PSP47.SCH, 84321, 1, 42136, timeout, 91
PSP48.SCH, 39945, 0, 19955, timeout, none
PSP49.SCH, 18897, 0, 9441, timeout, none
PSP50.SCH, 113188, 3, 56565, timeout, 60
PSP51.SCH, 1029, 1, 514, 12.41s, 41
PSP52.SCH, 561, 4, 277, 6.51s, 32
PSP53.SCH, 195, 1, 97, 3.09s, 72
PSP54.SCH, 141873, 1, 70902, timeout, 53
PSP55.SCH, 170104, 0, 85021, timeout, none
PSP56.SCH, 305, 2, 151, 5.50s, 48
PSP57.SCH, 207, 2, 102, 4.15s, 48
PSP58.SCH, 61899, 1, 30926, timeout, 63
PSP59.SCH, 939, 4, 466, 18.17s, 42
PSP60.SCH, 287160, 0, 143537, timeout, none
PSP61.SCH, 9033, 0, 4511, timeout, none
PSP62.SCH, 15244, 0, 7612, timeout, none
PSP63.SCH, 14332, 0, 7162, timeout, none
PSP64.SCH, 13339, 0, 6663, timeout, none
PSP65.SCH, 22396, 5, 11181, timeout, 92
PSP66.SCH, 163, 0, 82, 51.60s, unsat
PSP67.SCH, 7095, 0, 3542, timeout, none
PSP68.SCH, 119715, 2, 59828, timeout, 99
PSP69.SCH, 10997, 0, 5478, timeout, none
PSP70.SCH, 29072, 0, 14517, timeout, none
PSP71.SCH, 79666, 1, 39806, timeout, 68
PSP72.SCH, 50570, 3, 25257, timeout, 65
PSP73.SCH, 48281, 0, 24119, timeout, none
PSP74.SCH, 116263, 7, 58103, timeout, 70
PSP75.SCH, 287247, 0, 143585, timeout, none
PSP76.SCH, 118839, 1, 59383, timeout, 71
PSP77.SCH, 40968, 1, 20462, timeout, 49
PSP78.SCH, 50385, 3, 25166, timeout, 43
PSP79.SCH, 122118, 1, 61041, timeout, 92
PSP80.SCH, 79218, 3, 39589, timeout, 29
PSP81.SCH, 49855, 3, 24906, timeout, 44
PSP82.SCH, 75983, 2, 37973, timeout, 38
PSP83.SCH, 70137, 7, 35039, timeout, 42
PSP84.SCH, 90491, 7, 45239, 348.45s, 29
PSP85.SCH, 5825, 2, 2911, 40.71s, 36
PSP86.SCH, 12303, 3, 6149, 159.32s, 49
PSP87.SCH, 26165, 4, 13079, 99.62s, 31
PSP88.SCH, 91688, 4, 45828, timeout, 36
PSP89.SCH, 599, 3, 297, 6.63s, 48
PSP90.SCH, 163714, 1, 81827, timeout, 41
PSP91.SCH, 35333, 1, 17647, timeout, 80
PSP92.SCH, 125761, 0, 62858, timeout, none
PSP93.SCH, 85629, 0, 42793, timeout, none
PSP94.SCH, 8143, 0, 4044, timeout, none
PSP95.SCH, 39453, 0, 19713, timeout, none
PSP96.SCH, 71784, 0, 35876, timeout, none
PSP97.SCH, 164769, 0, 82342, timeout, none
PSP98.SCH, 16335, 0, 8150, timeout, none
PSP99.SCH, 16632, 0, 8309, timeout, none
PSP100.SCH, 7379, 1, 3689, 84.10s, 63
PSP101.SCH, 20631, 4, 10312, 154.92s, 71
PSP102.SCH, 104981, 4, 52462, timeout, 72
PSP103.SCH, 59033, 2, 29515, 567.80s, 97
PSP104.SCH, 95876, 1, 47911, timeout, 58
PSP105.SCH, 137278, 0, 68619, timeout, none
PSP106.SCH, 20633, 0, 10299, timeout, none
PSP107.SCH, 19103, 0, 9534, timeout, none
PSP108.SCH, 51043, 0, 25489, timeout, none
PSP109.SCH, 30317, 0, 15135, timeout, none
PSP110.SCH, 78813, 3, 39383, timeout, 122
PSP111.SCH, 261, 2, 129, 5.48s, 54
PSP112.SCH, 189, 2, 93, 3.45s, 90
PSP113.SCH, 1713, 1, 856, 19.39s, 60
PSP114.SCH, 329, 3, 162, 17.91s, 54
PSP115.SCH, 341, 3, 168, 5.07s, 58
PSP116.SCH, 76134, 0, 38055, timeout, none
PSP117.SCH, 135589, 1, 67778, timeout, 40
PSP118.SCH, 45816, 0, 22880, timeout, none
PSP119.SCH, 1431, 1, 715, 25.89s, 102
PSP120.SCH, 132351, 1, 66155, timeout, 33
PSP121.SCH, 22825, 0, 11395, timeout, none
PSP122.SCH, 19240, 0, 9615, timeout, none
PSP123.SCH, 38033, 1, 18996, timeout, 82
PSP124.SCH, 147, 0, 74, 16.08s, unsat
PSP125.SCH, 15234, 0, 7599, timeout, none
PSP126.SCH, 9796, 0, 4890, timeout, none
PSP127.SCH, 40355, 0, 20150, timeout, none
PSP128.SCH, 114123, 0, 57029, timeout, none
PSP129.SCH, 15612, 0, 7792, timeout, none
