problem, nodes, solutions, fails, time, optimum
PSP1.SCH, 1, 0, 1, 0.01s, unsat
PSP2.SCH, 1, 0, 1, 0.01s, unsat
PSP3.SCH, 1, 0, 1, 0.01s, unsat
PSP4.SCH, 1, 0, 1, 0.01s, unsat
PSP5.SCH, 1, 0, 1, 0.01s, unsat
PSP6.SCH, 1, 0, 1, 0.01s, unsat
PSP7.SCH, 287, 3, 141, 1.85s, 65
PSP8.SCH, 162004, 0, 80994, timeout, none
PSP9.SCH, 1, 0, 1, 0.01s, unsat
PSP10.SCH, 1, 0, 1, 0.01s, unsat
PSP11.SCH, 125683, 0, 62835, timeout, none
PSP12.SCH, 1, 0, 1, 0.01s, unsat
PSP13.SCH, 125570, 0, 62778, timeout, none
PSP14.SCH, 92397, 0, 46193, timeout, none
PSP15.SCH, 77579, 0, 38785, timeout, none
PSP16.SCH, 122526, 0, 61256, timeout, none
PSP17.SCH, 105805, 0, 52896, timeout, none
PSP18.SCH, 92969, 0, 46481, timeout, none
PSP19.SCH, 110038, 0, 55013, timeout, none
PSP20.SCH, 1, 0, 1, 0.01s, unsat
PSP21.SCH, 259463, 0, 129724, timeout, none
PSP22.SCH, 134678, 1, 67333, timeout, 39
PSP23.SCH, 1, 0, 1, 0.01s, unsat
PSP24.SCH, 315983, 4, 157982, timeout, 48
PSP25.SCH, 143380, 0, 71685, timeout, none
PSP26.SCH, 383, 3, 189, 2.10s, 41
PSP27.SCH, 49, 1, 24, 0.25s, 60
PSP28.SCH, 97933, 0, 48961, timeout, none
PSP29.SCH, 93, 1, 46, 0.38s, 49
PSP30.SCH, 86981, 1, 43486, timeout, 58
PSP31.SCH, 1, 0, 1, 0.01s, unsat
PSP32.SCH, 71873, 0, 35932, timeout, none
PSP33.SCH, 1, 0, 1, 0.01s, unsat
PSP34.SCH, 106336, 5, 53158, timeout, 100
PSP35.SCH, 80392, 0, 40191, timeout, none
PSP36.SCH, 95812, 7, 47894, timeout, 93
PSP37.SCH, 83211, 0, 41601, timeout, none
PSP38.SCH, 80745, 0, 40367, timeout, none
PSP39.SCH, 138611, 0, 69299, timeout, none
PSP40.SCH, 123667, 0, 61827, timeout, none
PSP41.SCH, 1, 0, 1, 0.01s, unsat
PSP42.SCH, 150169, 0, 75077, timeout, none
PSP43.SCH, 1, 0, 1, 0.01s, unsat
PSP44.SCH, 1, 0, 1, 0.01s, unsat
PSP45.SCH, 100792, 0, 50391, timeout, none
PSP46.SCH, 106836, 0, 53412, timeout, none
PSP47.SCH, 95376, 0, 47682, timeout, none
PSP48.SCH, 124821, 0, 62404, timeout, none
PSP49.SCH, 1, 0, 1, 0.01s, unsat
PSP50.SCH, 101071, 0, 50529, timeout, none
PSP51.SCH, 173725, 0, 86856, timeout, none
PSP52.SCH, 126904, 0, 63445, timeout, none
PSP53.SCH, 87, 2, 42, 0.44s, 72
PSP54.SCH, 69, 1, 34, 0.28s, 47
PSP55.SCH, 102971, 0, 51480, timeout, none
PSP56.SCH, 99985, 0, 49987, timeout, none
PSP57.SCH, 87831, 0, 43911, timeout, none
PSP58.SCH, 96453, 4, 48219, timeout, 68
PSP59.SCH, 103719, 4, 51851, timeout, 57
PSP60.SCH, 83, 1, 41, 0.43s, 40
PSP61.SCH, 1, 0, 1, 0.01s, unsat
PSP62.SCH, 1, 0, 1, 0.01s, unsat
PSP63.SCH, 1, 0, 1, 0.01s, unsat
PSP64.SCH, 1, 0, 1, 0.01s, unsat
PSP65.SCH, 110623, 0, 55306, timeout, none
PSP66.SCH, 1, 0, 1, 0.01s, unsat
PSP67.SCH, 1, 0, 1, 0.01s, unsat
PSP68.SCH, 78050, 10, 39011, timeout, 103
PSP69.SCH, 1, 0, 1, 0.01s, unsat
PSP70.SCH, 104865, 0, 52427, timeout, none
PSP71.SCH, 87401, 0, 43695, timeout, none
PSP72.SCH, 166869, 0, 83428, timeout, none
PSP73.SCH, 137206, 0, 68596, timeout, none
PSP74.SCH, 81963, 0, 40977, timeout, none
PSP75.SCH, 110908, 0, 55447, timeout, none
PSP76.SCH, 290396, 0, 145190, timeout, none
PSP77.SCH, 71513, 0, 35752, timeout, none
PSP78.SCH, 88616, 0, 44303, timeout, none
PSP79.SCH, 107754, 0, 53871, timeout, none
PSP80.SCH, 69029, 0, 34510, timeout, none
PSP81.SCH, 156367, 0, 78179, timeout, none
PSP82.SCH, 119890, 0, 59940, timeout, none
PSP83.SCH, 2835, 2, 1416, 15.71s, 41
PSP84.SCH, 115443, 0, 57716, timeout, none
PSP85.SCH, 80547, 6, 40264, timeout, 39
PSP86.SCH, 86265, 0, 43128, timeout, none
PSP87.SCH, 97641, 1, 48814, timeout, 38
PSP88.SCH, 121524, 0, 60757, timeout, none
PSP89.SCH, 150752, 0, 75370, timeout, none
PSP90.SCH, 112183, 0, 56085, timeout, none
PSP91.SCH, 77940, 0, 38967, timeout, none
PSP92.SCH, 1, 0, 1, 0.01s, unsat
PSP93.SCH, 84650, 0, 42321, timeout, none
PSP94.SCH, 1, 0, 1, 0.01s, unsat
PSP95.SCH, 78549, 0, 39270, timeout, none
PSP96.SCH, 90589, 0, 45289, timeout, none
PSP97.SCH, 81660, 0, 40825, timeout, none
PSP98.SCH, 87654, 0, 43823, timeout, none
PSP99.SCH, 1, 0, 1, 0.01s, unsat
PSP100.SCH, 111483, 0, 55736, timeout, none
PSP101.SCH, 96045, 0, 48017, timeout, none
PSP102.SCH, 82603, 0, 41296, timeout, none
PSP103.SCH, 5709, 1, 2854, 48.80s, 97
PSP104.SCH, 121296, 0, 60642, timeout, none
PSP105.SCH, 87992, 0, 43991, timeout, none
PSP106.SCH, 1, 0, 1, 0.00s, unsat
PSP107.SCH, 1, 0, 1, 0.01s, unsat
PSP108.SCH, 1, 0, 1, 0.01s, unsat
PSP109.SCH, 106661, 2, 53325, timeout, 44
PSP110.SCH, 112683, 0, 56336, timeout, none
PSP111.SCH, 90969, 0, 45480, timeout, none
PSP112.SCH, 199, 5, 95, 0.95s, 90
PSP113.SCH, 132644, 0, 66316, timeout, none
PSP114.SCH, 77310, 1, 38650, timeout, 54
PSP115.SCH, 143, 1, 71, 0.64s, 58
PSP116.SCH, 97233, 1, 48612, timeout, 73
PSP117.SCH, 86035, 3, 43010, timeout, 39
PSP118.SCH, 1, 0, 1, 0.00s, unsat
PSP119.SCH, 61, 1, 30, 0.18s, 102
PSP120.SCH, 117176, 0, 58583, timeout, none
PSP121.SCH, 1, 0, 1, 0.01s, unsat
PSP122.SCH, 1, 0, 1, 0.01s, unsat
