problem, nodes, solutions, fails, time, optimum
PSP1.SCH, 2449016, 0, 1224175, timeout, none
PSP2.SCH, 1487917, 0, 743610, timeout, none
PSP3.SCH, 686482, 0, 342897, timeout, none
PSP4.SCH, 1667690, 0, 833528, timeout, none
PSP5.SCH, 1277093, 0, 638240, timeout, none
PSP6.SCH, 392000, 0, 195710, timeout, none
PSP7.SCH, 744816, 0, 372078, timeout, none
PSP8.SCH, 338081, 0, 168732, timeout, none
PSP9.SCH, 7846880, 0, 3923148, timeout, none
PSP10.SCH, 29449688, 0, 14724555, timeout, none
PSP11.SCH, 117006, 0, 58049, timeout, none
PSP12.SCH, 704798, 0, 351928, timeout, none
PSP13.SCH, 973039, 0, 486101, timeout, none
PSP14.SCH, 6576329, 0, 3287697, timeout, none
PSP15.SCH, 35892040, 0, 17945544, timeout, none
PSP16.SCH, 108547, 0, 53818, timeout, none
PSP17.SCH, 1351342, 0, 675230, timeout, none
PSP18.SCH, 11240642, 0, 5619883, timeout, none
PSP19.SCH, 9608950, 0, 4804027, timeout, none
PSP20.SCH, 4450487, 98, 2224667, timeout, 129
PSP21.SCH, 929849, 0, 464450, timeout, none
PSP22.SCH, 664000, 0, 331525, timeout, none
PSP23.SCH, 7786419, 0, 3892735, timeout, none
PSP24.SCH, 180424, 0, 89751, timeout, none
PSP25.SCH, 2136583, 0, 1067822, timeout, none
PSP26.SCH, 761458, 0, 380257, timeout, none
PSP27.SCH, 1655100, 0, 827084, timeout, none
PSP28.SCH, 873086, 0, 436075, timeout, none
PSP29.SCH, 2103798, 2, 1051421, timeout, 160
PSP30.SCH, 1725698, 0, 862373, timeout, none
PSP31.SCH, 140714, 0, 70213, timeout, none
PSP32.SCH, 30427313, 0, 15213466, timeout, none
PSP33.SCH, 34011802, 0, 17005693, timeout, none
PSP34.SCH, 1046493, 0, 523082, timeout, none
PSP35.SCH, 260409, 0, 130016, timeout, none
PSP36.SCH, 30566975, 0, 15283287, timeout, none
PSP37.SCH, 18722893, 0, 9361288, timeout, none
PSP38.SCH, 1710784, 0, 855199, timeout, none
PSP39.SCH, 138778, 0, 69199, timeout, none
PSP40.SCH, 3697467, 70, 1848489, timeout, 169
PSP41.SCH, 21839682, 0, 10919359, timeout, none
PSP42.SCH, 28758316, 0, 14378687, timeout, none
PSP43.SCH, 1039280, 0, 519173, timeout, none
PSP44.SCH, 1338223, 0, 668773, timeout, none
PSP45.SCH, 7364411, 0, 3681726, timeout, none
PSP46.SCH, 26914966, 0, 13456999, timeout, none
PSP47.SCH, 74728, 0, 36904, timeout, none
PSP48.SCH, 33920666, 0, 16959846, timeout, none
PSP49.SCH, 1596911, 0, 798019, timeout, none
PSP50.SCH, 1099120, 0, 549104, timeout, none
PSP51.SCH, 21170234, 0, 10584634, timeout, none
PSP52.SCH, 5512724, 0, 2755884, timeout, none
PSP53.SCH, 3661218, 0, 1830131, timeout, none
PSP54.SCH, 446460, 0, 222758, timeout, none
PSP55.SCH, 35890592, 0, 17944817, timeout, none
PSP56.SCH, 17297449, 0, 8648242, timeout, none
PSP57.SCH, 1809032, 0, 904044, timeout, none
PSP58.SCH, 45360, 0, 22213, timeout, none
PSP59.SCH, 49807, 0, 24441, timeout, none
PSP60.SCH, 31303141, 0, 15651089, timeout, none
PSP61.SCH, 4538531, 0, 2269173, timeout, none
PSP62.SCH, 517777, 0, 258817, timeout, none
PSP63.SCH, 1303869, 0, 651841, timeout, none
PSP64.SCH, 27521820, 0, 13760834, timeout, none
PSP65.SCH, 37261874, 0, 18630853, timeout, none
PSP66.SCH, 12894703, 0, 6447280, timeout, none
PSP67.SCH, 15656446, 0, 7828106, timeout, none
PSP68.SCH, 29439762, 0, 14719799, timeout, none
PSP69.SCH, 7066028, 0, 3532947, timeout, none
PSP70.SCH, 1984977, 0, 992408, timeout, none
PSP71.SCH, 21700350, 0, 10849695, timeout, none
PSP72.SCH, 1382513, 0, 690799, timeout, none
PSP73.SCH, 35520774, 0, 17759904, timeout, none
PSP74.SCH, 15970622, 0, 7984832, timeout, none
PSP75.SCH, 36254095, 0, 18126567, timeout, none
PSP76.SCH, 21828439, 0, 10913739, timeout, none
PSP77.SCH, 31697462, 0, 15848247, timeout, none
PSP78.SCH, 5789373, 0, 2894210, timeout, none
PSP79.SCH, 3215697, 0, 1607368, timeout, none
PSP80.SCH, 18568801, 0, 9283918, timeout, none
PSP81.SCH, 37129779, 0, 18564404, timeout, none
PSP82.SCH, 2650241, 0, 1324648, timeout, none
PSP83.SCH, 3830616, 0, 1914828, timeout, none
PSP84.SCH, 2728964, 0, 1364007, timeout, none
PSP85.SCH, 1073147, 0, 536098, timeout, none
PSP86.SCH, 413582, 0, 206319, timeout, none
PSP87.SCH, 21791706, 0, 10895372, timeout, none
PSP88.SCH, 26418409, 0, 13208721, timeout, none
PSP89.SCH, 1381814, 0, 690433, timeout, none
PSP90.SCH, 1354550, 0, 676799, timeout, none
PSP91.SCH, 32727588, 0, 16363478, timeout, none
PSP92.SCH, 3318504, 0, 1658944, timeout, none
PSP93.SCH, 1646927, 0, 823140, timeout, none
PSP94.SCH, 7185114, 0, 3592274, timeout, none
PSP95.SCH, 10071100, 0, 5035211, timeout, none
PSP96.SCH, 1449500, 0, 724403, timeout, none
PSP97.SCH, 35447019, 0, 17723152, timeout, none
PSP98.SCH, 630075, 0, 314732, timeout, none
PSP99.SCH, 71778, 0, 35616, timeout, none
PSP100.SCH, 34105601, 0, 17052490, timeout, none
PSP101.SCH, 484750, 0, 241979, timeout, none
PSP102.SCH, 34353228, 0, 17176148, timeout, none
PSP103.SCH, 4825508, 1, 2412301, timeout, 170
PSP104.SCH, 5814368, 0, 2906835, timeout, none
PSP105.SCH, 33284882, 0, 16641963, timeout, none
PSP106.SCH, 7133767, 0, 3566473, timeout, none
PSP107.SCH, 37392860, 0, 18695960, timeout, none
PSP108.SCH, 1049763, 0, 524437, timeout, none
PSP109.SCH, 251544, 0, 125352, timeout, none
PSP110.SCH, 4145797, 0, 2072503, timeout, none
PSP111.SCH, 734685, 0, 366966, timeout, none
PSP112.SCH, 49712, 0, 24397, timeout, none
PSP113.SCH, 27400108, 0, 13699569, timeout, none
PSP114.SCH, 35813189, 0, 17906115, timeout, none
PSP115.SCH, 4887269, 0, 2443164, timeout, none
PSP116.SCH, 34351242, 0, 17175135, timeout, none
PSP117.SCH, 36511760, 0, 18255418, timeout, none
PSP118.SCH, 29605723, 0, 14802381, timeout, none
PSP119.SCH, 479609, 0, 239332, timeout, none
PSP120.SCH, 3752403, 0, 1875772, timeout, none
PSP121.SCH, 213949, 0, 106798, timeout, none
PSP122.SCH, 3389204, 0, 1694419, timeout, none
PSP123.SCH, 40443579, 0, 20221587, timeout, none
PSP124.SCH, 38367028, 0, 19183329, timeout, none
PSP125.SCH, 352083, 0, 175831, timeout, none
PSP126.SCH, 697050, 0, 348312, timeout, none
PSP127.SCH, 632900, 0, 316296, timeout, none
PSP128.SCH, 36408280, 0, 18203912, timeout, none
PSP129.SCH, 35631782, 0, 17815736, timeout, none
PSP130.SCH, 714818, 0, 357205, timeout, none
PSP131.SCH, 38711769, 0, 19355404, timeout, none
PSP132.SCH, 1031676, 0, 515410, timeout, none
PSP133.SCH, 5057693, 0, 2528398, timeout, none
PSP134.SCH, 4900227, 152, 2449478, timeout, 181
PSP135.SCH, 103582, 0, 51404, timeout, none
PSP136.SCH, 9266541, 0, 4632811, timeout, none
PSP137.SCH, 76297, 0, 37783, timeout, none
PSP138.SCH, 30669523, 0, 15334302, timeout, none
PSP139.SCH, 8540047, 0, 4269621, timeout, none
PSP140.SCH, 78504, 0, 38787, timeout, none
PSP141.SCH, 5473575, 0, 2736357, timeout, none
PSP142.SCH, 8994635, 0, 4496837, timeout, none
PSP143.SCH, 6446295, 62, 3222603, timeout, 186
PSP144.SCH, 1125531, 0, 562292, timeout, none
PSP145.SCH, 197703, 0, 98382, timeout, none
PSP146.SCH, 593507, 0, 296296, timeout, none
PSP147.SCH, 19319076, 0, 9659053, timeout, none
PSP148.SCH, 808782, 0, 403946, timeout, none
PSP149.SCH, 15088041, 0, 7543544, timeout, none
PSP150.SCH, 8031809, 0, 4015512, timeout, none
PSP151.SCH, 37917999, 0, 18958896, timeout, none
PSP152.SCH, 936449, 0, 468100, timeout, none
PSP153.SCH, 3925055, 97, 1962330, timeout, 194
PSP154.SCH, 5463217, 2, 2731501, timeout, 148
PSP155.SCH, 35844572, 0, 17922186, timeout, none
PSP156.SCH, 917664, 0, 458767, timeout, none
PSP157.SCH, 456267, 0, 228073, timeout, none
PSP158.SCH, 1281599, 0, 640720, timeout, none
PSP159.SCH, 27943353, 0, 13971581, timeout, none
PSP160.SCH, 1519845, 0, 759850, timeout, none
PSP161.SCH, 17249768, 0, 8624554, timeout, none
PSP162.SCH, 36997300, 0, 18498164, timeout, none
PSP163.SCH, 4703953, 1, 2351494, timeout, 147
PSP164.SCH, 2224114, 0, 1111751, timeout, none
PSP165.SCH, 31445402, 0, 15722221, timeout, none
PSP166.SCH, 10161946, 0, 5080556, timeout, none
PSP167.SCH, 11351780, 0, 5675413, timeout, none
PSP168.SCH, 30414243, 0, 15206640, timeout, none
PSP169.SCH, 2907586, 0, 1453450, timeout, none
PSP170.SCH, 23674140, 0, 11836641, timeout, none
PSP171.SCH, 6037017, 0, 3018035, timeout, none
PSP172.SCH, 20894199, 0, 10446616, timeout, none
PSP173.SCH, 31552658, 0, 15775851, timeout, none
PSP174.SCH, 28509633, 0, 14254336, timeout, none
PSP175.SCH, 61460, 0, 30267, timeout, none
PSP176.SCH, 22575959, 0, 11287501, timeout, none
