problem, nodes, solutions, fails, time, optimum
PSP1.SCH, 26621, 0, 13286, timeout, none
PSP2.SCH, 23695, 0, 11813, timeout, none
PSP3.SCH, 25349, 0, 12646, timeout, none
PSP4.SCH, 17855, 0, 8895, timeout, none
PSP5.SCH, 19430, 0, 9694, timeout, none
PSP6.SCH, 19948, 0, 9951, timeout, none
PSP7.SCH, 25561, 0, 12751, timeout, none
PSP8.SCH, 18938, 0, 9442, timeout, none
PSP9.SCH, 19335, 0, 9648, timeout, none
PSP10.SCH, 17808, 0, 8877, timeout, none
PSP11.SCH, 32016, 0, 15973, timeout, none
PSP12.SCH, 24074, 0, 12000, timeout, none
PSP13.SCH, 28032, 0, 13975, timeout, none
PSP14.SCH, 29437, 0, 14674, timeout, none
PSP15.SCH, 27794, 0, 13856, timeout, none
PSP16.SCH, 31720, 0, 15818, timeout, none
PSP17.SCH, 25207, 0, 12571, timeout, none
PSP18.SCH, 29527, 0, 14727, timeout, none
PSP19.SCH, 29080, 0, 14510, timeout, none
PSP20.SCH, 27300, 0, 13600, timeout, none
PSP21.SCH, 46616, 0, 23261, timeout, none
PSP22.SCH, 321, 3, 158, 9.35s, 78
PSP23.SCH, 33981, 0, 16953, timeout, none
PSP24.SCH, 32872, 0, 16401, timeout, none
PSP25.SCH, 27175, 0, 13557, timeout, none
PSP26.SCH, 31940, 0, 15937, timeout, none
PSP27.SCH, 28827, 0, 14374, timeout, none
PSP28.SCH, 22205, 2, 11101, 420.37s, 87
PSP29.SCH, 33402, 0, 16661, timeout, none
PSP30.SCH, 305, 2, 151, 9.53s, 66
PSP31.SCH, 20613, 0, 10290, timeout, none
PSP32.SCH, 16997, 0, 8473, timeout, none
PSP33.SCH, 19715, 0, 9829, timeout, none
PSP34.SCH, 16567, 0, 8268, timeout, none
PSP35.SCH, 15450, 0, 7697, timeout, none
PSP36.SCH, 21685, 0, 10822, timeout, none
PSP37.SCH, 20765, 0, 10352, timeout, none
PSP38.SCH, 21860, 0, 10892, timeout, none
PSP39.SCH, 16684, 0, 8320, timeout, none
PSP40.SCH, 16109, 0, 8021, timeout, none
PSP41.SCH, 30366, 0, 15140, timeout, none
PSP42.SCH, 27815, 0, 13864, timeout, none
PSP43.SCH, 24748, 0, 12343, timeout, none
PSP44.SCH, 19854, 0, 9908, timeout, none
PSP45.SCH, 24520, 0, 12228, timeout, none
PSP46.SCH, 29684, 0, 14807, timeout, none
PSP47.SCH, 28832, 0, 14377, timeout, none
PSP48.SCH, 29549, 0, 14728, timeout, none
PSP49.SCH, 25162, 0, 12563, timeout, none
PSP50.SCH, 27769, 0, 13855, timeout, none
PSP51.SCH, 29456, 0, 14679, timeout, none
PSP52.SCH, 35656, 2, 17781, timeout, 84
PSP53.SCH, 29116, 0, 14518, timeout, none
PSP54.SCH, 34675, 0, 17284, timeout, none
PSP55.SCH, 30425, 0, 15172, timeout, none
PSP56.SCH, 5831, 1, 2915, 103.36s, 61
PSP57.SCH, 28974, 2, 14447, timeout, 73
PSP58.SCH, 32744, 0, 16332, timeout, none
PSP59.SCH, 29131, 0, 14537, timeout, none
PSP60.SCH, 27678, 0, 13807, timeout, none
PSP61.SCH, 19263, 0, 9612, timeout, none
PSP62.SCH, 17287, 0, 8622, timeout, none
PSP63.SCH, 18590, 0, 9269, timeout, none
PSP64.SCH, 19222, 0, 9575, timeout, none
PSP65.SCH, 14716, 0, 7324, timeout, none
PSP66.SCH, 16663, 0, 8312, timeout, none
PSP67.SCH, 19614, 0, 9770, timeout, none
PSP68.SCH, 18201, 0, 9072, timeout, none
PSP69.SCH, 15031, 0, 7496, timeout, none
PSP70.SCH, 22955, 0, 11461, timeout, none
PSP71.SCH, 28567, 0, 14253, timeout, none
PSP72.SCH, 22188, 0, 11069, timeout, none
PSP73.SCH, 23156, 0, 11540, timeout, none
PSP74.SCH, 22465, 0, 11188, timeout, none
PSP75.SCH, 24663, 0, 12304, timeout, none
PSP76.SCH, 23198, 0, 11570, timeout, none
PSP77.SCH, 27230, 0, 13573, timeout, none
PSP78.SCH, 26428, 0, 13182, timeout, none
PSP79.SCH, 29552, 0, 14733, timeout, none
PSP80.SCH, 27162, 0, 13544, timeout, none
PSP81.SCH, 3665, 2, 1831, 63.25s, 36
PSP82.SCH, 25394, 0, 12668, timeout, none
PSP83.SCH, 935, 2, 466, 22.65s, 56
PSP84.SCH, 245, 1, 122, 7.41s, 51
PSP85.SCH, 363, 1, 181, 11.83s, 54
PSP86.SCH, 30603, 0, 15263, timeout, none
PSP87.SCH, 397, 2, 197, 14.11s, 66
PSP88.SCH, 34582, 2, 17235, timeout, 70
PSP89.SCH, 26958, 0, 13451, timeout, none
PSP90.SCH, 10415, 1, 5207, 165.12s, 87
PSP91.SCH, 16849, 0, 8393, timeout, none
PSP92.SCH, 18579, 0, 9276, timeout, none
PSP93.SCH, 19898, 0, 9928, timeout, none
PSP94.SCH, 22380, 0, 11172, timeout, none
PSP95.SCH, 22808, 0, 11384, timeout, none
PSP96.SCH, 20908, 0, 10431, timeout, none
