problem, nodes, solutions, fails, time, optimum
PSP1.SCH, 13577, 0, 6784, timeout, none
PSP2.SCH, 17251, 0, 8617, timeout, none
PSP3.SCH, 44467, 0, 22226, timeout, none
PSP4.SCH, 39163, 0, 19574, timeout, none
PSP5.SCH, 17157, 0, 8574, timeout, none
PSP6.SCH, 10756, 0, 5373, timeout, none
PSP7.SCH, 22684, 0, 11336, timeout, none
PSP8.SCH, 23363, 0, 11674, timeout, none
PSP9.SCH, 25077, 0, 12532, timeout, none
PSP10.SCH, 14487, 0, 7238, timeout, none
PSP11.SCH, 43804, 0, 21894, timeout, none
PSP12.SCH, 37430, 0, 18708, timeout, none
PSP13.SCH, 47371, 0, 23678, timeout, none
PSP14.SCH, 47088, 0, 23538, timeout, none
PSP15.SCH, 46716, 0, 23350, timeout, none
PSP16.SCH, 52305, 0, 26143, timeout, none
PSP17.SCH, 51790, 0, 25886, timeout, none
PSP18.SCH, 15916, 0, 7951, timeout, none
PSP19.SCH, 39378, 0, 19682, timeout, none
PSP20.SCH, 61000, 0, 30491, timeout, none
PSP21.SCH, 64595, 0, 32291, timeout, none
PSP22.SCH, 247, 4, 120, 12.72s, 78
PSP23.SCH, 58869, 0, 29427, timeout, none
PSP24.SCH, 45811, 0, 22898, timeout, none
PSP25.SCH, 49805, 0, 24895, timeout, none
PSP26.SCH, 41681, 0, 20834, timeout, none
PSP27.SCH, 104819, 0, 52403, timeout, none
PSP28.SCH, 77535, 0, 38760, timeout, none
PSP29.SCH, 72904, 0, 36443, timeout, none
PSP30.SCH, 137, 1, 68, 8.54s, 66
PSP31.SCH, 9659, 0, 4824, timeout, none
PSP32.SCH, 23678, 0, 11831, timeout, none
PSP33.SCH, 24604, 0, 12296, timeout, none
PSP34.SCH, 17303, 0, 8644, timeout, none
PSP35.SCH, 121747, 0, 60865, timeout, none
PSP36.SCH, 32205, 0, 16097, timeout, none
PSP37.SCH, 19848, 0, 9916, timeout, none
PSP38.SCH, 49446, 0, 24714, timeout, none
PSP39.SCH, 10699, 0, 5343, timeout, none
PSP40.SCH, 79788, 0, 39885, timeout, none
PSP41.SCH, 45045, 0, 22511, timeout, none
PSP42.SCH, 63254, 0, 31619, timeout, none
PSP43.SCH, 33617, 0, 16803, timeout, none
PSP44.SCH, 25176, 0, 12582, timeout, none
PSP45.SCH, 69323, 0, 34652, timeout, none
PSP46.SCH, 37707, 0, 18846, timeout, none
PSP47.SCH, 43382, 0, 21683, timeout, none
PSP48.SCH, 68074, 0, 34026, timeout, none
PSP49.SCH, 45368, 0, 22679, timeout, none
PSP50.SCH, 8300, 0, 4146, timeout, none
PSP51.SCH, 747, 4, 370, 21.92s, 71
PSP52.SCH, 45125, 0, 22555, timeout, none
PSP53.SCH, 60857, 0, 30419, timeout, none
PSP54.SCH, 39329, 2, 19656, timeout, 40
PSP55.SCH, 50126, 0, 25056, timeout, none
PSP56.SCH, 77244, 2, 38611, timeout, 62
PSP57.SCH, 59012, 0, 29497, timeout, none
PSP58.SCH, 45283, 0, 22634, timeout, none
PSP59.SCH, 36676, 0, 18331, timeout, none
PSP60.SCH, 34933, 0, 17462, timeout, none
PSP61.SCH, 15509, 0, 7751, timeout, none
PSP62.SCH, 17700, 0, 8841, timeout, none
PSP63.SCH, 14378, 0, 7183, timeout, none
PSP64.SCH, 19862, 0, 9925, timeout, none
PSP65.SCH, 18974, 4, 9475, timeout, 198
PSP66.SCH, 23250, 0, 11618, timeout, none
PSP67.SCH, 35610, 1, 17794, timeout, 146
PSP68.SCH, 27400, 0, 13693, timeout, none
PSP69.SCH, 22111, 0, 11049, timeout, none
PSP70.SCH, 27598, 0, 13793, timeout, none
PSP71.SCH, 37466, 2, 18725, timeout, 67
PSP72.SCH, 33588, 0, 16788, timeout, none
PSP73.SCH, 37976, 0, 18980, timeout, none
PSP74.SCH, 77135, 0, 38558, timeout, none
PSP75.SCH, 34766, 0, 17377, timeout, none
PSP76.SCH, 33825, 0, 16906, timeout, none
PSP77.SCH, 62425, 0, 31205, timeout, none
PSP78.SCH, 38499, 0, 19242, timeout, none
PSP79.SCH, 53179, 0, 26580, timeout, none
PSP80.SCH, 61610, 0, 30796, timeout, none
PSP81.SCH, 505, 1, 252, 7.38s, 36
PSP82.SCH, 42201, 0, 21095, timeout, none
PSP83.SCH, 179, 3, 87, 14.92s, 56
