problem, nodes, solutions, fails, time, optimum
PSP1.SCH, 25232, 0, 12611, timeout, none
PSP2.SCH, 14862, 0, 7427, timeout, none
PSP3.SCH, 13133, 0, 6559, timeout, none
PSP4.SCH, 13282, 0, 6632, timeout, none
PSP5.SCH, 8174, 0, 4083, timeout, none
PSP6.SCH, 6138, 0, 3066, timeout, none
PSP7.SCH, 48546, 0, 24265, timeout, none
PSP8.SCH, 3879, 0, 1938, timeout, none
PSP9.SCH, 3779, 0, 1882, timeout, none
PSP10.SCH, 15950, 0, 7973, timeout, none
PSP11.SCH, 1023, 117, 395, 72.19s, 62
PSP12.SCH, 19216, 0, 9601, timeout, none
PSP13.SCH, 3397, 3, 1688, timeout, 244
PSP14.SCH, 463, 1, 231, 12.53s, 69
PSP15.SCH, 8009, 0, 3994, timeout, none
PSP16.SCH, 17975, 84, 8894, timeout, 131
PSP17.SCH, 12943, 0, 6463, timeout, none
PSP18.SCH, 14680, 0, 7331, timeout, none
PSP19.SCH, 7238, 0, 3613, timeout, none
PSP20.SCH, 62531, 6, 31246, timeout, 34
PSP21.SCH, 42376, 124, 21053, timeout, 54
PSP22.SCH, 28344, 59, 14102, timeout, 206
PSP23.SCH, 9476, 67, 4662, timeout, 60
PSP24.SCH, 7324, 0, 3657, timeout, none
PSP25.SCH, 16107, 2, 8052, 204.83s, 78
PSP26.SCH, 3812, 0, 1900, timeout, none
PSP27.SCH, 8023, 0, 4004, timeout, none
PSP28.SCH, 52446, 0, 26215, timeout, none
PSP29.SCH, 47, 1, 23, 6.43s, 62
PSP30.SCH, 187, 2, 92, 10.16s, 66
PSP31.SCH, 17201, 0, 8599, timeout, none
PSP32.SCH, 4536, 0, 2263, timeout, none
PSP33.SCH, 9507, 0, 4750, timeout, none
PSP34.SCH, 3779, 0, 1888, timeout, none
PSP35.SCH, 29158, 0, 14570, timeout, none
PSP36.SCH, 32291, 0, 16139, timeout, none
PSP37.SCH, 23408, 0, 11693, timeout, none
PSP38.SCH, 73047, 0, 36511, timeout, none
