problem, nodes, solutions, fails, time, optimum
psp1.sch, 1, 0, 1, 0.62s, unsat
psp2.sch, 2359, 0, 1159, timeout, none
psp3.sch, 1, 0, 1, 1.34s, unsat
psp4.sch, 2132, 0, 1030, timeout, none
psp5.sch, 3, 0, 2, 1.55s, unsat
psp6.sch, 2955, 0, 1454, timeout, none
psp7.sch, 1757, 0, 863, timeout, none
psp8.sch, 2189, 0, 1069, timeout, none
psp9.sch, 7, 0, 4, 3.40s, unsat
psp10.sch, 1794, 0, 873, timeout, none
psp11.sch, 3236, 0, 1601, timeout, none
psp12.sch, 3345, 0, 1622, timeout, none
psp13.sch, 3374, 0, 1650, timeout, none
psp14.sch, 3608, 0, 1763, timeout, none
psp15.sch, 11895, 0, 5811, timeout, none
psp16.sch, 4151, 0, 1987, timeout, none
psp17.sch, 4570, 0, 2197, timeout, none
psp18.sch, 2618, 1, 1279, timeout, 306
psp19.sch, 3340, 0, 1622, timeout, none
psp20.sch, 3790, 0, 1825, timeout, none
psp21.sch, 815, 1, 407, 109.97s, 262
psp22.sch, 3279, 0, 1628, timeout, none
psp23.sch, 5389, 0, 2573, timeout, none
psp24.sch, 509, 1, 254, 65.32s, 192
psp25.sch, 1161, 1, 580, 126.47s, 194
psp26.sch, 621, 1, 310, 75.84s, 178
psp27.sch, 3984, 0, 1902, timeout, none
psp28.sch, 739, 1, 369, 85.86s, 240
psp29.sch, 681, 1, 340, 102.98s, 284
psp30.sch, 655, 1, 327, 99.45s, 196
psp31.sch, 1, 0, 1, 0.64s, unsat
psp32.sch, 3573, 0, 1715, timeout, none
psp33.sch, 3248, 0, 1582, timeout, none
psp34.sch, 2634, 0, 1287, timeout, none
psp35.sch, 7, 0, 4, 2.87s, unsat
psp36.sch, 2189, 0, 1084, timeout, none
psp37.sch, 2552, 0, 1241, timeout, none
psp38.sch, 3273, 0, 1617, timeout, none
psp39.sch, 2976, 0, 1433, timeout, none
psp40.sch, 3071, 0, 1523, timeout, none
psp41.sch, 9198, 0, 4469, timeout, none
psp42.sch, 3535, 0, 1727, timeout, none
psp43.sch, 3448, 0, 1694, timeout, none
psp44.sch, 5605, 0, 2735, timeout, none
psp45.sch, 3186, 0, 1564, timeout, none
psp46.sch, 3301, 0, 1632, timeout, none
psp47.sch, 3215, 0, 1589, timeout, none
psp48.sch, 3682, 0, 1779, timeout, none
psp49.sch, 3647, 0, 1784, timeout, none
psp50.sch, 3597, 0, 1739, timeout, none
psp51.sch, 4606, 0, 2215, timeout, none
psp52.sch, 3322, 1, 1549, timeout, 306
psp53.sch, 3749, 1, 1732, timeout, 189
psp54.sch, 783, 1, 391, 109.36s, 352
psp55.sch, 1481, 2, 739, 211.91s, 247
psp56.sch, 3436, 0, 1685, timeout, none
psp57.sch, 5059, 0, 2445, timeout, none
psp58.sch, 1029, 1, 514, 116.42s, 317
psp59.sch, 4320, 4, 2087, timeout, 257
psp60.sch, 3359, 0, 1660, timeout, none
psp61.sch, 3953, 0, 1944, timeout, none
psp62.sch, 3260, 0, 1617, timeout, none
psp63.sch, 1, 0, 1, 0.66s, unsat
psp64.sch, 2300, 0, 1123, timeout, none
psp65.sch, 3196, 0, 1551, timeout, none
psp66.sch, 1, 0, 1, 0.66s, unsat
psp67.sch, 2441, 0, 1161, timeout, none
psp68.sch, 4544, 0, 2250, timeout, none
psp69.sch, 3, 0, 2, 1.69s, unsat
psp70.sch, 3008, 0, 1451, timeout, none
psp71.sch, 3145, 0, 1551, timeout, none
psp72.sch, 1, 0, 1, 0.67s, unsat
psp73.sch, 4029, 0, 1966, timeout, none
psp74.sch, 3008, 0, 1467, timeout, none
psp75.sch, 4019, 2, 1926, timeout, 566
psp76.sch, 3835, 2, 1827, timeout, 411
psp77.sch, 3502, 0, 1705, timeout, none
psp78.sch, 3292, 0, 1596, timeout, none
psp79.sch, 3319, 0, 1652, timeout, none
psp80.sch, 3470, 0, 1708, timeout, none
psp81.sch, 3345, 0, 1639, timeout, none
psp82.sch, 3303, 0, 1628, timeout, none
psp83.sch, 853, 1, 426, 122.45s, 243
psp84.sch, 3543, 0, 1732, timeout, none
psp85.sch, 3507, 0, 1743, timeout, none
psp86.sch, 4629, 1, 2253, timeout, 531
psp87.sch, 24164, 0, 11946, timeout, none
psp88.sch, 3729, 0, 1813, timeout, none
psp89.sch, 1053, 2, 525, 148.79s, 374
psp90.sch, 1007, 2, 502, 141.93s, 476
