problem, nodes, solutions, fails, time, optimum
j301_1.sm, 4412514, 0, 2205801, timeout, none
j301_2.sm, 14522973, 0, 7261039, timeout, none
j301_3.sm, 15042957, 0, 7521014, timeout, none
j301_4.sm, 16925625, 0, 8462353, timeout, none
j301_5.sm, 5596465, 0, 2797778, timeout, none
j301_6.sm, 8640776, 0, 4319938, timeout, none
j301_7.sm, 5389494, 0, 2694300, timeout, none
j301_8.sm, 21948909, 0, 10973993, timeout, none
j301_9.sm, 5065922, 0, 2532508, timeout, none
j301_10.sm, 4743644, 0, 2371369, timeout, none
j302_1.sm, 4290352, 0, 2144711, timeout, none
j302_2.sm, 5891621, 0, 2945342, timeout, none
j302_3.sm, 4748903, 0, 2373981, timeout, none
j302_4.sm, 7724217, 0, 3861638, timeout, none
j302_5.sm, 6678117, 0, 3338588, timeout, none
j302_6.sm, 5515562, 0, 2757310, timeout, none
j302_7.sm, 6614682, 0, 3306875, timeout, none
j302_8.sm, 5902481, 0, 2950783, timeout, none
j302_9.sm, 6663115, 0, 3331088, timeout, none
j302_10.sm, 5636687, 0, 2817874, timeout, none
j303_1.sm, 8359339, 0, 4179197, timeout, none
j303_2.sm, 3610985, 0, 1805017, timeout, none
j303_3.sm, 6948279, 0, 3473671, timeout, none
j303_4.sm, 7271065, 0, 3635090, timeout, none
j303_5.sm, 9611924, 0, 4805493, timeout, none
j303_6.sm, 4679178, 0, 2339124, timeout, none
j303_7.sm, 5961857, 0, 2980457, timeout, none
j303_8.sm, 6504547, 0, 3251809, timeout, none
j303_9.sm, 4687366, 0, 2343215, timeout, none
j303_10.sm, 5616809, 0, 2807929, timeout, none
j304_1.sm, 6423650, 0, 3211353, timeout, none
j304_2.sm, 9979409, 0, 4989239, timeout, none
j304_3.sm, 9623929, 0, 4811498, timeout, none
j304_4.sm, 8553734, 0, 4276395, timeout, none
j304_5.sm, 8247445, 0, 4123253, timeout, none
j304_6.sm, 4972461, 0, 2485753, timeout, none
j304_7.sm, 5975070, 0, 2987054, timeout, none
j304_8.sm, 8584024, 0, 4291534, timeout, none
j304_9.sm, 4495017, 0, 2247038, timeout, none
j304_10.sm, 5934184, 0, 2966630, timeout, none
j305_1.sm, 6575692, 0, 3287420, timeout, none
j305_2.sm, 17039604, 0, 8519376, timeout, none
j305_3.sm, 5401008, 0, 2700102, timeout, none
j305_4.sm, 4848136, 0, 2423634, timeout, none
j305_5.sm, 13041583, 0, 6520376, timeout, none
j305_6.sm, 6362303, 0, 3180729, timeout, none
j305_7.sm, 4668752, 0, 2333951, timeout, none
j305_8.sm, 4386700, 0, 2192959, timeout, none
j305_9.sm, 8562859, 0, 4280977, timeout, none
j305_10.sm, 8033229, 0, 4016198, timeout, none
j306_1.sm, 5663808, 0, 2831434, timeout, none
j306_2.sm, 6519863, 0, 3259474, timeout, none
j306_3.sm, 9504389, 0, 4751717, timeout, none
j306_4.sm, 4044353, 0, 2021701, timeout, none
j306_5.sm, 7211055, 0, 3605064, timeout, none
j306_6.sm, 4512841, 0, 2255948, timeout, none
j306_7.sm, 4272131, 0, 2135601, timeout, none
j306_8.sm, 4697287, 0, 2348175, timeout, none
j306_9.sm, 7495795, 0, 3747450, timeout, none
j306_10.sm, 10647234, 0, 5323148, timeout, none
j307_1.sm, 7894439, 0, 3946746, timeout, none
j307_2.sm, 9863426, 0, 4931242, timeout, none
j307_3.sm, 4271759, 0, 2135402, timeout, none
j307_4.sm, 15015145, 0, 7507100, timeout, none
j307_5.sm, 5201564, 0, 2600304, timeout, none
j307_6.sm, 5331015, 0, 2665029, timeout, none
j307_7.sm, 6308341, 0, 3153698, timeout, none
j307_8.sm, 5150628, 0, 2574857, timeout, none
j307_9.sm, 4288674, 0, 2143864, timeout, none
j307_10.sm, 4593230, 0, 2296143, timeout, none
j308_1.sm, 6382228, 0, 3190636, timeout, none
j308_2.sm, 6047795, 0, 3023419, timeout, none
j308_3.sm, 4116647, 0, 2057847, timeout, none
j308_4.sm, 8112347, 0, 4055694, timeout, none
j308_5.sm, 8236794, 0, 4117918, timeout, none
j308_6.sm, 9309859, 0, 4654449, timeout, none
j308_7.sm, 5383216, 0, 2691129, timeout, none
j308_8.sm, 14924813, 0, 7461928, timeout, none
j308_9.sm, 5174613, 0, 2586827, timeout, none
j308_10.sm, 7675265, 0, 3837154, timeout, none
j309_1.sm, 4792142, 0, 2395697, timeout, none
j309_2.sm, 7310340, 0, 3654790, timeout, none
j309_3.sm, 4278054, 0, 2138637, timeout, none
j309_4.sm, 5913521, 0, 2956366, timeout, none
j309_5.sm, 4966843, 0, 2483051, timeout, none
j309_6.sm, 5132616, 0, 2565887, timeout, none
j309_7.sm, 7762864, 0, 3881008, timeout, none
j309_8.sm, 5241919, 0, 2620572, timeout, none
j309_9.sm, 6604972, 0, 3302101, timeout, none
j309_10.sm, 5257202, 0, 2628212, timeout, none
j3010_1.sm, 8202568, 0, 4100804, timeout, none
j3010_2.sm, 8892906, 0, 4445973, timeout, none
j3010_3.sm, 8814036, 0, 4406542, timeout, none
j3010_4.sm, 6664655, 0, 3331849, timeout, none
j3010_5.sm, 5003896, 0, 2501468, timeout, none
j3010_6.sm, 6364544, 0, 3181796, timeout, none
j3010_7.sm, 6113379, 0, 3056210, timeout, none
j3010_8.sm, 6613656, 0, 3306351, timeout, none
j3010_9.sm, 4144839, 0, 2071941, timeout, none
j3010_10.sm, 5463437, 0, 2731240, timeout, none
j3011_1.sm, 5379502, 0, 2689279, timeout, none
j3011_2.sm, 8820672, 0, 4409857, timeout, none
j3011_3.sm, 6271219, 0, 3135130, timeout, none
j3011_4.sm, 7463545, 0, 3731295, timeout, none
j3011_5.sm, 4385123, 0, 2192082, timeout, none
j3011_6.sm, 15567802, 0, 7783421, timeout, none
j3011_7.sm, 4047719, 0, 2023379, timeout, none
j3011_8.sm, 6005720, 0, 3002380, timeout, none
j3011_9.sm, 4198890, 0, 2098970, timeout, none
j3011_10.sm, 18003396, 0, 9001218, timeout, none
j3012_1.sm, 6402576, 0, 3200808, timeout, none
