problem, nodes, solutions, fails, time, optimum
j301_1.sm, 1762099, 0, 880860, timeout, none
j301_2.sm, 4346660, 0, 2173126, timeout, none
j301_3.sm, 3270410, 0, 1635019, timeout, none
j301_4.sm, 2380824, 0, 1190176, timeout, none
j301_5.sm, 3085043, 0, 1542374, timeout, none
j301_6.sm, 3391964, 0, 1695837, timeout, none
j301_7.sm, 2658287, 0, 1328927, timeout, none
j301_8.sm, 4082164, 0, 2040908, timeout, none
j301_9.sm, 2824684, 0, 1412154, timeout, none
j301_10.sm, 1773117, 0, 886377, timeout, none
j302_1.sm, 1897405, 0, 948526, timeout, none
j302_2.sm, 34059, 131, 16899, 26.60s, 51
j302_3.sm, 20089, 132, 9913, 9.87s, 43
j302_4.sm, 8258837, 0, 4129211, timeout, none
j302_5.sm, 3384896, 0, 1692227, timeout, none
j302_6.sm, 26743, 99, 13273, 9.04s, 47
j302_7.sm, 28849, 106, 14319, 9.21s, 47
j302_8.sm, 5993431, 0, 2996492, timeout, none
j302_9.sm, 22805, 139, 11264, 26.33s, 54
j302_10.sm, 18747, 109, 9265, 15.44s, 43
j303_1.sm, 54287, 133, 27011, 18.21s, 72
j303_2.sm, 20005, 103, 9900, 9.00s, 40
j303_3.sm, 44657, 120, 22209, 14.65s, 57
j303_4.sm, 1089341, 1, 544506, timeout, 190
j303_5.sm, 2291329, 4, 1145467, timeout, 177
j303_6.sm, 42905, 110, 21343, 18.42s, 54
j303_7.sm, 27601, 100, 13701, 7.82s, 48
j303_8.sm, 37789, 101, 18794, 11.07s, 54
j303_9.sm, 1661493, 0, 830569, timeout, none
j303_10.sm, 3700068, 0, 1849809, timeout, none
j304_1.sm, 16941, 93, 8378, 5.04s, 49
j304_2.sm, 4013642, 11, 2006566, timeout, 154
j304_3.sm, 180891, 119, 90327, 50.72s, 47
j304_4.sm, 25781, 113, 12778, 8.07s, 57
j304_5.sm, 578351, 113, 289063, 95.97s, 59
j304_6.sm, 22859, 112, 11318, 8.03s, 45
j304_7.sm, 25595, 139, 12659, 12.58s, 56
j304_8.sm, 33195, 116, 16482, 9.56s, 55
j304_9.sm, 16661, 111, 8220, 6.02s, 38
j304_10.sm, 18761, 109, 9272, 9.05s, 48
j305_1.sm, 259930, 0, 129784, timeout, none
j305_2.sm, 377238, 0, 188430, timeout, none
j305_3.sm, 430326, 0, 214967, timeout, none
j305_4.sm, 263673, 0, 131597, timeout, none
j305_5.sm, 373092, 0, 186368, timeout, none
j305_6.sm, 200917, 0, 100270, timeout, none
j305_7.sm, 245566, 0, 122590, timeout, none
j305_8.sm, 209076, 0, 104340, timeout, none
j305_9.sm, 902861, 0, 451260, timeout, none
j305_10.sm, 397981, 0, 198804, timeout, none
j306_1.sm, 734556, 0, 367087, timeout, none
