problem, nodes, solutions, fails, time, optimum
j301_1.sm, 474141, 102, 236959, timeout, 57
j301_2.sm, 670984, 111, 335369, timeout, 50
j301_3.sm, 1635, 95, 723, 1.43s, 47
j301_4.sm, 299662, 113, 149710, timeout, 72
j301_5.sm, 733103, 79, 366461, timeout, 41
j301_6.sm, 924424, 75, 462125, timeout, 49
j301_7.sm, 609, 89, 216, 0.57s, 60
j301_8.sm, 629, 105, 210, 0.71s, 53
j301_9.sm, 430015, 112, 214887, timeout, 49
j301_10.sm, 731509, 103, 365639, timeout, 47
j302_1.sm, 764348, 112, 382056, timeout, 38
j302_2.sm, 661, 131, 200, 0.99s, 51
j302_3.sm, 781, 133, 258, 0.82s, 43
j302_4.sm, 1887, 119, 825, 1.29s, 43
j302_5.sm, 581, 120, 171, 0.47s, 51
j302_6.sm, 657, 100, 229, 0.60s, 47
j302_7.sm, 521, 107, 154, 0.46s, 47
j302_8.sm, 565, 111, 172, 0.75s, 54
j302_9.sm, 827, 140, 274, 0.91s, 54
j302_10.sm, 630911, 107, 315338, timeout, 45
j303_1.sm, 677, 134, 205, 0.53s, 72
j303_2.sm, 545, 104, 169, 0.52s, 40
j303_3.sm, 609, 121, 184, 0.48s, 57
j303_4.sm, 585, 94, 199, 0.51s, 98
j303_5.sm, 510762, 128, 255246, timeout, 53
j303_6.sm, 563, 110, 172, 0.46s, 54
j303_7.sm, 523, 101, 161, 0.47s, 48
j303_8.sm, 507, 102, 152, 0.41s, 54
j303_9.sm, 739442, 94, 369617, timeout, 65
j303_10.sm, 986243, 119, 492990, timeout, 59
j304_1.sm, 445, 94, 129, 0.34s, 49
j304_2.sm, 499, 106, 144, 0.38s, 60
j304_3.sm, 547, 120, 154, 0.43s, 47
j304_4.sm, 519, 114, 146, 0.40s, 57
j304_5.sm, 517, 114, 145, 0.40s, 59
j304_6.sm, 575, 113, 175, 0.44s, 45
j304_7.sm, 629, 140, 175, 0.49s, 56
j304_8.sm, 547, 117, 157, 0.42s, 55
j304_9.sm, 517, 112, 147, 0.40s, 38
j304_10.sm, 515, 110, 148, 0.40s, 48
j305_1.sm, 192526, 107, 96150, timeout, 55
j305_2.sm, 572402, 100, 286091, timeout, 83
j305_3.sm, 909082, 87, 454441, timeout, 90
j305_4.sm, 273339, 138, 136523, timeout, 63
j305_5.sm, 898092, 82, 448951, timeout, 87
j305_6.sm, 351375, 111, 175570, timeout, 65
j305_7.sm, 845636, 92, 422712, timeout, 88
j305_8.sm, 652705, 104, 326237, timeout, 71
