problem, nodes, solutions, fails, time, optimum
j301_1.sm, 179646, 1, 89771, timeout, 90
j301_2.sm, 52834, 3, 26377, timeout, 51
j301_3.sm, 2103, 3, 1049, 15.34s, 47
j301_4.sm, 136137, 2, 68011, timeout, 66
j301_5.sm, 72902, 2, 36403, timeout, 64
j301_6.sm, 136359, 4, 68117, timeout, 56
j301_7.sm, 303, 1, 151, 3.52s, 60
j301_8.sm, 449, 2, 223, 4.95s, 53
j301_9.sm, 88405, 2, 44154, timeout, 58
j301_10.sm, 64075, 4, 32009, timeout, 46
j302_1.sm, 61993, 3, 30960, timeout, 41
j302_2.sm, 1043, 6, 516, 11.81s, 51
j302_3.sm, 28137, 4, 14065, 305.83s, 43
j302_4.sm, 603, 3, 299, 7.05s, 43
j302_5.sm, 127935, 1, 63904, timeout, 95
j302_6.sm, 931, 2, 464, 10.39s, 47
j302_7.sm, 649, 3, 322, 6.13s, 47
j302_8.sm, 58927, 5, 29406, timeout, 66
j302_9.sm, 733, 4, 363, 8.37s, 54
j302_10.sm, 102792, 7, 51347, timeout, 47
j303_1.sm, 333, 1, 166, 3.99s, 72
j303_2.sm, 913, 5, 452, 9.91s, 40
j303_3.sm, 543, 2, 270, 6.18s, 57
j303_4.sm, 335, 1, 167, 3.80s, 98
j303_5.sm, 511, 1, 255, 7.43s, 53
j303_6.sm, 307, 1, 153, 3.38s, 54
j303_7.sm, 291, 1, 145, 3.41s, 48
j303_8.sm, 297, 1, 148, 3.40s, 54
j303_9.sm, 44655, 2, 22284, timeout, 70
j303_10.sm, 139329, 2, 69597, timeout, 65
j304_1.sm, 419, 2, 208, 4.33s, 49
j304_2.sm, 311, 1, 155, 3.59s, 60
j304_3.sm, 629, 4, 311, 7.10s, 47
j304_4.sm, 485, 2, 241, 5.14s, 57
j304_5.sm, 529, 2, 263, 6.02s, 59
j304_6.sm, 529, 3, 262, 5.63s, 45
j304_7.sm, 725, 3, 360, 7.73s, 56
j304_8.sm, 547, 2, 272, 6.74s, 55
j304_9.sm, 773, 5, 382, 7.50s, 38
j304_10.sm, 559, 2, 278, 6.32s, 48
j305_1.sm, 117788, 4, 58833, timeout, 75
j305_2.sm, 45186, 0, 22546, timeout, none
j305_3.sm, 112351, 1, 56107, timeout, 125
j305_4.sm, 78613, 1, 39262, timeout, 115
j305_5.sm, 120680, 1, 60269, timeout, 108
j305_6.sm, 58526, 8, 29212, timeout, 75
j305_7.sm, 52778, 0, 26328, timeout, none
j305_8.sm, 90128, 4, 45000, timeout, 81
j305_9.sm, 109324, 5, 54600, timeout, 58
j305_10.sm, 54766, 1, 27336, timeout, 103
j306_1.sm, 149414, 1, 74641, timeout, 108
j306_2.sm, 108315, 2, 54115, timeout, 56
j306_3.sm, 105009, 3, 52459, timeout, 54
j306_4.sm, 115781, 3, 57852, timeout, 45
j306_5.sm, 111890, 3, 55883, timeout, 68
j306_6.sm, 61492, 6, 30722, timeout, 39
j306_7.sm, 161015, 2, 80455, timeout, 48
j306_8.sm, 89941, 0, 44910, timeout, none
j306_9.sm, 48517, 5, 24254, 238.17s, 51
j306_10.sm, 87914, 0, 43893, timeout, none
