problem, nodes, solutions, fails, time, optimum
j301_1.sm, 38683, 0, 19301, timeout, none
j301_2.sm, 31314, 0, 15613, timeout, none
j301_3.sm, 46836, 0, 23355, timeout, none
j301_4.sm, 34801, 0, 17356, timeout, none
j301_5.sm, 36689, 0, 18294, timeout, none
j301_6.sm, 34873, 0, 17395, timeout, none
j301_7.sm, 38409, 0, 19138, timeout, none
j301_8.sm, 48629, 0, 24254, timeout, none
j301_9.sm, 35997, 0, 17941, timeout, none
j301_10.sm, 35032, 0, 17457, timeout, none
j302_1.sm, 38757, 0, 19317, timeout, none
j302_2.sm, 439, 2, 218, 9.83s, 51
j302_3.sm, 88879, 0, 44378, timeout, none
j302_4.sm, 165002, 1, 82433, timeout, 45
j302_5.sm, 275, 1, 137, 6.23s, 51
j302_6.sm, 35450, 0, 17660, timeout, none
j302_7.sm, 47700, 0, 23800, timeout, none
j302_8.sm, 33590, 0, 16744, timeout, none
j302_9.sm, 35062, 2, 17476, timeout, 58
j302_10.sm, 35306, 0, 17608, timeout, none
j303_1.sm, 82468, 1, 41174, timeout, 73
j303_2.sm, 285, 1, 142, 6.27s, 40
j303_3.sm, 10405, 2, 5201, 175.87s, 57
j303_4.sm, 465, 2, 231, 9.17s, 98
j303_5.sm, 35077, 0, 17488, timeout, none
j303_6.sm, 37728, 0, 18806, timeout, none
j303_7.sm, 425, 2, 211, 8.12s, 48
j303_8.sm, 669, 1, 334, 9.53s, 54
j303_9.sm, 35223, 0, 17559, timeout, none
j303_10.sm, 34012, 1, 16967, timeout, 59
j304_1.sm, 333, 1, 166, 6.42s, 49
j304_2.sm, 349, 1, 174, 7.17s, 60
j304_3.sm, 331, 1, 165, 6.87s, 47
j304_4.sm, 293, 1, 146, 6.33s, 57
j304_5.sm, 379, 1, 189, 7.67s, 59
j304_6.sm, 297, 1, 148, 6.14s, 45
j304_7.sm, 359, 1, 179, 7.75s, 56
j304_8.sm, 313, 1, 156, 6.55s, 55
j304_9.sm, 331, 1, 165, 6.39s, 38
j304_10.sm, 387, 1, 193, 7.40s, 48
j305_1.sm, 25544, 0, 12731, timeout, none
j305_2.sm, 28629, 0, 14280, timeout, none
j305_3.sm, 28248, 0, 14091, timeout, none
j305_4.sm, 20387, 0, 10156, timeout, none
j305_5.sm, 23897, 0, 11916, timeout, none
j305_6.sm, 23494, 0, 11714, timeout, none
j305_7.sm, 27574, 0, 13751, timeout, none
j305_8.sm, 18096, 0, 9018, timeout, none
j305_9.sm, 30821, 0, 15378, timeout, none
j305_10.sm, 26692, 0, 13301, timeout, none
j306_1.sm, 30628, 0, 15262, timeout, none
j306_2.sm, 28265, 2, 14090, timeout, 57
j306_3.sm, 35244, 0, 17579, timeout, none
j306_4.sm, 42783, 1, 21353, timeout, 44
