problem, nodes, solutions, fails, time, optimum
j301_1.sm, 99131, 0, 49554, timeout, none
j301_2.sm, 136350, 0, 68163, timeout, none
j301_3.sm, 52877, 1, 26430, timeout, 56
j301_4.sm, 53566, 2, 26773, timeout, 77
j301_5.sm, 63426, 4, 31701, timeout, 42
j301_6.sm, 60645, 1, 30314, timeout, 49
j301_7.sm, 72501, 6, 36245, 534.84s, 60
j301_8.sm, 71302, 6, 35638, timeout, 55
j301_9.sm, 141646, 0, 70812, timeout, none
j301_10.sm, 84088, 1, 42032, timeout, 64
j302_1.sm, 98863, 5, 49416, timeout, 39
j302_2.sm, 148977, 0, 74477, timeout, none
j302_3.sm, 60721, 0, 30351, timeout, none
j302_4.sm, 150675, 2, 75326, timeout, 45
j302_5.sm, 197, 2, 97, 5.12s, 51
j302_6.sm, 132052, 0, 66015, timeout, none
j302_7.sm, 129912, 3, 64946, timeout, 48
j302_8.sm, 41973, 3, 20976, timeout, 60
j302_9.sm, 63415, 3, 31696, timeout, 58
j302_10.sm, 123381, 0, 61679, timeout, none
j303_1.sm, 109, 3, 52, 4.24s, 72
j303_2.sm, 71478, 2, 35727, timeout, 46
j303_3.sm, 179, 3, 87, 6.88s, 57
j303_4.sm, 129, 2, 63, 4.89s, 98
j303_5.sm, 40328, 3, 20156, timeout, 53
j303_6.sm, 122518, 0, 61247, timeout, none
j303_7.sm, 315, 2, 156, 9.91s, 48
j303_8.sm, 41, 1, 20, 1.94s, 54
j303_9.sm, 60285, 2, 30133, timeout, 68
j303_10.sm, 55050, 1, 27518, timeout, 71
j304_1.sm, 41, 1, 20, 1.46s, 49
j304_2.sm, 45, 1, 22, 2.15s, 60
j304_3.sm, 37, 1, 18, 1.96s, 47
j304_4.sm, 37, 1, 18, 1.89s, 57
j304_5.sm, 41, 1, 20, 2.09s, 59
j304_6.sm, 39, 1, 19, 1.70s, 45
j304_7.sm, 41, 1, 20, 2.36s, 56
j304_8.sm, 39, 1, 19, 1.92s, 55
j304_9.sm, 47, 1, 23, 1.84s, 38
j304_10.sm, 47, 1, 23, 1.97s, 48
j305_1.sm, 161720, 0, 80849, timeout, none
j305_2.sm, 48050, 1, 24017, timeout, 95
j305_3.sm, 58637, 0, 29308, timeout, none
j305_4.sm, 76110, 3, 38043, timeout, 93
j305_5.sm, 98291, 0, 49134, timeout, none
j305_6.sm, 66798, 0, 33388, timeout, none
j305_7.sm, 72271, 0, 36124, timeout, none
j305_8.sm, 39613, 5, 19795, timeout, 79
j305_9.sm, 74588, 1, 37281, timeout, 67
j305_10.sm, 88719, 0, 44347, timeout, none
j306_1.sm, 65895, 0, 32937, timeout, none
j306_2.sm, 61282, 2, 30630, timeout, 73
j306_3.sm, 73226, 5, 36601, timeout, 50
j306_4.sm, 38815, 7, 19396, timeout, 47
j306_5.sm, 56846, 7, 28409, timeout, 68
j306_6.sm, 102536, 0, 51257, timeout, none
j306_7.sm, 139362, 0, 69670, timeout, none
j306_8.sm, 144312, 0, 72144, timeout, none
j306_9.sm, 127, 3, 61, 4.63s, 51
j306_10.sm, 68205, 0, 34093, timeout, none
j307_1.sm, 65536, 0, 32759, timeout, none
j307_2.sm, 80399, 0, 40189, timeout, none
j307_3.sm, 42430, 1, 21209, timeout, 50
j307_4.sm, 129930, 0, 64955, timeout, none
j307_5.sm, 141121, 0, 70550, timeout, none
j307_6.sm, 203, 3, 99, 4.00s, 35
