problem, nodes, solutions, fails, time, optimum
j301_1.sm, 285956, 0, 142523, timeout, none
j301_2.sm, 961325, 0, 480214, timeout, none
j301_3.sm, 695077, 0, 347075, timeout, none
j301_4.sm, 1343995, 0, 671538, timeout, none
j301_5.sm, 711879, 0, 355484, timeout, none
j301_6.sm, 615385, 0, 307242, timeout, none
j301_7.sm, 503111, 0, 251108, timeout, none
j301_8.sm, 1547627, 0, 773352, timeout, none
j301_9.sm, 501684, 0, 250388, timeout, none
j301_10.sm, 334475, 0, 166784, timeout, none
j302_1.sm, 326838, 0, 162953, timeout, none
j302_2.sm, 545281, 0, 272172, timeout, none
j302_3.sm, 439250, 0, 219154, timeout, none
j302_4.sm, 726826, 0, 362940, timeout, none
j302_5.sm, 611025, 0, 305042, timeout, none
j302_6.sm, 302815, 0, 150936, timeout, none
j302_7.sm, 425702, 0, 212387, timeout, none
j302_8.sm, 483415, 0, 241249, timeout, none
j302_9.sm, 538146, 0, 268604, timeout, none
j302_10.sm, 521808, 0, 260434, timeout, none
j303_1.sm, 714718, 0, 356886, timeout, none
j303_2.sm, 207392, 0, 103219, timeout, none
j303_3.sm, 458323, 0, 228692, timeout, none
j303_4.sm, 881832, 0, 440473, timeout, none
j303_5.sm, 362546, 0, 180805, timeout, none
j303_6.sm, 402296, 0, 200682, timeout, none
j303_7.sm, 420720, 0, 209888, timeout, none
j303_8.sm, 402342, 0, 200706, timeout, none
j303_9.sm, 374974, 0, 187018, timeout, none
j303_10.sm, 431092, 0, 215071, timeout, none
j304_1.sm, 607376, 0, 303216, timeout, none
j304_2.sm, 1365172, 0, 682120, timeout, none
j304_3.sm, 1149206, 0, 574137, timeout, none
j304_4.sm, 810968, 0, 405013, timeout, none
j304_5.sm, 714864, 0, 356963, timeout, none
j304_6.sm, 507799, 0, 253424, timeout, none
j304_7.sm, 500963, 0, 250001, timeout, none
j304_8.sm, 763669, 0, 381356, timeout, none
j304_9.sm, 387126, 0, 193093, timeout, none
j304_10.sm, 342867, 0, 170972, timeout, none
j305_1.sm, 419536, 0, 209343, timeout, none
j305_2.sm, 814004, 0, 406578, timeout, none
j305_3.sm, 417007, 0, 208101, timeout, none
j305_4.sm, 395641, 0, 197387, timeout, none
j305_5.sm, 812087, 0, 405628, timeout, none
j305_6.sm, 606425, 0, 302788, timeout, none
j305_7.sm, 436536, 0, 217843, timeout, none
j305_8.sm, 377952, 0, 188584, timeout, none
j305_9.sm, 659784, 0, 329440, timeout, none
j305_10.sm, 833785, 0, 416476, timeout, none
j306_1.sm, 485812, 0, 242437, timeout, none
j306_2.sm, 460460, 0, 229773, timeout, none
j306_3.sm, 1007803, 0, 503423, timeout, none
j306_4.sm, 318283, 0, 158666, timeout, none
j306_5.sm, 557876, 0, 278474, timeout, none
j306_6.sm, 353543, 0, 176297, timeout, none
j306_7.sm, 421791, 0, 210430, timeout, none
j306_8.sm, 384782, 0, 191922, timeout, none
j306_9.sm, 960194, 0, 479648, timeout, none
j306_10.sm, 957256, 0, 478158, timeout, none
j307_1.sm, 895753, 0, 447405, timeout, none
j307_2.sm, 633004, 0, 316030, timeout, none
j307_3.sm, 314745, 0, 156896, timeout, none
j307_4.sm, 1250293, 0, 624674, timeout, none
j307_5.sm, 623291, 0, 311169, timeout, none
j307_6.sm, 429776, 0, 214409, timeout, none
j307_7.sm, 679487, 0, 339272, timeout, none
j307_8.sm, 405499, 0, 202293, timeout, none
j307_9.sm, 362583, 0, 180819, timeout, none
j307_10.sm, 371045, 0, 185052, timeout, none
j308_1.sm, 514744, 0, 256893, timeout, none
j308_2.sm, 483957, 0, 241498, timeout, none
j308_3.sm, 291352, 0, 145200, timeout, none
j308_4.sm, 629776, 0, 314409, timeout, none
j308_5.sm, 701148, 0, 350094, timeout, none
j308_6.sm, 879546, 0, 439293, timeout, none
j308_7.sm, 471708, 0, 235374, timeout, none
j308_8.sm, 734821, 0, 366931, timeout, none
j308_9.sm, 343695, 0, 171368, timeout, none
j308_10.sm, 677897, 0, 338469, timeout, none
j309_1.sm, 394016, 0, 196634, timeout, none
j309_2.sm, 647964, 0, 323602, timeout, none
j309_3.sm, 374418, 0, 186818, timeout, none
j309_4.sm, 484656, 0, 241933, timeout, none
j309_5.sm, 352032, 0, 175646, timeout, none
j309_6.sm, 312792, 0, 155976, timeout, none
j309_7.sm, 638231, 0, 318688, timeout, none
j309_8.sm, 398724, 0, 198976, timeout, none
j309_9.sm, 531330, 0, 265280, timeout, none
j309_10.sm, 415832, 0, 207526, timeout, none
j3010_1.sm, 514654, 0, 256847, timeout, none
j3010_2.sm, 585201, 0, 292121, timeout, none
j3010_3.sm, 702805, 0, 350925, timeout, none
j3010_4.sm, 629695, 0, 314369, timeout, none
