problem, nodes, solutions, fails, time, optimum
j301_1.sm, 64713, 0, 32170, timeout, none
j301_2.sm, 24366, 0, 12006, timeout, none
j301_3.sm, 72271, 0, 35949, timeout, none
j301_4.sm, 42984, 0, 21257, timeout, none
j301_5.sm, 114701, 0, 57210, timeout, none
j301_6.sm, 80140, 0, 39940, timeout, none
j301_7.sm, 91097, 0, 45332, timeout, none
j301_8.sm, 94303, 0, 46969, timeout, none
j301_9.sm, 56395, 0, 28010, timeout, none
j301_10.sm, 52306, 0, 25961, timeout, none
j302_1.sm, 73308, 0, 36476, timeout, none
j302_2.sm, 26138, 100, 12900, timeout, 82
j302_3.sm, 20089, 132, 9913, 336.99s, 43
j302_4.sm, 231165, 0, 115370, timeout, none
j302_5.sm, 42617, 0, 21079, timeout, none
j302_6.sm, 26743, 99, 13273, 237.11s, 47
j302_7.sm, 28849, 106, 14319, 254.94s, 47
j302_8.sm, 79042, 0, 39295, timeout, none
j302_9.sm, 13792, 83, 6729, timeout, 110
j302_10.sm, 18747, 109, 9265, 494.51s, 43
j303_1.sm, 30799, 75, 15237, timeout, 130
j303_2.sm, 20005, 103, 9900, 256.13s, 40
j303_3.sm, 44657, 120, 22209, 525.74s, 57
j303_4.sm, 26432, 0, 13036, timeout, none
j303_5.sm, 9838, 0, 4720, timeout, none
j303_6.sm, 39037, 100, 19403, timeout, 64
j303_7.sm, 27601, 100, 13701, 252.07s, 48
j303_8.sm, 37789, 101, 18794, 305.23s, 54
j303_9.sm, 58748, 0, 29194, timeout, none
j303_10.sm, 51157, 0, 25346, timeout, none
j304_1.sm, 16941, 93, 8378, 140.38s, 49
j304_2.sm, 92915, 0, 46190, timeout, none
j304_3.sm, 59016, 38, 29328, timeout, 128
j304_4.sm, 25781, 113, 12778, 351.58s, 57
j304_5.sm, 85520, 16, 42548, timeout, 156
j304_6.sm, 22859, 112, 11318, 315.92s, 45
j304_7.sm, 21517, 116, 10570, timeout, 79
j304_8.sm, 33195, 116, 16482, 316.10s, 55
j304_9.sm, 16661, 111, 8220, 182.20s, 38
j304_10.sm, 18761, 109, 9272, 363.14s, 48
j305_1.sm, 9030, 0, 4332, timeout, none
j305_2.sm, 4191, 0, 1918, timeout, none
j305_3.sm, 17421, 0, 8529, timeout, none
j305_4.sm, 7616, 0, 3574, timeout, none
j305_5.sm, 7282, 0, 3468, timeout, none
j305_6.sm, 7128, 0, 3376, timeout, none
j305_7.sm, 8237, 0, 3928, timeout, none
j305_8.sm, 9737, 0, 4679, timeout, none
j305_9.sm, 28392, 0, 14032, timeout, none
j305_10.sm, 14302, 0, 6979, timeout, none
j306_1.sm, 14925, 0, 7264, timeout, none
j306_2.sm, 46283, 0, 22936, timeout, none
j306_3.sm, 65762, 0, 32690, timeout, none
j306_4.sm, 68785, 0, 34186, timeout, none
j306_5.sm, 6243, 0, 2879, timeout, none
j306_6.sm, 20171, 104, 9982, 467.50s, 37
j306_7.sm, 107776, 1, 53693, timeout, 149
j306_8.sm, 35462, 0, 17528, timeout, none
j306_9.sm, 80036, 49, 39895, timeout, 100
j306_10.sm, 7457, 0, 3531, timeout, none
j307_1.sm, 44759, 0, 22173, timeout, none
j307_2.sm, 23613, 118, 11689, 356.81s, 42
j307_3.sm, 90849, 11, 45243, timeout, 137
j307_4.sm, 84378, 0, 41996, timeout, none
j307_5.sm, 146953, 0, 73259, timeout, none
j307_6.sm, 33431, 0, 16561, timeout, none
j307_7.sm, 19309, 0, 9471, timeout, none
j307_8.sm, 22771, 94, 11237, timeout, 80
j307_9.sm, 70073, 0, 34860, timeout, none
j307_10.sm, 84984, 0, 42306, timeout, none
j308_1.sm, 33399, 103, 16597, 262.70s, 44
j308_2.sm, 37481, 131, 18610, 478.48s, 51
j308_3.sm, 60605, 96, 30153, timeout, 86
j308_4.sm, 298246, 28, 148930, timeout, 122
j308_5.sm, 36975, 120, 18368, 599.12s, 58
