problem, nodes, solutions, fails, time, optimum
j301_1.sm, 137413, 2, 68696, timeout, 57
j301_2.sm, 202841, 1, 101407, timeout, 50
j301_3.sm, 1741, 2, 869, 15.77s, 47
j301_4.sm, 150058, 2, 75018, timeout, 72
j301_5.sm, 232136, 1, 116055, timeout, 41
j301_6.sm, 230269, 1, 115122, timeout, 49
j301_7.sm, 477, 4, 235, 6.61s, 60
j301_8.sm, 409, 3, 202, 7.73s, 53
j301_9.sm, 178050, 2, 89014, timeout, 49
j301_10.sm, 3427, 3, 1711, 60.75s, 45
j302_1.sm, 147523, 2, 73754, timeout, 38
j302_2.sm, 87, 1, 43, 16.81s, 51
j302_3.sm, 257, 3, 126, 14.60s, 43
j302_4.sm, 257065, 2, 128517, timeout, 43
j302_5.sm, 95, 1, 47, 6.01s, 51
j302_6.sm, 14667, 2, 7332, 68.58s, 47
j302_7.sm, 195, 2, 96, 5.26s, 47
j302_8.sm, 91, 2, 44, 13.26s, 54
j302_9.sm, 231, 4, 112, 14.46s, 54
j302_10.sm, 425, 5, 208, 13.35s, 43
j303_1.sm, 183, 2, 90, 7.15s, 72
j303_2.sm, 71, 1, 35, 5.85s, 40
j303_3.sm, 79, 1, 39, 4.90s, 57
j303_4.sm, 151, 2, 74, 5.91s, 98
j303_5.sm, 67292, 2, 33640, timeout, 53
j303_6.sm, 69, 1, 34, 4.52s, 54
j303_7.sm, 63, 1, 31, 3.63s, 48
j303_8.sm, 87, 1, 43, 3.75s, 54
j303_9.sm, 126622, 1, 63300, timeout, 65
j303_10.sm, 183874, 2, 91922, timeout, 59
j304_1.sm, 63, 1, 31, 2.56s, 49
j304_2.sm, 63, 1, 31, 4.34s, 60
j304_3.sm, 63, 1, 31, 4.70s, 47
j304_4.sm, 63, 1, 31, 3.71s, 57
j304_5.sm, 63, 1, 31, 4.03s, 59
j304_6.sm, 63, 1, 31, 3.68s, 45
j304_7.sm, 63, 1, 31, 4.45s, 56
j304_8.sm, 63, 1, 31, 3.86s, 55
j304_9.sm, 63, 1, 31, 3.27s, 38
j304_10.sm, 63, 1, 31, 3.59s, 48
j305_1.sm, 74833, 3, 37405, timeout, 55
j305_2.sm, 50773, 1, 25376, timeout, 83
j305_3.sm, 145475, 1, 72721, timeout, 90
j305_4.sm, 52818, 3, 26396, timeout, 67
j305_5.sm, 101188, 1, 50581, timeout, 87
j305_6.sm, 48554, 5, 24267, timeout, 65
j305_7.sm, 138840, 1, 69406, timeout, 88
j305_8.sm, 158061, 2, 79017, timeout, 71
j305_9.sm, 175189, 3, 87580, timeout, 51
j305_10.sm, 70024, 1, 34999, timeout, 73
j306_1.sm, 130174, 7, 65070, timeout, 60
j306_2.sm, 110341, 9, 55151, timeout, 54
j306_3.sm, 176447, 5, 88211, timeout, 48
j306_4.sm, 99818, 5, 49895, timeout, 42
j306_5.sm, 148762, 3, 74366, timeout, 68
j306_6.sm, 3257, 7, 1622, 24.70s, 37
j306_7.sm, 401, 6, 195, 16.36s, 46
j306_8.sm, 243488, 2, 121730, timeout, 41
j306_9.sm, 203, 2, 100, 11.09s, 51
j306_10.sm, 162010, 2, 80995, timeout, 64
j307_1.sm, 63, 1, 31, 5.21s, 55
j307_2.sm, 149, 2, 73, 6.24s, 42
j307_3.sm, 227, 4, 110, 7.12s, 42
j307_4.sm, 249, 5, 120, 7.96s, 44
j307_5.sm, 1429, 2, 713, 33.39s, 44
j307_6.sm, 105, 2, 51, 3.68s, 35
j307_7.sm, 210069, 3, 105021, timeout, 51
j307_8.sm, 63, 1, 31, 9.07s, 44
j307_9.sm, 85, 1, 42, 13.26s, 60
j307_10.sm, 211804, 2, 105888, timeout, 49
j308_1.sm, 63, 1, 31, 3.78s, 44
j308_2.sm, 63, 1, 31, 5.25s, 51
j308_3.sm, 63, 1, 31, 5.75s, 53
j308_4.sm, 63, 1, 31, 3.65s, 48
j308_5.sm, 63, 1, 31, 4.24s, 58
j308_6.sm, 63, 1, 31, 4.98s, 47
j308_7.sm, 63, 1, 31, 3.24s, 41
j308_8.sm, 63, 1, 31, 3.80s, 51
j308_9.sm, 63, 1, 31, 4.36s, 39
j308_10.sm, 63, 1, 31, 3.77s, 67
j309_1.sm, 56040, 2, 28006, timeout, 94
j309_2.sm, 150028, 1, 74999, timeout, 98
j309_3.sm, 77945, 5, 38959, timeout, 79
j309_4.sm, 31090, 5, 15529, timeout, 75
j309_5.sm, 95245, 5, 47606, timeout, 75
j309_6.sm, 121754, 6, 60860, timeout, 63
j309_7.sm, 62167, 5, 31068, timeout, 73
j309_8.sm, 56860, 6, 28414, timeout, 93
j309_9.sm, 41660, 7, 20814, timeout, 67
j309_10.sm, 75534, 4, 37751, timeout, 97
j3010_1.sm, 441, 5, 216, 17.92s, 42
j3010_2.sm, 121447, 6, 60708, timeout, 56
j3010_3.sm, 93969, 6, 46967, timeout, 64
j3010_4.sm, 97380, 13, 48670, timeout, 58
j3010_5.sm, 108853, 7, 54412, timeout, 42
j3010_6.sm, 72659, 8, 36314, timeout, 44
j3010_7.sm, 95885, 4, 47931, timeout, 49
j3010_8.sm, 101766, 2, 50872, timeout, 55
j3010_9.sm, 123, 1, 61, 7.32s, 49
j3010_10.sm, 108274, 5, 54123, timeout, 41
j3011_1.sm, 93831, 4, 46908, timeout, 54
j3011_2.sm, 72827, 1, 36404, timeout, 58
j3011_3.sm, 147, 2, 72, 7.32s, 81
j3011_4.sm, 90076, 3, 45026, timeout, 64
j3011_5.sm, 89999, 5, 44988, timeout, 50
j3011_6.sm, 471, 4, 232, 10.34s, 44
j3011_7.sm, 160373, 4, 80174, timeout, 36
j3011_8.sm, 147, 2, 72, 7.69s, 62
j3011_9.sm, 133, 2, 65, 6.30s, 67
j3011_10.sm, 113, 2, 55, 5.67s, 38
j3012_1.sm, 63, 1, 31, 5.39s, 47
j3012_2.sm, 63, 1, 31, 5.60s, 46
j3012_3.sm, 63, 1, 31, 3.80s, 37
j3012_4.sm, 63, 1, 31, 6.36s, 63
j3012_5.sm, 63, 1, 31, 4.36s, 47
j3012_6.sm, 63, 1, 31, 4.83s, 53
j3012_7.sm, 63, 1, 31, 6.56s, 55
j3012_8.sm, 63, 1, 31, 4.33s, 35
j3012_9.sm, 63, 1, 31, 5.90s, 52
j3012_10.sm, 63, 1, 31, 4.95s, 57
j3013_1.sm, 150396, 3, 75183, timeout, 70
j3013_2.sm, 133738, 4, 66852, timeout, 67
j3013_3.sm, 78378, 1, 39174, timeout, 97
j3013_4.sm, 57792, 6, 28880, timeout, 77
j3013_5.sm, 164070, 2, 82021, timeout, 75
j3013_6.sm, 97408, 2, 48692, timeout, 69
j3013_7.sm, 53872, 9, 26916, timeout, 85
j3013_8.sm, 77160, 2, 38564, timeout, 117
j3013_9.sm, 175810, 2, 87890, timeout, 88
j3013_10.sm, 156154, 2, 78063, timeout, 72
j3014_1.sm, 142273, 2, 71124, timeout, 54
j3014_2.sm, 105366, 6, 52667, timeout, 54
j3014_3.sm, 113903, 12, 56931, timeout, 59
j3014_4.sm, 131289, 3, 65632, timeout, 52
j3014_5.sm, 21567, 10, 10774, 111.90s, 52
j3014_6.sm, 311, 4, 152, 10.73s, 35
j3014_7.sm, 94934, 5, 47453, timeout, 51
j3014_8.sm, 121, 1, 60, 7.93s, 54
j3014_9.sm, 97098, 6, 48535, timeout, 47
j3014_10.sm, 183975, 3, 91975, timeout, 61
j3015_1.sm, 241, 3, 118, 6.59s, 46
j3015_2.sm, 79, 2, 38, 6.06s, 47
j3015_3.sm, 99, 3, 47, 5.03s, 48
j3015_4.sm, 97, 2, 47, 5.53s, 48
j3015_5.sm, 127043, 4, 63506, timeout, 59
j3015_6.sm, 63, 1, 31, 6.09s, 67
j3015_7.sm, 289, 3, 142, 7.05s, 47
j3015_8.sm, 202586, 2, 101278, timeout, 56
j3015_9.sm, 263, 5, 127, 8.38s, 54
j3015_10.sm, 97, 2, 47, 6.24s, 65
j3016_1.sm, 63, 1, 31, 4.54s, 51
