problem, nodes, solutions, fails, time, optimum
j301_1.sm, 34465, 1, 17197, timeout, 90
j301_2.sm, 2569, 5, 1280, 77.79s, 47
j301_3.sm, 175932, 0, 87883, timeout, none
j301_4.sm, 44213, 1, 22042, timeout, 107
j301_5.sm, 74244, 2, 37074, timeout, 45
j301_6.sm, 89561, 1, 44719, timeout, 71
j301_7.sm, 583, 1, 291, 9.32s, 60
j301_8.sm, 108664, 1, 54268, timeout, 92
j301_9.sm, 48596, 2, 24249, timeout, 59
j301_10.sm, 64669, 3, 32295, timeout, 51
j302_1.sm, 1407, 3, 701, 37.08s, 38
j302_2.sm, 1007, 6, 498, 46.06s, 51
j302_3.sm, 631, 4, 312, 21.83s, 43
j302_4.sm, 96844, 1, 48369, timeout, 93
j302_5.sm, 70180, 1, 35025, timeout, 95
j302_6.sm, 8765, 2, 4381, 85.76s, 47
j302_7.sm, 961, 3, 478, 14.19s, 47
j302_8.sm, 42826, 2, 21357, timeout, 67
j302_9.sm, 741, 3, 368, 24.91s, 54
j302_10.sm, 55465, 0, 27672, timeout, none
j303_1.sm, 359, 1, 179, 9.62s, 72
j303_2.sm, 85737, 1, 42818, timeout, 55
j303_3.sm, 533, 2, 265, 14.26s, 57
j303_4.sm, 1265, 1, 632, 12.79s, 98
j303_5.sm, 121813, 0, 60822, timeout, none
j303_6.sm, 643, 3, 319, 17.31s, 54
j303_7.sm, 361, 2, 179, 7.98s, 48
j303_8.sm, 305, 1, 152, 7.04s, 54
j303_9.sm, 35758, 1, 17838, timeout, 70
j303_10.sm, 70171, 2, 35014, timeout, 65
j304_1.sm, 421, 2, 209, 8.77s, 49
j304_2.sm, 317, 1, 158, 7.58s, 60
j304_3.sm, 651, 4, 322, 15.11s, 47
j304_4.sm, 485, 2, 241, 10.42s, 57
j304_5.sm, 555, 2, 276, 14.12s, 59
j304_6.sm, 549, 3, 272, 11.59s, 45
j304_7.sm, 715, 3, 355, 18.06s, 56
j304_8.sm, 547, 2, 272, 13.02s, 55
j304_9.sm, 745, 5, 368, 15.39s, 38
j304_10.sm, 553, 2, 275, 12.88s, 48
j305_1.sm, 90373, 1, 45123, timeout, 95
j305_2.sm, 38099, 0, 19003, timeout, none
j305_3.sm, 64464, 1, 32165, timeout, 98
j305_4.sm, 71745, 3, 35807, timeout, 86
j305_5.sm, 40138, 2, 20017, timeout, 98
j305_6.sm, 19673, 3, 9791, timeout, 88
j305_7.sm, 29947, 0, 14919, timeout, none
j305_8.sm, 58779, 0, 29313, timeout, none
j305_9.sm, 22964, 1, 11434, timeout, 84
j305_10.sm, 60725, 4, 30301, timeout, 79
j306_1.sm, 78832, 1, 39355, timeout, 108
j306_2.sm, 61265, 2, 30583, timeout, 62
j306_3.sm, 67447, 3, 33682, timeout, 54
j306_4.sm, 45334, 2, 22634, timeout, 45
j306_5.sm, 72859, 5, 36365, timeout, 68
j306_6.sm, 78979, 4, 39452, timeout, 40
j306_7.sm, 94194, 2, 47048, timeout, 48
j306_8.sm, 75675, 4, 37776, timeout, 47
j306_9.sm, 6939, 5, 3465, 58.90s, 51
j306_10.sm, 58835, 0, 29356, timeout, none
j307_1.sm, 2501, 2, 1249, 70.07s, 55
j307_2.sm, 1159, 4, 576, 21.23s, 42
j307_3.sm, 52977, 3, 26486, 366.78s, 42
j307_4.sm, 97801, 1, 48847, timeout, 47
j307_5.sm, 68838, 3, 34357, timeout, 49
j307_6.sm, 553, 4, 273, 9.47s, 35
j307_7.sm, 38697, 1, 19296, timeout, 93
j307_8.sm, 633, 3, 314, 26.34s, 44
j307_9.sm, 393, 2, 195, 25.71s, 60
j307_10.sm, 51801, 1, 25844, timeout, 84
j308_1.sm, 487, 2, 242, 10.61s, 44
j308_2.sm, 427, 2, 212, 10.87s, 51
j308_3.sm, 581, 2, 289, 14.18s, 53
j308_4.sm, 495, 2, 246, 9.99s, 48
j308_5.sm, 445, 2, 221, 10.73s, 58
j308_6.sm, 487, 3, 241, 11.30s, 47
j308_7.sm, 569, 4, 281, 11.46s, 41
j308_8.sm, 523, 2, 260, 12.62s, 51
j308_9.sm, 467, 3, 231, 11.01s, 39
j308_10.sm, 335, 1, 167, 7.18s, 67
