problem, nodes, solutions, fails, time, optimum
j301_1.sm, 101012, 54, 50440, timeout, 105
j301_2.sm, 61328, 0, 30654, timeout, none
j301_3.sm, 61916, 2, 30943, timeout, 56
j301_4.sm, 4421, 41, 2170, 27.47s, 62
j301_5.sm, 90508, 31, 45210, timeout, 89
j301_6.sm, 135848, 1, 67911, timeout, 49
j301_7.sm, 845, 1, 422, 5.77s, 60
j301_8.sm, 1161, 24, 557, 8.05s, 53
j301_9.sm, 98820, 45, 49352, timeout, 58
j301_10.sm, 99467, 43, 49678, timeout, 46
j302_1.sm, 71928, 2, 35951, timeout, 41
j302_2.sm, 3517, 71, 1688, 33.23s, 51
j302_3.sm, 132854, 3, 66410, timeout, 48
j302_4.sm, 1689, 58, 787, 17.29s, 43
j302_5.sm, 105, 1, 52, 0.92s, 51
j302_6.sm, 219, 2, 108, 2.07s, 47
j302_7.sm, 107, 4, 50, 1.08s, 47
j302_8.sm, 18521, 13, 9248, 125.96s, 54
j302_9.sm, 6449, 40, 3185, 67.98s, 54
j302_10.sm, 551, 56, 220, 5.99s, 43
j303_1.sm, 67, 1, 33, 0.73s, 72
j303_2.sm, 2091, 20, 1026, 23.74s, 40
j303_3.sm, 79, 1, 39, 1.00s, 57
j303_4.sm, 51, 1, 25, 0.61s, 98
j303_5.sm, 36161, 1, 18074, timeout, 65
j303_6.sm, 113, 1, 56, 1.21s, 54
j303_7.sm, 121, 1, 60, 1.67s, 48
j303_8.sm, 59, 1, 29, 0.71s, 54
j303_9.sm, 122622, 2, 61294, timeout, 70
j303_10.sm, 155390, 1, 77680, timeout, 64
j304_1.sm, 103, 15, 37, 0.90s, 49
j304_2.sm, 53, 1, 26, 0.64s, 60
j304_3.sm, 1613, 55, 752, 10.06s, 47
j304_4.sm, 157, 9, 70, 1.21s, 57
j304_5.sm, 117, 3, 56, 1.31s, 59
j304_6.sm, 681, 27, 314, 6.24s, 45
j304_7.sm, 1227, 86, 528, 9.75s, 56
j304_8.sm, 627, 23, 291, 6.37s, 55
j304_9.sm, 111, 2, 54, 1.15s, 38
j304_10.sm, 609, 24, 281, 5.83s, 48
j305_1.sm, 73133, 47, 36508, timeout, 59
j305_2.sm, 49436, 0, 24711, timeout, none
j305_3.sm, 43382, 0, 21682, timeout, none
j305_4.sm, 64608, 1, 32293, timeout, 89
j305_5.sm, 142226, 31, 71067, timeout, 90
j305_6.sm, 104141, 0, 52058, timeout, none
j305_7.sm, 58224, 1, 29101, timeout, 86
j305_8.sm, 131120, 1, 65547, timeout, 89
j305_9.sm, 114774, 44, 57333, timeout, 51
j305_10.sm, 81983, 1, 40981, timeout, 174
j306_1.sm, 86340, 0, 43161, timeout, none
j306_2.sm, 49167, 0, 24575, timeout, none
j306_3.sm, 150108, 44, 74996, timeout, 58
j306_4.sm, 39346, 42, 19626, timeout, 42
j306_5.sm, 159363, 1, 79668, timeout, 80
j306_6.sm, 445, 3, 220, 4.41s, 37
j306_7.sm, 142583, 36, 71245, timeout, 47
j306_8.sm, 112537, 89, 56168, timeout, 55
j306_9.sm, 187, 2, 92, 2.13s, 51
j306_10.sm, 46786, 0, 23383, timeout, none
j307_1.sm, 71, 1, 35, 0.89s, 55
j307_2.sm, 179693, 1, 89832, timeout, 45
j307_3.sm, 1987, 34, 960, 18.92s, 42
j307_4.sm, 81791, 0, 40884, timeout, none
j307_5.sm, 49920, 63, 24890, timeout, 45
j307_6.sm, 967, 37, 447, 8.42s, 35
j307_7.sm, 69885, 23, 34907, timeout, 140
j307_8.sm, 167, 2, 82, 1.95s, 44
j307_9.sm, 89704, 0, 44840, timeout, none
j307_10.sm, 76693, 18, 38315, timeout, 59
j308_1.sm, 387, 34, 160, 3.27s, 44
j308_2.sm, 81, 2, 39, 0.87s, 51
j308_3.sm, 99, 2, 48, 1.13s, 53
j308_4.sm, 123, 1, 61, 0.91s, 48
j308_5.sm, 287, 8, 136, 3.50s, 58
j308_6.sm, 1611, 40, 766, 16.08s, 47
j308_7.sm, 1487, 74, 670, 13.52s, 41
j308_8.sm, 325, 16, 147, 3.26s, 51
j308_9.sm, 119, 3, 57, 1.33s, 39
j308_10.sm, 97, 1, 48, 1.04s, 67
j309_1.sm, 64809, 1, 32392, timeout, 100
j309_2.sm, 107132, 0, 53552, timeout, none
j309_3.sm, 84569, 30, 42243, timeout, 87
j309_4.sm, 173664, 0, 86818, timeout, none
j309_5.sm, 73264, 0, 36619, timeout, none
j309_6.sm, 97493, 0, 48735, timeout, none
j309_7.sm, 43274, 0, 21630, timeout, none
j309_8.sm, 130521, 0, 65247, timeout, none
j309_9.sm, 98386, 3, 49179, timeout, 77
j309_10.sm, 127017, 0, 63497, timeout, none
j3010_1.sm, 93885, 44, 46889, timeout, 51
j3010_2.sm, 129804, 1, 64887, timeout, 76
j3010_3.sm, 118724, 1, 59348, timeout, 80
j3010_4.sm, 131501, 66, 65673, timeout, 69
j3010_5.sm, 64291, 33, 32101, timeout, 131
j3010_6.sm, 79539, 21, 39739, timeout, 46
j3010_7.sm, 106564, 1, 53267, timeout, 58
j3010_8.sm, 79287, 56, 39576, timeout, 121
j3010_9.sm, 127777, 1, 63874, timeout, 50
j3010_10.sm, 56474, 1, 28227, timeout, 157
j3011_1.sm, 56433, 7, 28201, timeout, 64
j3011_2.sm, 95680, 3, 47826, timeout, 65
j3011_3.sm, 73, 1, 36, 0.92s, 81
j3011_4.sm, 51258, 30, 25590, timeout, 64
j3011_5.sm, 70383, 0, 35182, timeout, none
j3011_6.sm, 73259, 79, 36551, 315.17s, 44
j3011_7.sm, 107580, 56, 53721, timeout, 48
j3011_8.sm, 160724, 5, 80343, timeout, 179
j3011_9.sm, 87, 1, 43, 1.03s, 67
j3011_10.sm, 131317, 56, 65589, timeout, 43
j3012_1.sm, 1299, 31, 619, 12.33s, 47
j3012_2.sm, 1627, 51, 763, 18.24s, 46
j3012_3.sm, 2225, 93, 1020, 22.36s, 37
j3012_4.sm, 525, 37, 226, 4.32s, 63
j3012_5.sm, 341, 17, 154, 3.13s, 47
j3012_6.sm, 65, 2, 31, 0.81s, 53
j3012_7.sm, 961, 65, 416, 8.01s, 55
j3012_8.sm, 1889, 93, 852, 18.70s, 35
j3012_9.sm, 135, 3, 65, 1.50s, 52
j3012_10.sm, 55, 1, 27, 0.74s, 57
j3013_1.sm, 132132, 0, 66052, timeout, none
j3013_2.sm, 46247, 12, 23105, timeout, 136
j3013_3.sm, 129092, 7, 64529, timeout, 170
j3013_4.sm, 103373, 0, 51672, timeout, none
j3013_5.sm, 103596, 1, 51785, timeout, 77
j3013_6.sm, 115747, 0, 57861, timeout, none
j3013_7.sm, 119918, 16, 59931, timeout, 91
j3013_8.sm, 98928, 1, 49449, timeout, 118
j3013_9.sm, 174591, 0, 87283, timeout, none
j3013_10.sm, 180519, 0, 90246, timeout, none
j3014_1.sm, 38328, 1, 19157, timeout, 141
j3014_2.sm, 66695, 13, 33322, timeout, 159
j3014_3.sm, 103638, 40, 51768, timeout, 138
j3014_4.sm, 162002, 0, 80987, timeout, none
j3014_5.sm, 68167, 0, 34072, timeout, none
j3014_6.sm, 80855, 45, 40371, timeout, 40
j3014_7.sm, 47470, 7, 23717, timeout, 158
j3014_8.sm, 709, 1, 354, 3.88s, 54
j3014_9.sm, 61921, 2, 30947, timeout, 48
j3014_10.sm, 137878, 2, 68925, timeout, 62
j3015_1.sm, 73773, 2, 36885, 434.17s, 46
j3015_2.sm, 2171, 46, 1040, 26.56s, 47
j3015_3.sm, 69, 1, 34, 0.95s, 48
j3015_4.sm, 659, 18, 312, 8.62s, 48
j3015_5.sm, 133457, 43, 66672, timeout, 153
j3015_6.sm, 153, 1, 76, 1.54s, 67
j3015_7.sm, 17625, 2, 8811, 102.21s, 47
j3015_8.sm, 55935, 1, 27956, timeout, 50
j3015_9.sm, 121697, 20, 60816, timeout, 141
j3015_10.sm, 121, 1, 60, 1.24s, 65
j3016_1.sm, 237, 2, 117, 2.11s, 51
j3016_2.sm, 1881, 46, 895, 25.39s, 48
j3016_3.sm, 2677, 91, 1248, 36.89s, 36
j3016_4.sm, 855, 26, 402, 12.56s, 47
j3016_5.sm, 511, 57, 199, 4.46s, 51
j3016_6.sm, 399, 17, 183, 4.58s, 51
j3016_7.sm, 1473, 72, 665, 18.26s, 34
j3016_8.sm, 79, 2, 38, 1.07s, 44
j3016_9.sm, 51, 1, 25, 0.76s, 44
j3016_10.sm, 53, 1, 26, 0.83s, 51
j3017_1.sm, 40084, 3, 20032, timeout, 66
j3017_2.sm, 74035, 86, 36922, timeout, 69
j3017_3.sm, 1615, 11, 797, 18.85s, 60
j3017_4.sm, 111248, 34, 55582, timeout, 50
j3017_5.sm, 56561, 2, 28269, timeout, 57
j3017_6.sm, 2139, 20, 1050, 16.44s, 63
j3017_7.sm, 155287, 66, 77564, timeout, 112
j3017_8.sm, 33033, 0, 16512, timeout, none
j3017_9.sm, 147555, 0, 73762, timeout, none
j3017_10.sm, 142291, 35, 71097, timeout, 71
j3018_1.sm, 87954, 64, 43902, timeout, 100
j3018_2.sm, 1367, 44, 640, 13.39s, 55
j3018_3.sm, 55336, 48, 27611, timeout, 61
j3018_4.sm, 5301, 2, 2649, 75.74s, 70
j3018_5.sm, 867, 41, 393, 8.52s, 52
j3018_6.sm, 131775, 27, 65846, timeout, 71
j3018_7.sm, 3495, 47, 1701, 35.21s, 48
j3018_8.sm, 91, 2, 44, 0.98s, 52
j3018_9.sm, 219, 3, 107, 2.72s, 47
j3018_10.sm, 8185, 19, 4074, 49.77s, 49
j3019_1.sm, 40009, 33, 19972, 163.70s, 40
j3019_2.sm, 2039, 44, 976, 15.52s, 58
j3019_3.sm, 83, 2, 40, 0.86s, 83
j3019_4.sm, 43970, 74, 21904, timeout, 53
j3019_5.sm, 96752, 57, 48308, timeout, 50
j3019_6.sm, 911, 26, 430, 9.90s, 49
j3019_7.sm, 435, 75, 143, 3.09s, 57
j3019_8.sm, 103174, 0, 51576, timeout, none
j3019_9.sm, 1035, 93, 425, 7.12s, 38
j3019_10.sm, 403, 15, 187, 3.14s, 47
j3020_1.sm, 1017, 117, 392, 6.16s, 57
j3020_2.sm, 115, 3, 55, 1.18s, 70
j3020_3.sm, 467, 28, 206, 4.02s, 49
j3020_4.sm, 367, 39, 145, 2.37s, 43
j3020_5.sm, 57, 1, 28, 0.64s, 61
j3020_6.sm, 1401, 65, 636, 10.74s, 51
j3020_7.sm, 471, 28, 208, 3.64s, 42
j3020_8.sm, 81, 2, 39, 0.90s, 51
j3020_9.sm, 265, 10, 123, 2.27s, 41
j3020_10.sm, 49, 1, 24, 0.55s, 37
j3021_1.sm, 47945, 0, 23963, timeout, none
j3021_2.sm, 35854, 14, 17907, timeout, 65
j3021_3.sm, 90112, 1, 45046, timeout, 89
j3021_4.sm, 66646, 12, 33301, timeout, 148
j3021_5.sm, 164088, 14, 82015, timeout, 142
j3021_6.sm, 136781, 34, 68345, timeout, 77
j3021_7.sm, 109429, 3, 54703, timeout, 149
j3021_8.sm, 105834, 1, 52903, timeout, 95
j3021_9.sm, 120769, 34, 60339, timeout, 79
j3021_10.sm, 46398, 0, 23190, timeout, none
j3022_1.sm, 611, 3, 303, 8.56s, 42
j3022_2.sm, 133238, 31, 66574, timeout, 52
j3022_3.sm, 143594, 15, 71769, timeout, 160
j3022_4.sm, 72362, 48, 36122, timeout, 49
j3022_5.sm, 154046, 18, 76992, timeout, 138
j3022_6.sm, 51731, 0, 25857, timeout, none
j3022_7.sm, 107362, 1, 53670, timeout, 69
j3022_8.sm, 90066, 24, 44997, timeout, 66
j3022_9.sm, 229, 2, 113, 2.09s, 76
j3022_10.sm, 133241, 1, 66608, timeout, 73
j3023_1.sm, 44057, 13, 22016, 194.19s, 63
j3023_2.sm, 53, 1, 26, 0.65s, 53
j3023_3.sm, 118191, 52, 59031, timeout, 54
j3023_4.sm, 148513, 14, 74230, timeout, 67
j3023_5.sm, 79, 2, 38, 0.94s, 52
j3023_6.sm, 4703, 65, 2287, 43.14s, 48
j3023_7.sm, 45123, 25, 22529, timeout, 69
j3023_8.sm, 35153, 0, 17571, timeout, none
j3023_9.sm, 1899, 17, 933, 16.81s, 63
j3023_10.sm, 115, 2, 56, 1.13s, 61
j3024_1.sm, 1903, 86, 866, 12.40s, 53
j3024_2.sm, 57, 1, 28, 0.68s, 58
j3024_3.sm, 127, 3, 61, 1.34s, 69
j3024_4.sm, 1499, 29, 721, 13.17s, 53
j3024_5.sm, 53764, 44, 26829, timeout, 69
j3024_6.sm, 1537, 54, 715, 11.64s, 56
j3024_7.sm, 81708, 0, 40842, timeout, none
j3024_8.sm, 1877, 66, 873, 19.41s, 38
j3024_9.sm, 653, 98, 229, 4.58s, 43
j3024_10.sm, 873, 47, 390, 7.30s, 53
j3025_1.sm, 87706, 0, 43840, timeout, none
j3025_2.sm, 32321, 0, 16157, timeout, none
j3025_3.sm, 120647, 0, 60313, timeout, none
j3025_4.sm, 69208, 0, 34593, timeout, none
j3025_5.sm, 113633, 3, 56801, timeout, 78
j3025_6.sm, 32666, 0, 16330, timeout, none
j3025_7.sm, 133620, 0, 66799, timeout, none
j3025_8.sm, 104444, 1, 52208, timeout, 102
j3025_9.sm, 58252, 0, 29114, timeout, none
j3025_10.sm, 177814, 0, 88893, timeout, none
j3026_1.sm, 173, 1, 86, 1.97s, 59
j3026_2.sm, 267, 2, 132, 2.18s, 40
j3026_3.sm, 30985, 4, 15489, 408.38s, 58
j3026_4.sm, 123213, 84, 61513, timeout, 74
j3026_5.sm, 45986, 3, 22981, timeout, 75
j3026_6.sm, 95519, 5, 47744, timeout, 143
j3026_7.sm, 1113, 85, 472, 8.63s, 56
j3026_8.sm, 122208, 1, 61090, timeout, 68
j3026_9.sm, 59882, 2, 29930, timeout, 48
j3026_10.sm, 110103, 95, 54945, timeout, 57
j3027_1.sm, 63964, 7, 31965, timeout, 140
j3027_2.sm, 1869, 37, 898, 14.69s, 58
j3027_3.sm, 42213, 0, 21099, timeout, none
j3027_4.sm, 2055, 4, 1024, 13.88s, 64
j3027_5.sm, 96739, 1, 48356, timeout, 73
j3027_6.sm, 84846, 23, 42388, timeout, 64
j3027_7.sm, 3341, 5, 1666, 27.60s, 49
j3027_8.sm, 170501, 0, 85239, timeout, none
j3027_9.sm, 1951, 19, 957, 16.84s, 55
j3027_10.sm, 279, 4, 136, 2.31s, 62
j3028_1.sm, 109, 1, 54, 1.06s, 69
j3028_2.sm, 57, 1, 28, 0.74s, 57
j3028_3.sm, 1803, 56, 846, 13.94s, 40
j3028_4.sm, 1085, 87, 456, 11.16s, 49
j3028_5.sm, 81, 2, 39, 0.88s, 73
j3028_6.sm, 367, 24, 160, 3.41s, 55
j3028_7.sm, 2293, 74, 1073, 27.60s, 48
j3028_8.sm, 145, 3, 70, 1.65s, 53
j3028_9.sm, 163217, 101, 81499, timeout, 64
j3028_10.sm, 275, 12, 126, 2.93s, 59
j3029_1.sm, 57900, 2, 28939, timeout, 176
j3029_2.sm, 34058, 0, 17024, timeout, none
j3029_3.sm, 106098, 0, 53037, timeout, none
j3029_4.sm, 29978, 0, 14985, timeout, none
j3029_5.sm, 137450, 0, 68712, timeout, none
j3029_6.sm, 100206, 84, 50008, timeout, 105
j3029_7.sm, 100787, 1, 50383, timeout, 83
j3029_8.sm, 96045, 0, 48009, timeout, none
j3029_9.sm, 108564, 3, 54268, timeout, 186
j3029_10.sm, 145783, 0, 72877, timeout, none
j3030_1.sm, 63611, 68, 31729, timeout, 54
j3030_2.sm, 58227, 0, 29103, timeout, none
j3030_3.sm, 106317, 6, 53139, timeout, 160
j3030_4.sm, 75131, 60, 37493, timeout, 106
j3030_5.sm, 50867, 2, 25424, timeout, 58
j3030_6.sm, 103213, 54, 51543, timeout, 65
j3030_7.sm, 76387, 98, 38085, timeout, 79
j3030_8.sm, 54256, 82, 27037, timeout, 47
j3030_9.sm, 89890, 62, 44872, timeout, 57
j3030_10.sm, 76636, 30, 38278, timeout, 135
j3031_1.sm, 3617, 37, 1772, 44.00s, 43
j3031_2.sm, 65, 1, 32, 0.93s, 63
j3031_3.sm, 2055, 54, 974, 28.08s, 58
j3031_4.sm, 27947, 41, 13933, 304.65s, 50
j3031_5.sm, 73757, 3, 36868, timeout, 57
j3031_6.sm, 73, 1, 36, 0.98s, 53
j3031_7.sm, 267, 3, 131, 3.31s, 61
