problem, nodes, solutions, fails, time, optimum
j301_1.sm, 29380, 66, 14611, timeout, 55
j301_2.sm, 1181, 52, 539, 48.66s, 47
j301_3.sm, 93355, 1, 46663, timeout, 58
j301_4.sm, 50807, 20, 25371, timeout, 77
j301_5.sm, 74892, 31, 37401, timeout, 89
j301_6.sm, 78877, 2, 39425, timeout, 49
j301_7.sm, 13875, 1, 6937, 110.83s, 60
j301_8.sm, 15991, 24, 7972, 134.12s, 53
j301_9.sm, 89152, 44, 44517, timeout, 117
j301_10.sm, 92263, 43, 46074, timeout, 50
j302_1.sm, 9221, 16, 4595, 183.07s, 38
j302_2.sm, 3449, 71, 1654, 139.98s, 51
j302_3.sm, 94327, 3, 47148, timeout, 48
j302_4.sm, 103582, 57, 51720, timeout, 105
j302_5.sm, 109, 1, 54, 4.52s, 51
j302_6.sm, 99984, 1, 49978, timeout, 52
j302_7.sm, 117, 4, 55, 5.54s, 47
j302_8.sm, 75717, 8, 37836, timeout, 157
j302_9.sm, 1853, 51, 876, 87.26s, 54
j302_10.sm, 145, 3, 70, 9.49s, 43
j303_1.sm, 149, 1, 74, 6.15s, 72
j303_2.sm, 114320, 0, 57148, timeout, none
j303_3.sm, 125, 1, 62, 6.24s, 57
j303_4.sm, 183, 1, 91, 6.17s, 98
j303_5.sm, 5358, 0, 2675, timeout, none
j303_6.sm, 65, 1, 32, 4.52s, 54
j303_7.sm, 53, 1, 26, 3.36s, 48
j303_8.sm, 59, 1, 29, 3.22s, 54
j303_9.sm, 36362, 1, 18171, timeout, 70
j303_10.sm, 81101, 1, 40535, timeout, 64
j304_1.sm, 103, 15, 37, 4.88s, 49
j304_2.sm, 51, 1, 25, 3.71s, 60
j304_3.sm, 2797, 55, 1344, 51.64s, 47
j304_4.sm, 161, 9, 72, 6.42s, 57
j304_5.sm, 113, 3, 54, 7.06s, 59
j304_6.sm, 1049, 43, 482, 48.44s, 45
j304_7.sm, 1223, 86, 526, 50.72s, 56
j304_8.sm, 627, 23, 291, 34.49s, 55
j304_9.sm, 93, 2, 45, 4.78s, 38
j304_10.sm, 883, 24, 418, 40.53s, 48
j305_1.sm, 39153, 1, 19565, timeout, 161
j305_2.sm, 32371, 1, 16176, timeout, 83
j305_3.sm, 12172, 0, 6080, timeout, none
j305_4.sm, 61012, 16, 30479, timeout, 67
j305_5.sm, 60222, 0, 30097, timeout, none
j305_6.sm, 5290, 0, 2640, timeout, none
j305_7.sm, 22563, 0, 11271, timeout, none
j305_8.sm, 70469, 41, 35181, timeout, 84
j305_9.sm, 45787, 3, 22879, timeout, 146
j305_10.sm, 107208, 0, 53591, timeout, none
j306_1.sm, 29490, 0, 14736, timeout, none
j306_2.sm, 16427, 15, 8189, timeout, 151
j306_3.sm, 99355, 58, 49606, timeout, 58
j306_4.sm, 34237, 42, 17071, timeout, 42
j306_5.sm, 101417, 2, 50695, timeout, 73
j306_6.sm, 197, 3, 96, 8.51s, 37
j306_7.sm, 95664, 38, 47783, timeout, 47
j306_8.sm, 85795, 1, 42887, timeout, 46
j306_9.sm, 157, 2, 77, 5.97s, 51
j306_10.sm, 50834, 2, 25403, timeout, 66
j307_1.sm, 20836, 0, 10407, timeout, none
j307_2.sm, 2257, 43, 1086, 46.47s, 42
j307_3.sm, 459, 75, 155, 14.43s, 42
j307_4.sm, 85468, 3, 42720, timeout, 47
j307_5.sm, 29495, 0, 14738, timeout, none
j307_6.sm, 1731, 37, 829, 38.73s, 35
j307_7.sm, 38952, 23, 19440, timeout, 140
j307_8.sm, 151, 2, 74, 7.02s, 44
j307_9.sm, 106788, 0, 53381, timeout, none
j307_10.sm, 48101, 20, 24020, timeout, 51
j308_1.sm, 387, 34, 160, 18.06s, 44
j308_2.sm, 81, 2, 39, 5.52s, 51
j308_3.sm, 99, 2, 48, 5.47s, 53
j308_4.sm, 123, 1, 61, 3.31s, 48
j308_5.sm, 219, 8, 102, 18.63s, 58
j308_6.sm, 1299, 40, 610, 88.92s, 47
j308_7.sm, 1483, 74, 668, 56.67s, 41
j308_8.sm, 817, 16, 393, 20.63s, 51
j308_9.sm, 117, 3, 56, 6.00s, 39
j308_10.sm, 89, 1, 44, 4.44s, 67
j309_1.sm, 77078, 0, 38525, timeout, none
j309_2.sm, 45199, 0, 22588, timeout, none
j309_3.sm, 45288, 1, 22629, timeout, 87
j309_4.sm, 56142, 1, 28058, timeout, 80
j309_5.sm, 74454, 1, 37213, timeout, 88
j309_6.sm, 77140, 0, 38559, timeout, none
j309_7.sm, 34090, 0, 17036, timeout, none
j309_8.sm, 69086, 0, 34530, timeout, none
j309_9.sm, 86135, 0, 43054, timeout, none
j309_10.sm, 86883, 0, 43428, timeout, none
j3010_1.sm, 92852, 31, 46385, timeout, 52
j3010_2.sm, 68567, 2, 34275, timeout, 61
j3010_3.sm, 94430, 3, 47199, timeout, 77
j3010_4.sm, 55920, 90, 27859, timeout, 68
j3010_5.sm, 39236, 33, 19575, timeout, 131
j3010_6.sm, 54211, 20, 27079, timeout, 46
j3010_7.sm, 33536, 4, 16759, timeout, 49
j3010_8.sm, 37265, 59, 18561, timeout, 118
j3010_9.sm, 109627, 1, 54801, timeout, 50
j3010_10.sm, 52528, 58, 26193, timeout, 100
j3011_1.sm, 95824, 1, 47901, timeout, 64
j3011_2.sm, 79779, 4, 39871, timeout, 62
j3011_3.sm, 73, 1, 36, 4.48s, 81
j3011_4.sm, 25644, 1, 12813, timeout, 191
j3011_5.sm, 24212, 0, 12096, timeout, none
j3011_6.sm, 73041, 79, 36442, 478.98s, 44
j3011_7.sm, 54230, 56, 27047, timeout, 48
j3011_8.sm, 94066, 6, 47013, timeout, 178
j3011_9.sm, 61, 1, 30, 3.93s, 67
j3011_10.sm, 1395, 57, 641, 65.58s, 38
j3012_1.sm, 1299, 31, 619, 76.72s, 47
j3012_2.sm, 1371, 51, 635, 84.29s, 46
j3012_3.sm, 2225, 93, 1020, 76.51s, 37
j3012_4.sm, 523, 37, 225, 31.52s, 63
j3012_5.sm, 341, 17, 154, 15.18s, 47
j3012_6.sm, 65, 2, 31, 5.18s, 53
j3012_7.sm, 943, 65, 407, 47.28s, 55
j3012_8.sm, 1889, 93, 852, 62.97s, 35
j3012_9.sm, 127, 3, 61, 7.32s, 52
j3012_10.sm, 55, 1, 27, 4.56s, 57
j3013_1.sm, 92087, 5, 46028, timeout, 66
j3013_2.sm, 53023, 1, 26499, timeout, 75
j3013_3.sm, 12251, 0, 6119, timeout, none
