problem, nodes, solutions, fails, time, optimum
j301_1.sm, 31676, 0, 15794, timeout, none
j301_2.sm, 34493, 0, 17197, timeout, none
j301_3.sm, 34601, 0, 17247, timeout, none
j301_4.sm, 33976, 0, 16948, timeout, none
j301_5.sm, 34291, 0, 17092, timeout, none
j301_6.sm, 86564, 0, 43231, timeout, none
j301_7.sm, 36126, 0, 18003, timeout, none
j301_8.sm, 59486, 0, 29682, timeout, none
j301_9.sm, 34405, 0, 17150, timeout, none
j301_10.sm, 56031, 0, 27947, timeout, none
j302_1.sm, 38310, 0, 19089, timeout, none
j302_2.sm, 34251, 0, 17065, timeout, none
j302_3.sm, 34650, 0, 17277, timeout, none
j302_4.sm, 33185, 1, 16539, timeout, 45
j302_5.sm, 275, 1, 137, 4.20s, 51
j302_6.sm, 42700, 0, 21286, timeout, none
j302_7.sm, 40210, 2, 20054, timeout, 52
j302_8.sm, 36359, 0, 18111, timeout, none
j302_9.sm, 41342, 2, 20600, timeout, 58
j302_10.sm, 60820, 0, 30356, timeout, none
j303_1.sm, 35340, 0, 17612, timeout, none
j303_2.sm, 1299, 1, 649, 22.28s, 40
j303_3.sm, 34790, 0, 17341, timeout, none
j303_4.sm, 463, 2, 230, 7.13s, 98
j303_5.sm, 42607, 0, 21240, timeout, none
j303_6.sm, 299, 1, 149, 4.85s, 54
j303_7.sm, 33614, 1, 16754, timeout, 54
j303_8.sm, 305, 1, 152, 4.65s, 54
j303_9.sm, 35112, 0, 17501, timeout, none
j303_10.sm, 34996, 1, 17453, timeout, 59
j304_1.sm, 329, 1, 164, 5.00s, 49
j304_2.sm, 347, 1, 173, 5.21s, 60
j304_3.sm, 327, 1, 163, 5.02s, 47
j304_4.sm, 291, 1, 145, 4.34s, 57
j304_5.sm, 367, 1, 183, 5.72s, 59
j304_6.sm, 293, 1, 146, 4.44s, 45
j304_7.sm, 357, 1, 178, 5.47s, 56
j304_8.sm, 311, 1, 155, 4.68s, 55
j304_9.sm, 339, 1, 169, 5.16s, 38
j304_10.sm, 387, 1, 193, 5.95s, 48
j305_1.sm, 29563, 0, 14745, timeout, none
j305_2.sm, 29536, 0, 14737, timeout, none
j305_3.sm, 25928, 0, 12932, timeout, none
j305_4.sm, 29569, 0, 14748, timeout, none
j305_5.sm, 29057, 0, 14495, timeout, none
j305_6.sm, 25899, 0, 12918, timeout, none
j305_7.sm, 31847, 0, 15887, timeout, none
j305_8.sm, 25411, 0, 12671, timeout, none
j305_9.sm, 29783, 0, 14857, timeout, none
j305_10.sm, 30731, 0, 15319, timeout, none
j306_1.sm, 32828, 0, 16361, timeout, none
j306_2.sm, 31654, 0, 15781, timeout, none
j306_3.sm, 33812, 0, 16857, timeout, none
j306_4.sm, 31573, 0, 15744, timeout, none
j306_5.sm, 30268, 0, 15088, timeout, none
j306_6.sm, 31669, 0, 15774, timeout, none
j306_7.sm, 33523, 0, 16714, timeout, none
j306_8.sm, 31379, 0, 15635, timeout, none
j306_9.sm, 34189, 0, 17049, timeout, none
j306_10.sm, 30821, 0, 15357, timeout, none
j307_1.sm, 309, 1, 154, 4.97s, 55
j307_2.sm, 4489, 3, 2242, 75.27s, 42
j307_3.sm, 36035, 0, 17959, timeout, none
j307_4.sm, 34479, 0, 17182, timeout, none
j307_5.sm, 21289, 2, 10643, 378.75s, 44
j307_6.sm, 341, 2, 169, 5.16s, 35
j307_7.sm, 34413, 0, 17153, timeout, none
j307_8.sm, 427, 2, 212, 7.04s, 44
j307_9.sm, 34655, 1, 17274, timeout, 65
j307_10.sm, 33719, 0, 16806, timeout, none
j308_1.sm, 315, 1, 157, 4.85s, 44
j308_2.sm, 385, 1, 192, 5.93s, 51
j308_3.sm, 421, 1, 210, 6.55s, 53
j308_4.sm, 337, 1, 168, 5.25s, 48
j308_5.sm, 295, 1, 147, 4.53s, 58
j308_6.sm, 397, 1, 198, 6.26s, 47
j308_7.sm, 353, 1, 176, 5.45s, 41
j308_8.sm, 353, 1, 176, 5.43s, 51
j308_9.sm, 347, 1, 173, 5.46s, 39
j308_10.sm, 349, 1, 174, 5.36s, 67
j309_1.sm, 21185, 0, 10558, timeout, none
j309_2.sm, 19483, 0, 9711, timeout, none
j309_3.sm, 21875, 0, 10905, timeout, none
j309_4.sm, 22206, 0, 11063, timeout, none
j309_5.sm, 26083, 0, 13010, timeout, none
j309_6.sm, 27956, 0, 13944, timeout, none
j309_7.sm, 27003, 0, 13453, timeout, none
j309_8.sm, 27596, 0, 13766, timeout, none
j309_9.sm, 23715, 0, 11827, timeout, none
j309_10.sm, 25697, 0, 12819, timeout, none
j3010_1.sm, 31708, 0, 15790, timeout, none
j3010_2.sm, 28981, 0, 14442, timeout, none
j3010_3.sm, 28490, 0, 14197, timeout, none
j3010_4.sm, 32395, 0, 16135, timeout, none
j3010_5.sm, 30588, 0, 15231, timeout, none
j3010_6.sm, 30369, 0, 15133, timeout, none
j3010_7.sm, 31472, 0, 15677, timeout, none
j3010_8.sm, 30623, 0, 15258, timeout, none
j3010_9.sm, 33914, 0, 16896, timeout, none
j3010_10.sm, 31614, 0, 15749, timeout, none
j3011_1.sm, 33307, 0, 16600, timeout, none
j3011_2.sm, 31761, 0, 15824, timeout, none
j3011_3.sm, 1403, 3, 699, 22.65s, 81
j3011_4.sm, 33277, 1, 16588, timeout, 63
j3011_5.sm, 32588, 0, 16241, timeout, none
j3011_6.sm, 33172, 0, 16521, timeout, none
j3011_7.sm, 35316, 0, 17603, timeout, none
j3011_8.sm, 47740, 0, 23798, timeout, none
j3011_9.sm, 33993, 0, 16941, timeout, none
j3011_10.sm, 34815, 0, 17351, timeout, none
j3012_1.sm, 415, 1, 207, 6.62s, 47
j3012_2.sm, 409, 1, 204, 6.52s, 46
j3012_3.sm, 325, 1, 162, 5.17s, 37
j3012_4.sm, 385, 1, 192, 6.13s, 63
j3012_5.sm, 355, 1, 177, 5.67s, 47
j3012_6.sm, 355, 1, 177, 5.65s, 53
j3012_7.sm, 403, 1, 201, 6.47s, 55
j3012_8.sm, 391, 1, 195, 6.22s, 35
j3012_9.sm, 403, 1, 201, 6.40s, 52
j3012_10.sm, 395, 1, 197, 6.24s, 57
j3013_1.sm, 20141, 0, 10030, timeout, none
j3013_2.sm, 17401, 0, 8661, timeout, none
j3013_3.sm, 22726, 0, 11330, timeout, none
j3013_4.sm, 17878, 0, 8907, timeout, none
j3013_5.sm, 24253, 0, 12084, timeout, none
j3013_6.sm, 20290, 0, 10104, timeout, none
j3013_7.sm, 17315, 0, 8627, timeout, none
j3013_8.sm, 15407, 0, 7677, timeout, none
j3013_9.sm, 25163, 0, 12536, timeout, none
j3013_10.sm, 25793, 0, 12851, timeout, none
j3014_1.sm, 27690, 0, 13789, timeout, none
j3014_2.sm, 25369, 0, 12638, timeout, none
j3014_3.sm, 25593, 0, 12755, timeout, none
j3014_4.sm, 27496, 0, 13693, timeout, none
j3014_5.sm, 26848, 0, 13379, timeout, none
j3014_6.sm, 21558, 0, 10722, timeout, none
j3014_7.sm, 24927, 0, 12411, timeout, none
j3014_8.sm, 26562, 0, 13230, timeout, none
j3014_9.sm, 28811, 0, 14359, timeout, none
j3014_10.sm, 32485, 3, 16188, timeout, 63
j3015_1.sm, 34228, 0, 17049, timeout, none
j3015_2.sm, 37834, 0, 18845, timeout, none
j3015_3.sm, 34172, 0, 17025, timeout, none
j3015_4.sm, 30128, 0, 14995, timeout, none
