problem, nodes, solutions, fails, time, optimum
j301_1.sm, 61172, 4, 30573, timeout, 50
j301_2.sm, 141886, 0, 70931, timeout, none
j301_3.sm, 55229, 1, 27606, timeout, 56
j301_4.sm, 47870, 4, 23925, timeout, 65
j301_5.sm, 46691, 4, 23334, timeout, 42
j301_6.sm, 42729, 1, 21359, timeout, 49
j301_7.sm, 2437, 5, 1214, 29.06s, 60
j301_8.sm, 629, 8, 307, 7.04s, 53
j301_9.sm, 46199, 3, 23091, timeout, 49
j301_10.sm, 60615, 2, 30296, timeout, 58
j302_1.sm, 47345, 4, 23662, timeout, 41
j302_2.sm, 214887, 0, 107432, timeout, none
j302_3.sm, 65119, 0, 32550, timeout, none
j302_4.sm, 26727, 3, 13361, 200.96s, 43
j302_5.sm, 179, 2, 88, 1.59s, 51
j302_6.sm, 105950, 0, 52964, timeout, none
j302_7.sm, 673, 4, 333, 7.38s, 47
j302_8.sm, 38628, 4, 19305, timeout, 60
j302_9.sm, 1005, 5, 498, 9.09s, 54
j302_10.sm, 46309, 4, 23144, timeout, 47
j303_1.sm, 459, 3, 227, 5.15s, 72
j303_2.sm, 77631, 2, 38802, timeout, 46
j303_3.sm, 305, 3, 150, 3.43s, 57
j303_4.sm, 417, 2, 207, 5.10s, 98
j303_5.sm, 64968, 3, 32473, timeout, 53
j303_6.sm, 131, 2, 64, 1.53s, 54
j303_7.sm, 337, 2, 167, 4.37s, 48
j303_8.sm, 59, 1, 29, 0.67s, 54
j303_9.sm, 51079, 2, 25532, timeout, 68
j303_10.sm, 59993, 1, 29989, timeout, 71
j304_1.sm, 41, 1, 20, 0.41s, 49
j304_2.sm, 45, 1, 22, 0.50s, 60
j304_3.sm, 37, 1, 18, 0.41s, 47
j304_4.sm, 37, 1, 18, 0.38s, 57
j304_5.sm, 41, 1, 20, 0.46s, 59
j304_6.sm, 39, 1, 19, 0.40s, 45
j304_7.sm, 41, 1, 20, 0.43s, 56
j304_8.sm, 39, 1, 19, 0.41s, 55
j304_9.sm, 47, 1, 23, 0.51s, 38
j304_10.sm, 47, 1, 23, 0.52s, 48
j305_1.sm, 57215, 2, 28597, timeout, 60
j305_2.sm, 102983, 0, 51481, timeout, none
j305_3.sm, 74014, 4, 36995, timeout, 103
j305_4.sm, 66324, 2, 33149, timeout, 92
j305_5.sm, 85245, 0, 42611, timeout, none
j305_6.sm, 86150, 0, 43063, timeout, none
j305_7.sm, 84563, 0, 42270, timeout, none
j305_8.sm, 102266, 3, 51120, timeout, 81
j305_9.sm, 72138, 1, 36058, timeout, 67
j305_10.sm, 87145, 0, 43560, timeout, none
j306_1.sm, 56739, 2, 28359, timeout, 71
j306_2.sm, 63323, 2, 31650, timeout, 73
j306_3.sm, 93113, 0, 46547, timeout, none
j306_4.sm, 47579, 7, 23777, timeout, 47
j306_5.sm, 59837, 6, 29906, timeout, 68
j306_6.sm, 47015, 1, 23500, timeout, 49
j306_7.sm, 39107, 9, 19538, timeout, 52
j306_8.sm, 80681, 5, 40328, timeout, 44
j306_9.sm, 179, 3, 87, 2.00s, 51
j306_10.sm, 103623, 0, 51803, timeout, none
j307_1.sm, 60935, 0, 30459, timeout, none
j307_2.sm, 115078, 4, 57526, timeout, 51
j307_3.sm, 40915, 1, 20451, timeout, 50
j307_4.sm, 50759, 1, 25373, timeout, 45
j307_5.sm, 140839, 0, 70409, timeout, none
j307_6.sm, 217, 3, 106, 2.04s, 35
j307_7.sm, 55309, 3, 27646, timeout, 51
j307_8.sm, 141, 2, 69, 1.89s, 44
j307_9.sm, 69382, 1, 34681, timeout, 68
j307_10.sm, 79625, 0, 39803, timeout, none
j308_1.sm, 45, 1, 22, 0.48s, 44
j308_2.sm, 43, 1, 21, 0.46s, 51
j308_3.sm, 47, 1, 23, 0.51s, 53
j308_4.sm, 43, 1, 21, 0.48s, 48
j308_5.sm, 39, 1, 19, 0.39s, 58
j308_6.sm, 47, 1, 23, 0.51s, 47
j308_7.sm, 47, 1, 23, 0.53s, 41
j308_8.sm, 41, 1, 20, 0.48s, 51
j308_9.sm, 43, 1, 21, 0.48s, 39
j308_10.sm, 45, 1, 22, 0.50s, 67
j309_1.sm, 67700, 0, 33839, timeout, none
j309_2.sm, 56091, 0, 28035, timeout, none
j309_3.sm, 84543, 0, 42259, timeout, none
j309_4.sm, 47336, 11, 23650, timeout, 95
j309_5.sm, 166828, 0, 83402, timeout, none
j309_6.sm, 51373, 1, 25677, timeout, 86
j309_7.sm, 78472, 2, 39224, timeout, 86
j309_8.sm, 137762, 0, 68869, timeout, none
j309_9.sm, 81612, 0, 40796, timeout, none
j309_10.sm, 56214, 0, 28096, timeout, none
j3010_1.sm, 57535, 2, 28757, timeout, 50
j3010_2.sm, 83748, 0, 41863, timeout, none
j3010_3.sm, 239764, 0, 119872, timeout, none
j3010_4.sm, 45619, 5, 22800, timeout, 64
j3010_5.sm, 55978, 8, 27975, timeout, 44
j3010_6.sm, 99326, 0, 49652, timeout, none
j3010_7.sm, 55736, 5, 27853, timeout, 57
j3010_8.sm, 93385, 1, 46680, timeout, 68
j3010_9.sm, 465, 5, 228, 4.93s, 49
j3010_10.sm, 139985, 0, 69981, timeout, none
j3011_1.sm, 48561, 3, 24271, timeout, 60
j3011_2.sm, 64848, 1, 32414, timeout, 75
j3011_3.sm, 139596, 0, 69789, timeout, none
j3011_4.sm, 126800, 0, 63390, timeout, none
j3011_5.sm, 118757, 0, 59367, timeout, none
j3011_6.sm, 3677, 7, 1832, 43.94s, 44
j3011_7.sm, 41253, 2, 20618, timeout, 37
j3011_8.sm, 369, 4, 181, 3.47s, 62
j3011_9.sm, 70078, 0, 35029, timeout, none
j3011_10.sm, 56591, 1, 28286, timeout, 48
j3012_1.sm, 43, 1, 21, 0.57s, 47
j3012_2.sm, 45, 1, 22, 0.55s, 46
j3012_3.sm, 49, 1, 24, 0.60s, 37
j3012_4.sm, 43, 1, 21, 0.55s, 63
j3012_5.sm, 47, 1, 23, 0.59s, 47
j3012_6.sm, 47, 1, 23, 0.61s, 53
j3012_7.sm, 43, 1, 21, 0.54s, 55
j3012_8.sm, 45, 1, 22, 0.56s, 35
j3012_9.sm, 49, 1, 24, 0.67s, 52
j3012_10.sm, 45, 1, 22, 0.58s, 57
j3013_1.sm, 149101, 0, 74538, timeout, none
j3013_2.sm, 127048, 0, 63511, timeout, none
j3013_3.sm, 102958, 0, 51468, timeout, none
j3013_4.sm, 85310, 0, 42646, timeout, none
j3013_5.sm, 58622, 7, 29297, timeout, 73
j3013_6.sm, 50056, 2, 25018, timeout, 83
j3013_7.sm, 47638, 5, 23806, timeout, 89
j3013_8.sm, 49692, 4, 24835, timeout, 136
j3013_9.sm, 88412, 1, 44196, timeout, 104
j3013_10.sm, 103522, 0, 51748, timeout, none
j3014_1.sm, 38746, 7, 19362, timeout, 52
j3014_2.sm, 89081, 0, 44530, timeout, none
j3014_3.sm, 57067, 3, 28522, timeout, 68
j3014_4.sm, 58803, 2, 29391, timeout, 60
j3014_5.sm, 42113, 0, 21050, timeout, none
j3014_6.sm, 110424, 0, 55200, timeout, none
j3014_7.sm, 124660, 0, 62321, timeout, none
j3014_8.sm, 43862, 4, 21921, timeout, 60
j3014_9.sm, 50802, 3, 25390, timeout, 61
j3014_10.sm, 60217, 3, 30095, timeout, 73
j3015_1.sm, 61044, 6, 30509, timeout, 48
