problem, nodes, solutions, fails, time, optimum
pat1.rcp, 4716737, 8, 2358294, timeout, 33
pat2.rcp, 107, 4, 50, 0.01s, 7
pat3.rcp, 6924209, 11, 3462060, timeout, 26
pat4.rcp, 4800887, 0, 2400227, timeout, none
pat5.rcp, 4734663, 0, 2367114, timeout, none
pat6.rcp, 4757247, 0, 2378404, timeout, none
pat7.rcp, 13891, 9, 6937, 0.58s, 8
pat8.rcp, 9263, 7, 4625, 0.40s, 11
pat9.rcp, 4583127, 0, 2291422, timeout, none
pat10.rcp, 543, 11, 261, 0.02s, 14
pat11.rcp, 649, 7, 318, 0.03s, 18
pat12.rcp, 3775290, 0, 1887417, timeout, none
pat13.rcp, 3127957, 0, 1563774, timeout, none
pat14.rcp, 4179573, 0, 2089213, timeout, none
pat15.rcp, 2898598, 0, 1448726, timeout, none
pat16.rcp, 8037684, 0, 4018626, timeout, none
pat17.rcp, 4272347, 0, 2135959, timeout, none
pat18.rcp, 7947619, 0, 3973604, timeout, none
pat19.rcp, 4286705, 0, 2143149, timeout, none
pat20.rcp, 15346438, 0, 7673004, timeout, none
pat21.rcp, 15340463, 0, 7670072, timeout, none
pat22.rcp, 5638824, 0, 2819196, timeout, none
pat23.rcp, 4700927, 0, 2350258, timeout, none
pat24.rcp, 12417930, 0, 6208750, timeout, none
pat25.rcp, 20168253, 0, 10083910, timeout, none
pat26.rcp, 20181120, 0, 10090372, timeout, none
pat27.rcp, 14457433, 0, 7228501, timeout, none
pat28.rcp, 14482761, 0, 7241174, timeout, none
pat29.rcp, 6863482, 0, 3431527, timeout, none
pat30.rcp, 15475726, 0, 7737645, timeout, none
pat31.rcp, 15508043, 0, 7753823, timeout, none
pat32.rcp, 3670611, 0, 1835091, timeout, none
pat33.rcp, 3647125, 0, 1823358, timeout, none
pat34.rcp, 3669849, 0, 1834738, timeout, none
pat35.rcp, 6715385, 0, 3357478, timeout, none
pat36.rcp, 4754891, 0, 2377231, timeout, none
pat37.rcp, 4653547, 0, 2326557, timeout, none
pat38.rcp, 4651752, 0, 2325668, timeout, none
pat39.rcp, 13933582, 0, 6966575, timeout, none
pat40.rcp, 13785808, 0, 6892687, timeout, none
pat41.rcp, 6947333, 0, 3473451, timeout, none
pat42.rcp, 4585382, 0, 2292477, timeout, none
pat43.rcp, 4572929, 0, 2286319, timeout, none
pat44.rcp, 4061259, 0, 2030416, timeout, none
pat45.rcp, 4062699, 0, 2031145, timeout, none
pat46.rcp, 7828253, 0, 3913911, timeout, none
pat47.rcp, 7884029, 0, 3941807, timeout, none
pat48.rcp, 3667565, 0, 1833568, timeout, none
pat49.rcp, 3681095, 0, 1840329, timeout, none
pat50.rcp, 3662117, 0, 1830843, timeout, none
pat51.rcp, 3707354, 0, 1853462, timeout, none
pat52.rcp, 3737197, 0, 1868385, timeout, none
pat53.rcp, 4701864, 0, 2350718, timeout, none
pat54.rcp, 4476934, 0, 2238367, timeout, none
pat55.rcp, 4465557, 0, 2232564, timeout, none
pat56.rcp, 4453075, 0, 2226321, timeout, none
pat57.rcp, 3661686, 0, 1830625, timeout, none
pat58.rcp, 4606580, 0, 2302957, timeout, none
pat59.rcp, 6751953, 0, 3375644, timeout, none
pat60.rcp, 4510514, 0, 2254925, timeout, none
