problem, nodes, solutions, fails, time, optimum
pat1.rcp, 831, 22, 394, 0.16s, 19
pat2.rcp, 21, 3, 8, 0.01s, 7
pat3.rcp, 797, 21, 378, 0.19s, 20
pat4.rcp, 117, 14, 45, 0.07s, 6
pat5.rcp, 267, 14, 120, 0.18s, 7
pat6.rcp, 651, 13, 313, 0.26s, 8
pat7.rcp, 61, 9, 22, 0.01s, 8
pat8.rcp, 139, 7, 63, 0.03s, 11
pat9.rcp, 629, 38, 277, 0.22s, 19
pat10.rcp, 107, 10, 44, 0.01s, 14
pat11.rcp, 1447, 7, 717, 0.06s, 18
pat12.rcp, 7773, 27, 3860, 3.11s, 13
pat13.rcp, 4336183, 7, 2168012, timeout, 42
pat14.rcp, 3825705, 0, 1912717, timeout, none
pat15.rcp, 20147, 61, 10013, 5.44s, 43
pat16.rcp, 644219, 44, 322066, 193.65s, 32
pat17.rcp, 312143, 33, 156039, 176.62s, 29
pat18.rcp, 1526712, 0, 763294, timeout, none
pat19.rcp, 986662, 5, 493282, timeout, 57
pat20.rcp, 7339, 37, 3633, 2.76s, 37
pat21.rcp, 1259532, 0, 629711, timeout, none
pat22.rcp, 116373, 44, 58143, 90.48s, 36
pat23.rcp, 1990525, 1, 995207, timeout, 57
pat24.rcp, 2389681, 45, 1194796, 421.29s, 40
pat25.rcp, 8403, 33, 4169, 1.96s, 33
pat26.rcp, 2352625, 19, 1176273, timeout, 47
pat27.rcp, 2285981, 23, 1142933, timeout, 56
pat28.rcp, 1035457, 36, 517693, 594.59s, 43
pat29.rcp, 497467, 38, 248696, 191.65s, 29
pat30.rcp, 2950020, 20, 1474956, timeout, 49
pat31.rcp, 2601041, 0, 1300461, timeout, none
pat32.rcp, 65989, 32, 32963, 15.72s, 22
pat33.rcp, 2930343, 0, 1465122, timeout, none
pat34.rcp, 1761031, 0, 880470, timeout, none
pat35.rcp, 1332131, 41, 666025, 332.74s, 31
pat36.rcp, 525329, 38, 262627, 193.15s, 33
pat37.rcp, 519367, 33, 259651, 203.47s, 28
pat38.rcp, 465273, 31, 232606, 210.75s, 30
pat39.rcp, 46381, 42, 23149, 18.24s, 31
pat40.rcp, 754023, 40, 376972, 334.06s, 31
pat41.rcp, 3254994, 10, 1627429, timeout, 71
pat42.rcp, 348783, 34, 174358, 82.30s, 28
pat43.rcp, 561491, 0, 280701, timeout, none
pat44.rcp, 2109, 35, 1020, 0.80s, 31
pat45.rcp, 3279501, 0, 1639695, timeout, none
pat46.rcp, 1621427, 35, 810679, 546.21s, 33
pat47.rcp, 1551224, 10, 775563, timeout, 58
pat48.rcp, 390377, 33, 195156, 233.58s, 23
pat49.rcp, 1715, 37, 821, 0.65s, 18
pat50.rcp, 524715, 31, 262327, 363.30s, 25
pat51.rcp, 533317, 31, 266628, 411.72s, 25
pat52.rcp, 751569, 25, 375748, timeout, 31
pat53.rcp, 57287, 28, 28616, 47.31s, 28
pat54.rcp, 1156977, 0, 578455, timeout, none
pat55.rcp, 26461, 27, 13204, 6.33s, 29
pat56.rcp, 2085, 28, 1015, 0.28s, 27
pat57.rcp, 1781, 34, 857, 0.47s, 21
pat58.rcp, 761898, 5, 380872, timeout, 78
pat59.rcp, 55759, 40, 27840, 28.95s, 31
pat60.rcp, 216527, 55, 108209, 113.28s, 39
pat61.rcp, 973132, 6, 486483, timeout, 84
pat62.rcp, 435417, 50, 217659, 423.68s, 37
pat63.rcp, 1010773, 1, 505300, timeout, 93
pat64.rcp, 1737986, 2, 868914, timeout, 84
pat65.rcp, 473375, 56, 236632, 474.47s, 40
pat66.rcp, 111547, 50, 55724, 44.27s, 38
pat67.rcp, 846359, 47, 423133, 587.51s, 27
pat68.rcp, 2258837, 18, 1129338, timeout, 79
pat69.rcp, 520065, 42, 259991, 387.09s, 30
pat70.rcp, 1525959, 46, 762934, 583.31s, 31
pat71.rcp, 344699, 49, 172301, 236.71s, 32
pat72.rcp, 393017, 0, 196446, timeout, none
pat73.rcp, 2182613, 0, 1091231, timeout, none
pat74.rcp, 7615, 38, 3770, 3.71s, 30
pat75.rcp, 1063044, 9, 531471, timeout, 60
pat76.rcp, 2229952, 0, 1114919, timeout, none
pat77.rcp, 606488, 0, 303174, timeout, none
pat78.rcp, 457071, 0, 228457, timeout, none
pat79.rcp, 908555, 1, 454200, timeout, 87
pat80.rcp, 757570, 38, 378725, timeout, 50
pat81.rcp, 874921, 52, 437409, 466.19s, 36
pat82.rcp, 24841, 54, 12367, 11.43s, 34
pat83.rcp, 3133, 54, 1513, 4.48s, 34
pat84.rcp, 4067, 55, 1979, 4.21s, 33
pat85.rcp, 3263, 56, 1576, 1.82s, 31
pat86.rcp, 3599, 56, 1744, 1.77s, 31
pat87.rcp, 796545, 13, 398212, timeout, 58
pat88.rcp, 3601552, 0, 1800694, timeout, none
pat89.rcp, 98705, 46, 49307, 31.93s, 31
pat90.rcp, 488413, 47, 244147, timeout, 46
pat91.rcp, 1262337, 5, 631089, timeout, 81
pat92.rcp, 241877, 38, 120901, 152.00s, 28
pat93.rcp, 1398471, 35, 699201, 589.82s, 26
pat94.rcp, 379141, 50, 189521, 106.99s, 36
pat95.rcp, 430347, 45, 215129, 332.16s, 33
pat96.rcp, 2531614, 14, 1265753, timeout, 49
pat97.rcp, 258007, 45, 128959, 188.76s, 30
pat98.rcp, 609363, 4, 304586, timeout, 98
pat99.rcp, 945263, 12, 472557, timeout, 75
pat100.rcp, 746154, 26, 373005, timeout, 58
pat101.rcp, 152003, 1, 75848, timeout, 175
pat102.rcp, 39807, 90, 19814, 41.49s, 83
pat103.rcp, 7675, 93, 3745, 15.12s, 56
pat104.rcp, 33691, 110, 16736, 74.51s, 79
pat105.rcp, 1025556, 53, 512676, timeout, 105
pat106.rcp, 422557, 76, 211203, 162.97s, 60
pat107.rcp, 15585, 111, 7682, 22.89s, 78
pat108.rcp, 933460, 2, 466581, timeout, 148
pat109.rcp, 185582, 0, 92634, timeout, none
pat110.rcp, 390573, 69, 195218, 224.27s, 50
