problem, nodes, solutions, fails, time, optimum
pat1.rcp, 173, 22, 65, 0.04s, 19
pat2.rcp, 17, 4, 5, 0.01s, 7
pat3.rcp, 215, 21, 87, 0.05s, 20
pat4.rcp, 103, 14, 38, 0.06s, 7
pat5.rcp, 101, 14, 37, 0.06s, 7
pat6.rcp, 145, 13, 60, 0.14s, 8
pat7.rcp, 53, 10, 17, 0.01s, 8
pat8.rcp, 81, 7, 34, 0.02s, 11
pat9.rcp, 303, 39, 113, 0.10s, 19
pat10.rcp, 53, 11, 16, 0.01s, 14
pat11.rcp, 83, 7, 35, 0.01s, 18
pat12.rcp, 568916, 27, 284426, timeout, 13
pat13.rcp, 646680, 29, 323307, timeout, 20
pat14.rcp, 498848, 79, 249334, timeout, 43
pat15.rcp, 593, 62, 235, 0.64s, 43
pat16.rcp, 43819, 44, 21866, 28.29s, 32
pat17.rcp, 42105, 33, 21020, 35.41s, 29
pat18.rcp, 1030711, 35, 515315, timeout, 41
pat19.rcp, 543789, 31, 271859, timeout, 31
pat20.rcp, 379, 38, 152, 0.17s, 37
pat21.rcp, 975537, 25, 487737, timeout, 50
pat22.rcp, 11243, 44, 5578, 8.39s, 36
pat23.rcp, 692093, 26, 346016, timeout, 32
pat24.rcp, 409, 46, 159, 0.23s, 40
pat25.rcp, 227, 33, 81, 0.12s, 33
pat26.rcp, 140929, 23, 70442, 82.84s, 43
pat27.rcp, 113821, 43, 56868, 90.56s, 36
pat28.rcp, 111955, 36, 55942, 85.15s, 43
pat29.rcp, 53189, 38, 26557, 39.29s, 29
pat30.rcp, 1301334, 37, 650623, timeout, 32
pat31.rcp, 1086265, 34, 543095, timeout, 35
pat32.rcp, 1233, 33, 584, 0.75s, 22
pat33.rcp, 999707, 23, 499824, timeout, 32
pat34.rcp, 852937, 25, 426438, timeout, 30
pat35.rcp, 44831, 41, 22375, 35.16s, 31
pat36.rcp, 120539, 38, 60232, 63.56s, 33
pat37.rcp, 379347, 33, 189641, 230.44s, 28
pat38.rcp, 36901, 31, 18420, 27.99s, 30
pat39.rcp, 757, 43, 336, 0.36s, 31
pat40.rcp, 52793, 40, 26357, 48.32s, 31
pat41.rcp, 28985, 45, 14448, 20.66s, 36
pat42.rcp, 1833, 35, 882, 0.95s, 28
pat43.rcp, 638365, 21, 319155, timeout, 42
pat44.rcp, 395, 36, 162, 0.19s, 31
pat45.rcp, 1057420, 23, 528681, timeout, 44
pat46.rcp, 23353, 35, 11642, 11.31s, 33
pat47.rcp, 86749, 33, 43342, 43.90s, 35
