problem, nodes, solutions, fails, time, optimum
pat1.rcp, 41, 2, 19, 0.05s, 19
pat2.rcp, 29, 2, 13, 0.01s, 7
pat3.rcp, 71, 3, 33, 0.08s, 20
pat4.rcp, 43, 1, 21, 0.05s, 6
pat5.rcp, 43, 1, 21, 0.05s, 7
pat6.rcp, 121, 1, 60, 0.12s, 8
pat7.rcp, 25, 3, 10, 0.01s, 8
pat8.rcp, 211, 3, 103, 0.04s, 11
pat9.rcp, 89, 3, 42, 0.14s, 19
pat10.rcp, 15, 1, 7, 0.01s, 14
pat11.rcp, 209, 1, 104, 0.03s, 18
pat12.rcp, 996579, 2, 498288, 530.25s, 13
pat13.rcp, 823993, 2, 411988, timeout, 20
pat14.rcp, 278759, 2, 139371, timeout, 43
pat15.rcp, 289, 6, 139, 2.14s, 43
pat16.rcp, 4283, 3, 2139, 5.45s, 32
pat17.rcp, 10615, 2, 5306, 11.73s, 29
pat18.rcp, 531920, 7, 265950, timeout, 41
pat19.rcp, 274129, 2, 137063, 369.58s, 31
pat20.rcp, 121, 3, 58, 0.40s, 37
pat21.rcp, 388245, 2, 194116, timeout, 50
pat22.rcp, 1049, 6, 519, 2.44s, 36
pat23.rcp, 698305, 5, 349143, timeout, 32
pat24.rcp, 163, 3, 79, 0.96s, 40
pat25.rcp, 67, 1, 33, 0.27s, 33
pat26.rcp, 212959, 3, 106477, 189.62s, 43
pat27.rcp, 137995, 5, 68993, 119.46s, 36
pat28.rcp, 88033, 7, 44010, 135.89s, 43
pat29.rcp, 20029, 4, 10011, 17.26s, 29
pat30.rcp, 133229, 3, 66612, 103.76s, 32
pat31.rcp, 745300, 1, 372643, timeout, 35
pat32.rcp, 1391, 3, 693, 1.12s, 22
pat33.rcp, 952766, 4, 476372, timeout, 32
pat34.rcp, 830816, 6, 415393, timeout, 31
pat35.rcp, 12287, 5, 6139, 10.04s, 31
pat36.rcp, 10827, 5, 5409, 14.54s, 33
pat37.rcp, 21467, 1, 10733, 22.26s, 28
pat38.rcp, 27171, 3, 13583, 30.45s, 30
pat39.rcp, 439, 4, 216, 0.98s, 31
pat40.rcp, 39069, 4, 19531, 41.22s, 31
pat41.rcp, 114415, 3, 57205, 76.58s, 36
