problem, nodes, solutions, fails, time, optimum
pat1.rcp, 87, 2, 42, 0.18s, 19
pat2.rcp, 31, 3, 13, 0.02s, 7
pat3.rcp, 1549, 3, 772, 2.43s, 20
pat4.rcp, 199, 5, 95, 0.93s, 7
pat5.rcp, 183, 6, 86, 0.88s, 7
pat6.rcp, 185, 5, 88, 0.90s, 8
pat7.rcp, 55, 2, 26, 0.05s, 8
pat8.rcp, 55, 1, 27, 0.06s, 11
pat9.rcp, 431, 5, 211, 1.42s, 19
pat10.rcp, 27, 2, 12, 0.03s, 14
pat11.rcp, 25, 2, 11, 0.02s, 18
pat12.rcp, 6787, 5, 3389, 44.65s, 13
pat13.rcp, 12935, 3, 6465, 81.49s, 20
pat14.rcp, 81249, 7, 40581, timeout, 43
pat15.rcp, 475, 3, 235, 5.73s, 43
pat16.rcp, 159278, 0, 79614, timeout, none
pat17.rcp, 103914, 8, 51939, timeout, 30
pat18.rcp, 148176, 8, 74058, timeout, 45
pat19.rcp, 98870, 10, 49412, timeout, 31
pat20.rcp, 911, 2, 454, 4.44s, 37
pat21.rcp, 213250, 0, 106594, timeout, none
pat22.rcp, 46391, 6, 23190, 192.75s, 36
pat23.rcp, 111848, 7, 55905, timeout, 32
pat24.rcp, 867, 5, 429, 3.91s, 40
pat25.rcp, 118657, 3, 59326, 350.44s, 33
pat26.rcp, 146116, 2, 73038, timeout, 48
pat27.rcp, 12507, 8, 6246, 80.78s, 36
pat28.rcp, 145635, 8, 72793, timeout, 43
pat29.rcp, 108018, 4, 53989, timeout, 31
pat30.rcp, 203165, 8, 101555, timeout, 33
pat31.rcp, 171685, 4, 85810, timeout, 41
pat32.rcp, 14605, 4, 7299, 81.18s, 22
pat33.rcp, 142396, 4, 71179, timeout, 32
pat34.rcp, 128151, 2, 64053, timeout, 31
pat35.rcp, 32163, 6, 16076, 192.28s, 31
pat36.rcp, 51905, 10, 25943, 254.77s, 33
pat37.rcp, 80731, 3, 40363, 402.23s, 28
pat38.rcp, 58005, 5, 28998, 161.41s, 30
pat39.rcp, 19419, 6, 9704, 98.31s, 31
pat40.rcp, 125237, 8, 62598, timeout, 31
pat41.rcp, 159715, 9, 79834, timeout, 37
pat42.rcp, 171602, 0, 85775, timeout, none
pat43.rcp, 92054, 5, 46003, timeout, 46
pat44.rcp, 289, 3, 142, 1.36s, 31
pat45.rcp, 139853, 0, 69915, timeout, none
pat46.rcp, 61921, 6, 30955, 403.13s, 33
pat47.rcp, 93506, 4, 46732, timeout, 36
pat48.rcp, 112043, 3, 56004, timeout, 24
pat49.rcp, 397, 3, 196, 2.15s, 18
pat50.rcp, 104556, 7, 52259, timeout, 25
pat51.rcp, 113046, 8, 56498, timeout, 25
pat52.rcp, 105943, 7, 52952, timeout, 27
pat53.rcp, 15431, 5, 7711, 77.72s, 28
pat54.rcp, 134951, 3, 67459, timeout, 50
pat55.rcp, 17987, 2, 8992, 85.16s, 29
pat56.rcp, 137, 1, 68, 0.67s, 27
pat57.rcp, 317, 4, 155, 1.56s, 21
pat58.rcp, 82071, 7, 41020, timeout, 35
pat59.rcp, 2845, 5, 1418, 18.88s, 31
pat60.rcp, 5505, 4, 2749, 35.52s, 39
pat61.rcp, 66163, 6, 33076, 313.33s, 36
pat62.rcp, 60458, 14, 30204, timeout, 37
pat63.rcp, 81617, 1, 40784, timeout, 41
pat64.rcp, 109667, 6, 54806, timeout, 38
pat65.rcp, 80782, 10, 40367, timeout, 40
pat66.rcp, 13137, 5, 6564, 50.51s, 38
