problem, nodes, solutions, fails, time, optimum
pat1.rcp, 143, 2, 70, 0.32s, 19
pat2.rcp, 23, 2, 10, 0.02s, 7
pat3.rcp, 221, 2, 109, 0.41s, 20
pat4.rcp, 203, 3, 99, 0.94s, 6
pat5.rcp, 189, 3, 92, 0.90s, 7
pat6.rcp, 189, 3, 92, 0.93s, 8
pat7.rcp, 51, 2, 24, 0.05s, 8
pat8.rcp, 65, 2, 31, 0.06s, 11
pat9.rcp, 2405, 6, 1197, 5.90s, 19
pat10.rcp, 33, 1, 16, 0.04s, 14
pat11.rcp, 39, 1, 19, 0.05s, 18
pat12.rcp, 351, 3, 173, 2.30s, 13
pat13.rcp, 58005, 1, 29002, 260.60s, 20
pat14.rcp, 49993, 3, 24957, timeout, 43
pat15.rcp, 485, 3, 240, 7.21s, 43
pat16.rcp, 145462, 0, 72706, timeout, none
pat17.rcp, 77687, 6, 38838, 499.59s, 29
pat18.rcp, 274878, 0, 137404, timeout, none
pat19.rcp, 79252, 9, 39610, timeout, 31
pat20.rcp, 187, 2, 92, 1.27s, 37
pat21.rcp, 108429, 0, 54196, timeout, none
pat22.rcp, 72835, 6, 36412, 239.17s, 36
pat23.rcp, 292988, 0, 146462, timeout, none
pat24.rcp, 457, 5, 224, 3.54s, 40
pat25.rcp, 116851, 2, 58424, 387.90s, 33
pat26.rcp, 255888, 0, 127914, timeout, none
pat27.rcp, 11643, 2, 5820, 67.54s, 36
pat28.rcp, 112781, 7, 56367, timeout, 43
pat29.rcp, 141225, 6, 70592, timeout, 29
pat30.rcp, 168849, 5, 84399, timeout, 33
pat31.rcp, 143822, 4, 71886, timeout, 35
pat32.rcp, 15629, 3, 7812, 105.63s, 22
pat33.rcp, 233864, 0, 116903, timeout, none
pat34.rcp, 167459, 2, 83708, timeout, 31
pat35.rcp, 3943, 6, 1966, 28.12s, 31
pat36.rcp, 5591, 6, 2790, 32.95s, 33
pat37.rcp, 131004, 2, 65489, timeout, 28
pat38.rcp, 7421, 4, 3707, 24.41s, 30
pat39.rcp, 2283, 6, 1136, 10.51s, 31
pat40.rcp, 67369, 7, 33678, 379.78s, 31
pat41.rcp, 165407, 9, 82682, timeout, 37
pat42.rcp, 7105, 4, 3549, 26.01s, 28
pat43.rcp, 106007, 3, 52982, timeout, 46
pat44.rcp, 1013, 2, 505, 5.16s, 31
pat45.rcp, 97548, 0, 48765, timeout, none
pat46.rcp, 126525, 6, 63247, timeout, 33
pat47.rcp, 287655, 0, 143797, timeout, none
pat48.rcp, 107169, 3, 53566, timeout, 24
pat49.rcp, 413, 3, 204, 2.37s, 18
pat50.rcp, 83071, 6, 41530, 527.56s, 25
pat51.rcp, 114669, 6, 57314, timeout, 25
pat52.rcp, 97009, 5, 48500, 561.85s, 27
pat53.rcp, 20957, 6, 10473, 94.95s, 28
pat54.rcp, 133555, 1, 66760, timeout, 50
pat55.rcp, 32207, 3, 16101, 146.30s, 29
pat56.rcp, 137, 1, 68, 0.79s, 27
pat57.rcp, 317, 4, 155, 1.69s, 21
pat58.rcp, 8559, 5, 4275, 65.50s, 35
pat59.rcp, 221847, 0, 110874, timeout, none
pat60.rcp, 26563, 4, 13278, 101.97s, 39
pat61.rcp, 5551, 7, 2769, 59.52s, 36
pat62.rcp, 40741, 7, 20352, timeout, 37
pat63.rcp, 213033, 0, 106456, timeout, none
pat64.rcp, 89347, 6, 44650, timeout, 38
pat65.rcp, 22401, 7, 11194, 266.50s, 40
pat66.rcp, 2721, 5, 1356, 19.30s, 38
pat67.rcp, 1507, 5, 749, 17.80s, 27
pat68.rcp, 143553, 2, 71737, timeout, 47
pat69.rcp, 13095, 4, 6544, 117.88s, 30
pat70.rcp, 883, 2, 440, 8.68s, 31
pat71.rcp, 16393, 8, 8189, 133.73s, 32
pat72.rcp, 32038, 6, 15997, timeout, 42
pat73.rcp, 191399, 0, 95649, timeout, none
pat74.rcp, 471, 3, 233, 3.76s, 30
pat75.rcp, 69468, 3, 34718, timeout, 34
pat76.rcp, 211378, 0, 105645, timeout, none
pat77.rcp, 183751, 0, 91833, timeout, none
pat78.rcp, 200218, 0, 100063, timeout, none
pat79.rcp, 212534, 0, 106212, timeout, none
pat80.rcp, 150238, 2, 75092, timeout, 44
pat81.rcp, 159075, 1, 79498, timeout, 58
pat82.rcp, 431, 4, 212, 3.95s, 34
pat83.rcp, 471, 3, 233, 4.54s, 34
pat84.rcp, 711, 3, 353, 9.12s, 33
pat85.rcp, 551, 5, 271, 5.18s, 31
pat86.rcp, 593, 5, 292, 5.91s, 31
pat87.rcp, 214715, 0, 107308, timeout, none
pat88.rcp, 184684, 1, 92308, timeout, 40
pat89.rcp, 123593, 5, 61792, 567.03s, 31
pat90.rcp, 180568, 1, 90239, timeout, 60
pat91.rcp, 63074, 3, 31516, timeout, 38
pat92.rcp, 238751, 0, 119327, timeout, none
pat93.rcp, 117372, 6, 58661, timeout, 27
