problem, nodes, solutions, fails, time, optimum
pat1.rcp, 137, 4, 65, 0.33s, 19
pat2.rcp, 41, 2, 19, 0.03s, 7
pat3.rcp, 81, 1, 40, 0.21s, 20
pat4.rcp, 169, 1, 84, 1.06s, 6
pat5.rcp, 141, 1, 70, 1.08s, 7
pat6.rcp, 433, 1, 216, 3.02s, 8
pat7.rcp, 41, 2, 19, 0.05s, 8
pat8.rcp, 31, 1, 15, 0.04s, 11
pat9.rcp, 5893, 2, 2945, 28.38s, 19
pat10.rcp, 49, 1, 24, 0.05s, 14
pat11.rcp, 73, 1, 36, 0.06s, 18
pat12.rcp, 79026, 0, 39483, timeout, none
pat13.rcp, 71817, 0, 35882, timeout, none
pat14.rcp, 43248, 3, 21573, timeout, 44
pat15.rcp, 29628, 0, 14769, timeout, none
pat16.rcp, 931, 1, 465, 7.69s, 32
pat17.rcp, 79830, 1, 39890, timeout, 31
pat18.rcp, 75875, 0, 37912, timeout, none
pat19.rcp, 66564, 1, 33261, timeout, 31
pat20.rcp, 2867, 4, 1430, 22.05s, 37
pat21.rcp, 68344, 0, 34151, timeout, none
pat22.rcp, 3089, 1, 1544, 31.24s, 36
pat23.rcp, 71855, 0, 35907, timeout, none
pat24.rcp, 88248, 3, 44093, timeout, 41
pat25.rcp, 77751, 0, 38852, timeout, none
pat26.rcp, 73278, 0, 36623, timeout, none
pat27.rcp, 75703, 0, 37826, timeout, none
pat28.rcp, 70557, 0, 35257, timeout, none
pat29.rcp, 7541, 2, 3769, 61.08s, 29
pat30.rcp, 39625, 2, 19811, 282.78s, 32
pat31.rcp, 76026, 0, 37993, timeout, none
pat32.rcp, 79948, 1, 39946, timeout, 24
pat33.rcp, 72236, 0, 36097, timeout, none
pat34.rcp, 76601, 0, 38277, timeout, none
pat35.rcp, 80100, 0, 40024, timeout, none
pat36.rcp, 29161, 4, 14577, 230.78s, 33
pat37.rcp, 77806, 3, 38885, timeout, 28
pat38.rcp, 79153, 0, 39553, timeout, none
pat39.rcp, 75952, 0, 37955, timeout, none
pat40.rcp, 73459, 0, 36707, timeout, none
pat41.rcp, 32545, 4, 16269, 271.04s, 36
pat42.rcp, 59969, 4, 29981, 454.80s, 28
pat43.rcp, 68528, 1, 34246, timeout, 42
pat44.rcp, 42651, 4, 21322, 338.51s, 31
pat45.rcp, 71631, 0, 35795, timeout, none
pat46.rcp, 82418, 1, 41190, timeout, 34
pat47.rcp, 73797, 0, 36877, timeout, none
pat48.rcp, 33037, 3, 16516, 259.70s, 23
pat49.rcp, 251, 2, 124, 1.67s, 18
pat50.rcp, 6383, 1, 3191, 56.44s, 25
pat51.rcp, 50575, 3, 25285, 401.51s, 25
pat52.rcp, 87621, 3, 43782, timeout, 28
pat53.rcp, 3099, 2, 1548, 24.29s, 28
pat54.rcp, 63410, 0, 31699, timeout, none
pat55.rcp, 18365, 1, 9182, 137.91s, 29
pat56.rcp, 147, 1, 73, 1.04s, 27
pat57.rcp, 203, 1, 101, 1.45s, 21
pat58.rcp, 28629, 1, 14314, 373.05s, 35
pat59.rcp, 6289, 3, 3142, 77.32s, 31
pat60.rcp, 60443, 2, 30191, timeout, 40
pat61.rcp, 24299, 2, 12148, 331.67s, 36
pat62.rcp, 45094, 0, 22525, timeout, none
pat63.rcp, 40555, 2, 20276, 555.21s, 40
pat64.rcp, 44174, 0, 22065, timeout, none
pat65.rcp, 42578, 0, 21263, timeout, none
pat66.rcp, 64094, 1, 32024, timeout, 45
pat67.rcp, 44509, 0, 22225, timeout, none
pat68.rcp, 48674, 1, 24310, timeout, 42
pat69.rcp, 45128, 2, 22538, timeout, 30
pat70.rcp, 48013, 5, 24002, 570.13s, 31
pat71.rcp, 919, 1, 459, 12.68s, 32
pat72.rcp, 40368, 0, 20159, timeout, none
pat73.rcp, 45027, 0, 22481, timeout, none
pat74.rcp, 53016, 1, 26483, timeout, 34
pat75.rcp, 43672, 0, 21817, timeout, none
pat76.rcp, 48109, 0, 24036, timeout, none
pat77.rcp, 34274, 0, 17115, timeout, none
pat78.rcp, 35594, 0, 17780, timeout, none
pat79.rcp, 44008, 0, 21980, timeout, none
pat80.rcp, 40920, 0, 20430, timeout, none
pat81.rcp, 45674, 2, 22805, timeout, 36
pat82.rcp, 48553, 1, 24244, timeout, 37
pat83.rcp, 467, 1, 233, 5.61s, 34
pat84.rcp, 697, 1, 348, 7.32s, 33
pat85.rcp, 287, 2, 142, 3.18s, 31
pat86.rcp, 4329, 2, 2163, 42.69s, 31
pat87.rcp, 42987, 0, 21464, timeout, none
pat88.rcp, 53416, 0, 26680, timeout, none
pat89.rcp, 45666, 0, 22805, timeout, none
pat90.rcp, 44199, 0, 22069, timeout, none
pat91.rcp, 25413, 4, 12703, 338.66s, 35
pat92.rcp, 46139, 0, 23044, timeout, none
pat93.rcp, 54888, 0, 27409, timeout, none
pat94.rcp, 48192, 3, 24074, timeout, 36
pat95.rcp, 43565, 0, 21754, timeout, none
pat96.rcp, 28119, 2, 14058, 347.45s, 26
pat97.rcp, 41817, 0, 20884, timeout, none
pat98.rcp, 42029, 1, 20992, timeout, 43
pat99.rcp, 43181, 1, 21570, timeout, 37
pat100.rcp, 46799, 1, 23364, timeout, 35
pat101.rcp, 11861, 0, 5872, timeout, none
pat102.rcp, 12081, 0, 5998, timeout, none
pat103.rcp, 325, 3, 160, 14.93s, 56
pat104.rcp, 12186, 0, 6043, timeout, none
pat105.rcp, 12443, 0, 6165, timeout, none
pat106.rcp, 12689, 0, 6301, timeout, none
