problem, nodes, solutions, fails, time, optimum
pat1.rcp, 831, 22, 394, 1.15s, 19
pat2.rcp, 21, 3, 8, 0.02s, 7
pat3.rcp, 797, 21, 378, 1.29s, 20
pat4.rcp, 117, 14, 45, 0.44s, 6
pat5.rcp, 267, 14, 120, 1.05s, 7
pat6.rcp, 651, 13, 313, 1.61s, 8
pat7.rcp, 61, 9, 22, 0.05s, 8
pat8.rcp, 139, 7, 63, 0.12s, 11
pat9.rcp, 629, 38, 277, 2.78s, 19
pat10.rcp, 107, 10, 44, 0.05s, 14
pat11.rcp, 1447, 7, 717, 0.31s, 18
pat12.rcp, 7773, 27, 3860, 28.36s, 13
pat13.rcp, 441929, 0, 220882, timeout, none
pat14.rcp, 53750, 0, 26740, timeout, none
pat15.rcp, 20147, 61, 10013, 115.82s, 43
pat16.rcp, 179870, 12, 89872, timeout, 64
pat17.rcp, 95971, 10, 47937, timeout, 52
pat18.rcp, 95427, 0, 47651, timeout, none
pat19.rcp, 71724, 0, 35809, timeout, none
pat20.rcp, 7339, 37, 3633, 28.31s, 37
pat21.rcp, 65954, 0, 32921, timeout, none
pat22.rcp, 67765, 25, 33824, timeout, 55
pat23.rcp, 160285, 0, 80088, timeout, none
pat24.rcp, 221088, 4, 110470, timeout, 81
pat25.rcp, 8403, 33, 4169, 18.63s, 33
pat26.rcp, 170810, 1, 85359, timeout, 65
pat27.rcp, 186758, 1, 93311, timeout, 78
pat28.rcp, 78115, 2, 38995, timeout, 77
pat29.rcp, 144312, 11, 72101, timeout, 56
pat30.rcp, 232732, 1, 116303, timeout, 68
pat31.rcp, 173997, 0, 86938, timeout, none
pat32.rcp, 65989, 32, 32963, 135.12s, 22
pat33.rcp, 168539, 0, 84221, timeout, none
pat34.rcp, 114162, 0, 57034, timeout, none
pat35.rcp, 195175, 5, 97523, timeout, 67
pat36.rcp, 129890, 8, 64886, timeout, 63
pat37.rcp, 147575, 9, 73739, timeout, 52
pat38.rcp, 117587, 7, 58744, timeout, 54
pat39.rcp, 46381, 42, 23149, 184.48s, 31
pat40.rcp, 123118, 6, 61495, timeout, 65
pat41.rcp, 220892, 0, 110371, timeout, none
pat42.rcp, 246747, 24, 123328, timeout, 38
pat43.rcp, 38151, 0, 19029, timeout, none
pat44.rcp, 2109, 35, 1020, 8.68s, 31
pat45.rcp, 234281, 0, 117085, timeout, none
pat46.rcp, 125828, 2, 62855, timeout, 66
pat47.rcp, 120621, 0, 60253, timeout, none
pat48.rcp, 99364, 8, 49629, timeout, 48
pat49.rcp, 1715, 37, 821, 6.25s, 18
pat50.rcp, 85297, 5, 42599, timeout, 51
pat51.rcp, 74762, 4, 37327, timeout, 52
pat52.rcp, 68800, 2, 34350, timeout, 54
pat53.rcp, 57287, 28, 28616, 454.15s, 28
pat54.rcp, 79310, 0, 39617, timeout, none
pat55.rcp, 26461, 27, 13204, 50.79s, 29
pat56.rcp, 2085, 28, 1015, 2.83s, 27
pat57.rcp, 1781, 34, 857, 4.82s, 21
pat58.rcp, 58484, 0, 29162, timeout, none
pat59.rcp, 55759, 40, 27840, 316.88s, 31
pat60.rcp, 75104, 19, 37478, timeout, 75
pat61.rcp, 63676, 0, 31754, timeout, none
pat62.rcp, 45939, 5, 22896, timeout, 82
pat63.rcp, 70841, 0, 35336, timeout, none
pat64.rcp, 92364, 0, 46104, timeout, none
pat65.rcp, 31262, 3, 15544, timeout, 93
pat66.rcp, 111547, 50, 55724, 550.93s, 38
pat67.rcp, 62592, 3, 31225, timeout, 71
pat68.rcp, 131236, 1, 65529, timeout, 96
pat69.rcp, 66679, 5, 33276, timeout, 67
pat70.rcp, 104098, 0, 51972, timeout, none
pat71.rcp, 64966, 9, 32412, timeout, 72
pat72.rcp, 13086, 0, 6481, timeout, none
pat73.rcp, 152018, 0, 75932, timeout, none
pat74.rcp, 7615, 38, 3770, 37.46s, 30
pat75.rcp, 87021, 0, 43454, timeout, none
pat76.rcp, 62556, 0, 31227, timeout, none
pat77.rcp, 40214, 0, 20035, timeout, none
pat78.rcp, 39092, 0, 19469, timeout, none
pat79.rcp, 50940, 0, 25393, timeout, none
pat80.rcp, 53711, 2, 26778, timeout, 86
pat81.rcp, 84164, 5, 41999, timeout, 83
pat82.rcp, 24841, 54, 12367, 149.20s, 34
pat83.rcp, 3133, 54, 1513, 53.82s, 34
pat84.rcp, 4067, 55, 1979, 51.49s, 33
pat85.rcp, 3263, 56, 1576, 26.33s, 31
pat86.rcp, 3599, 56, 1744, 29.46s, 31
pat87.rcp, 57555, 0, 28712, timeout, none
pat88.rcp, 291266, 0, 145551, timeout, none
pat89.rcp, 98705, 46, 49307, 406.11s, 31
pat90.rcp, 30023, 2, 14926, timeout, 91
pat91.rcp, 75522, 0, 37683, timeout, none
pat92.rcp, 75141, 12, 37513, timeout, 54
pat93.rcp, 145541, 3, 72713, timeout, 58
pat94.rcp, 175516, 23, 87686, timeout, 63
pat95.rcp, 48494, 5, 24179, timeout, 73
pat96.rcp, 234504, 1, 117193, timeout, 62
pat97.rcp, 53442, 9, 26652, timeout, 66
pat98.rcp, 33770, 0, 16786, timeout, none
pat99.rcp, 62256, 0, 31043, timeout, none
pat100.rcp, 55574, 2, 27705, timeout, 82
pat101.rcp, 4991, 0, 2340, timeout, none
pat102.rcp, 26342, 59, 13059, timeout, 114
pat103.rcp, 7675, 93, 3745, 391.66s, 56
pat104.rcp, 12786, 41, 6249, timeout, 148
pat105.rcp, 55106, 2, 27418, timeout, 156
pat106.rcp, 72470, 13, 36128, timeout, 123
pat107.rcp, 13671, 97, 6718, timeout, 92
pat108.rcp, 38737, 0, 19228, timeout, none
pat109.rcp, 5672, 0, 2684, timeout, none
pat110.rcp, 54565, 9, 27172, timeout, 110
