problem, nodes, solutions, fails, time, optimum
pat1.rcp, 25, 1, 12, 0.07s, 19
pat2.rcp, 29, 2, 13, 0.02s, 7
pat3.rcp, 17895, 3, 8945, 20.83s, 20
pat4.rcp, 41, 1, 20, 0.23s, 6
pat5.rcp, 45, 2, 21, 0.26s, 7
pat6.rcp, 59, 1, 29, 0.41s, 8
pat7.rcp, 21, 2, 9, 0.02s, 8
pat8.rcp, 25, 1, 12, 0.03s, 11
pat9.rcp, 1229, 18, 597, 3.12s, 19
pat10.rcp, 11, 1, 5, 0.01s, 14
pat11.rcp, 35, 1, 17, 0.03s, 18
pat12.rcp, 25921, 4, 12957, 183.54s, 13
pat13.rcp, 22077, 3, 11036, 146.12s, 20
pat14.rcp, 74473, 2, 37227, timeout, 44
pat15.rcp, 11257, 3, 5626, 215.58s, 43
pat16.rcp, 76301, 26, 38125, 346.98s, 32
pat17.rcp, 118217, 2, 59103, timeout, 30
pat18.rcp, 118847, 28, 59388, timeout, 48
pat19.rcp, 119647, 3, 59813, timeout, 31
pat20.rcp, 613, 1, 306, 2.95s, 37
pat21.rcp, 120562, 0, 60274, timeout, none
pat22.rcp, 8737, 4, 4365, 53.21s, 36
pat23.rcp, 92253, 4, 46117, timeout, 34
pat24.rcp, 127, 2, 62, 0.63s, 40
pat25.rcp, 212690, 0, 106336, timeout, none
pat26.rcp, 148821, 2, 74401, timeout, 47
pat27.rcp, 29479, 2, 14738, 207.61s, 36
pat28.rcp, 90128, 0, 45058, timeout, none
pat29.rcp, 97793, 3, 48888, timeout, 31
pat30.rcp, 124911, 1, 62447, timeout, 33
pat31.rcp, 163580, 3, 81779, timeout, 41
pat32.rcp, 6173, 2, 3085, 26.12s, 22
pat33.rcp, 122379, 1, 61182, timeout, 32
pat34.rcp, 153302, 1, 76644, timeout, 31
pat35.rcp, 56849, 5, 28420, 330.44s, 31
pat36.rcp, 124940, 2, 62462, timeout, 33
pat37.rcp, 116741, 2, 58363, timeout, 28
pat38.rcp, 31669, 4, 15831, 156.19s, 30
pat39.rcp, 38673, 6, 19331, 184.47s, 31
pat40.rcp, 99903, 32, 49915, timeout, 31
pat41.rcp, 153455, 42, 76682, timeout, 37
pat42.rcp, 170910, 0, 85447, timeout, none
pat43.rcp, 77420, 1, 38705, timeout, 41
pat44.rcp, 5547, 1, 2773, 35.66s, 31
pat45.rcp, 159641, 0, 79812, timeout, none
pat46.rcp, 21991, 3, 10993, 150.61s, 33
pat47.rcp, 233885, 3, 116933, timeout, 37
pat48.rcp, 107969, 0, 53978, timeout, none
pat49.rcp, 73, 1, 36, 0.44s, 18
pat50.rcp, 98993, 1, 49489, timeout, 27
pat51.rcp, 128188, 2, 64087, timeout, 25
pat52.rcp, 107183, 3, 53582, timeout, 27
pat53.rcp, 4997, 3, 2496, 28.05s, 28
pat54.rcp, 158771, 1, 79377, timeout, 50
pat55.rcp, 5461, 2, 2729, 29.17s, 29
pat56.rcp, 29, 1, 14, 0.16s, 27
pat57.rcp, 35, 1, 17, 0.22s, 21
pat58.rcp, 186058, 1, 93020, timeout, 40
pat59.rcp, 257, 36, 93, 2.29s, 31
pat60.rcp, 23937, 5, 11964, 117.40s, 39
pat61.rcp, 123511, 40, 61707, timeout, 38
pat62.rcp, 100138, 4, 50058, timeout, 38
pat63.rcp, 111727, 2, 55852, timeout, 45
pat64.rcp, 177292, 2, 88636, timeout, 45
pat65.rcp, 52954, 50, 26422, timeout, 40
pat66.rcp, 3685, 4, 1839, 38.48s, 38
pat67.rcp, 95958, 1, 47970, timeout, 29
pat68.rcp, 143294, 9, 71626, timeout, 47
pat69.rcp, 84945, 5, 42462, timeout, 30
pat70.rcp, 83385, 4, 41689, 451.42s, 31
pat71.rcp, 62927, 28, 31429, timeout, 33
pat72.rcp, 7807, 5, 3899, 100.34s, 41
pat73.rcp, 195465, 3, 97719, timeout, 42
pat74.rcp, 375, 3, 185, 3.66s, 30
pat75.rcp, 66635, 2, 33309, timeout, 35
pat76.rcp, 196744, 1, 98362, timeout, 44
pat77.rcp, 46279, 0, 23136, timeout, none
pat78.rcp, 47218, 0, 23606, timeout, none
pat79.rcp, 78213, 1, 39099, timeout, 49
pat80.rcp, 83813, 3, 41896, timeout, 41
pat81.rcp, 95988, 14, 47970, timeout, 41
pat82.rcp, 91162, 16, 45556, timeout, 36
pat83.rcp, 116046, 26, 57990, timeout, 36
pat84.rcp, 589, 24, 271, 5.11s, 33
pat85.rcp, 45, 1, 22, 0.41s, 31
pat86.rcp, 57, 1, 28, 0.54s, 31
pat87.rcp, 53993, 6, 26984, timeout, 33
pat88.rcp, 140181, 1, 70080, timeout, 43
pat89.rcp, 6469, 27, 3208, 33.09s, 31
pat90.rcp, 149555, 0, 74767, timeout, none
pat91.rcp, 88343, 7, 44157, timeout, 79
pat92.rcp, 72473, 3, 36230, timeout, 28
pat93.rcp, 84262, 7, 42118, timeout, 27
pat94.rcp, 182170, 0, 91076, timeout, none
pat95.rcp, 15675, 3, 7835, 199.34s, 33
pat96.rcp, 54384, 0, 27187, timeout, none
pat97.rcp, 36865, 2, 18431, 416.45s, 30
pat98.rcp, 92597, 0, 46291, timeout, none
pat99.rcp, 58358, 0, 29173, timeout, none
pat100.rcp, 78172, 0, 39077, timeout, none
pat101.rcp, 13914, 0, 6950, timeout, none
pat102.rcp, 13004, 0, 6493, timeout, none
pat103.rcp, 20215, 5, 10103, 204.06s, 56
pat104.rcp, 11917, 0, 5955, timeout, none
pat105.rcp, 27207, 0, 13592, timeout, none
pat106.rcp, 36238, 2, 18104, timeout, 72
pat107.rcp, 19696, 1, 9828, timeout, 88
pat108.rcp, 15134, 0, 7556, timeout, none
pat109.rcp, 34071, 3, 17018, timeout, 66
pat110.rcp, 20902, 0, 10439, timeout, none
