problem, nodes, solutions, fails, time, optimum
pat1.rcp, 25, 1, 12, 0.10s, 19
pat2.rcp, 15, 2, 6, 0.02s, 7
pat3.rcp, 999, 3, 497, 1.44s, 20
pat4.rcp, 43, 1, 21, 0.32s, 6
pat5.rcp, 47, 2, 22, 0.33s, 7
pat6.rcp, 59, 1, 29, 0.47s, 8
pat7.rcp, 13, 1, 6, 0.02s, 8
pat8.rcp, 117, 2, 57, 0.11s, 11
pat9.rcp, 1187, 20, 574, 4.51s, 19
pat10.rcp, 11, 1, 5, 0.02s, 14
pat11.rcp, 407, 1, 203, 0.27s, 18
pat12.rcp, 221, 5, 106, 2.02s, 13
pat13.rcp, 115267, 1, 57633, 496.05s, 20
pat14.rcp, 80352, 3, 40165, timeout, 44
pat15.rcp, 787, 3, 391, 15.06s, 43
pat16.rcp, 30131, 26, 15040, 116.12s, 32
pat17.rcp, 80438, 2, 40213, timeout, 30
pat18.rcp, 54785, 12, 27374, timeout, 64
pat19.rcp, 65746, 2, 32866, timeout, 31
pat20.rcp, 253990, 0, 126985, timeout, none
pat21.rcp, 85276, 0, 42631, timeout, none
pat22.rcp, 4261, 4, 2127, 31.16s, 36
pat23.rcp, 104333, 4, 52156, timeout, 34
pat24.rcp, 83, 2, 40, 1.32s, 40
pat25.rcp, 203618, 0, 101800, timeout, none
pat26.rcp, 210987, 0, 105484, timeout, none
pat27.rcp, 81863, 1, 40931, 532.30s, 36
pat28.rcp, 88797, 1, 44389, timeout, 52
pat29.rcp, 113071, 5, 56523, timeout, 31
pat30.rcp, 121330, 1, 60657, timeout, 33
pat31.rcp, 112545, 1, 56265, timeout, 35
pat32.rcp, 4483, 2, 2240, 19.89s, 22
pat33.rcp, 103629, 2, 51807, timeout, 32
pat34.rcp, 125466, 0, 62726, timeout, none
pat35.rcp, 31645, 31, 15792, 199.16s, 31
pat36.rcp, 12677, 2, 6337, 81.59s, 33
pat37.rcp, 126461, 2, 63222, timeout, 28
pat38.rcp, 229720, 2, 114849, timeout, 33
pat39.rcp, 7143, 4, 3568, 38.24s, 31
pat40.rcp, 103012, 2, 51499, timeout, 31
pat41.rcp, 194778, 1, 97380, timeout, 48
pat42.rcp, 227904, 0, 113943, timeout, none
pat43.rcp, 214137, 1, 107060, timeout, 41
pat44.rcp, 69, 1, 34, 0.64s, 31
pat45.rcp, 120292, 0, 60137, timeout, none
pat46.rcp, 157859, 3, 78920, timeout, 33
pat47.rcp, 141448, 4, 70712, timeout, 36
pat48.rcp, 108531, 1, 54259, timeout, 25
pat49.rcp, 701, 1, 350, 2.15s, 18
pat50.rcp, 93306, 1, 46647, timeout, 27
pat51.rcp, 109649, 0, 54819, timeout, none
pat52.rcp, 98496, 3, 49242, timeout, 27
pat53.rcp, 8039, 3, 4017, 42.75s, 28
pat54.rcp, 136650, 1, 68318, timeout, 50
pat55.rcp, 12331, 2, 6164, 65.43s, 29
pat56.rcp, 31, 1, 15, 0.32s, 27
pat57.rcp, 35, 1, 17, 0.41s, 21
pat58.rcp, 139606, 3, 69794, timeout, 37
pat59.rcp, 47, 2, 22, 1.59s, 31
pat60.rcp, 29001, 4, 14497, 145.64s, 39
pat61.rcp, 101239, 3, 50609, timeout, 38
pat62.rcp, 92742, 4, 46361, timeout, 38
pat63.rcp, 78385, 4, 39180, timeout, 42
