problem, nodes, solutions, fails, time, optimum
pat1.rcp, 135, 4, 64, 0.32s, 19
pat2.rcp, 37, 2, 17, 0.03s, 7
pat3.rcp, 67, 1, 33, 0.17s, 20
pat4.rcp, 167, 1, 83, 1.09s, 6
pat5.rcp, 141, 1, 70, 1.01s, 7
pat6.rcp, 429, 1, 214, 3.40s, 8
pat7.rcp, 63, 2, 30, 0.07s, 8
pat8.rcp, 37, 1, 18, 0.05s, 11
pat9.rcp, 95957, 2, 47977, 500.57s, 19
pat10.rcp, 43, 1, 21, 0.04s, 14
pat11.rcp, 49, 1, 24, 0.04s, 18
pat12.rcp, 66994, 0, 33464, timeout, none
pat13.rcp, 69517, 0, 34731, timeout, none
pat14.rcp, 28687, 0, 14294, timeout, none
pat15.rcp, 26609, 0, 13263, timeout, none
pat16.rcp, 75963, 0, 37950, timeout, none
pat17.rcp, 68428, 0, 34188, timeout, none
pat18.rcp, 70668, 0, 35313, timeout, none
pat19.rcp, 69456, 0, 34705, timeout, none
pat20.rcp, 71811, 1, 35875, timeout, 41
pat21.rcp, 69697, 0, 34826, timeout, none
pat22.rcp, 63313, 0, 31628, timeout, none
pat23.rcp, 68296, 0, 34122, timeout, none
pat24.rcp, 78710, 2, 39322, timeout, 42
pat25.rcp, 72535, 0, 36240, timeout, none
pat26.rcp, 72061, 0, 36010, timeout, none
pat27.rcp, 68817, 0, 34379, timeout, none
pat28.rcp, 70188, 0, 35066, timeout, none
pat29.rcp, 70269, 0, 35098, timeout, none
pat30.rcp, 71961, 0, 35954, timeout, none
pat31.rcp, 67656, 0, 33807, timeout, none
pat32.rcp, 70165, 0, 35047, timeout, none
pat33.rcp, 68059, 0, 34003, timeout, none
pat34.rcp, 74130, 0, 37039, timeout, none
pat35.rcp, 70747, 0, 35342, timeout, none
pat36.rcp, 64706, 0, 32328, timeout, none
pat37.rcp, 69628, 0, 34786, timeout, none
pat38.rcp, 68901, 0, 34430, timeout, none
pat39.rcp, 69879, 0, 34916, timeout, none
pat40.rcp, 69567, 0, 34762, timeout, none
pat41.rcp, 66036, 0, 33000, timeout, none
