problem, nodes, solutions, fails, time, optimum
pat1.rcp, 69, 4, 31, 0.13s, 19
pat2.rcp, 15, 2, 6, 0.01s, 7
pat3.rcp, 47, 2, 22, 0.09s, 20
pat4.rcp, 41, 1, 20, 0.23s, 6
pat5.rcp, 39, 1, 19, 0.24s, 7
pat6.rcp, 155, 1, 77, 1.13s, 8
pat7.rcp, 33, 3, 14, 0.03s, 8
pat8.rcp, 91, 3, 43, 0.10s, 11
pat9.rcp, 101303, 6, 50646, 314.95s, 19
pat10.rcp, 13, 1, 6, 0.01s, 14
pat11.rcp, 25, 1, 12, 0.02s, 18
pat12.rcp, 104151, 5, 52066, timeout, 14
pat13.rcp, 209060, 0, 104521, timeout, none
pat14.rcp, 41557, 1, 20772, timeout, 44
pat15.rcp, 1889, 5, 940, 31.23s, 43
pat16.rcp, 74531, 7, 37255, timeout, 32
pat17.rcp, 206254, 0, 103121, timeout, none
pat18.rcp, 96919, 3, 48451, timeout, 44
pat19.rcp, 221508, 0, 110748, timeout, none
pat20.rcp, 235, 6, 112, 1.13s, 37
pat21.rcp, 148759, 0, 74372, timeout, none
pat22.rcp, 93066, 5, 46524, timeout, 43
pat23.rcp, 168174, 0, 84080, timeout, none
pat24.rcp, 203413, 0, 101700, timeout, none
pat25.rcp, 101994, 0, 50990, timeout, none
pat26.rcp, 100185, 0, 50086, timeout, none
pat27.rcp, 68767, 9, 34375, 522.60s, 36
pat28.rcp, 80784, 11, 40377, timeout, 45
pat29.rcp, 73716, 5, 36851, timeout, 29
pat30.rcp, 116264, 0, 58126, timeout, none
pat31.rcp, 85440, 0, 42715, timeout, none
pat32.rcp, 6173, 9, 3078, 44.23s, 22
pat33.rcp, 94566, 3, 47276, timeout, 38
pat34.rcp, 96097, 3, 48042, timeout, 34
pat35.rcp, 137646, 0, 68815, timeout, none
pat36.rcp, 124032, 2, 62010, timeout, 37
pat37.rcp, 79827, 5, 39905, timeout, 29
pat38.rcp, 331598, 0, 165792, timeout, none
pat39.rcp, 99112, 0, 49549, timeout, none
pat40.rcp, 74751, 8, 37363, timeout, 31
pat41.rcp, 98514, 0, 49252, timeout, none
pat42.rcp, 195342, 0, 97664, timeout, none
pat43.rcp, 92755, 4, 46370, timeout, 41
pat44.rcp, 87432, 3, 43708, timeout, 35
pat45.rcp, 101907, 0, 50947, timeout, none
pat46.rcp, 96829, 3, 48407, timeout, 36
pat47.rcp, 89345, 4, 44664, timeout, 36
pat48.rcp, 76266, 5, 38125, timeout, 23
pat49.rcp, 281, 3, 138, 1.58s, 18
pat50.rcp, 74016, 6, 37000, timeout, 25
pat51.rcp, 85748, 5, 42864, timeout, 27
pat52.rcp, 86523, 5, 43252, timeout, 27
pat53.rcp, 77936, 4, 38960, timeout, 28
pat54.rcp, 108462, 2, 54222, timeout, 51
pat55.rcp, 77394, 0, 38693, timeout, none
pat56.rcp, 35, 1, 17, 0.18s, 27
pat57.rcp, 41, 1, 20, 0.24s, 21
pat58.rcp, 72237, 0, 36111, timeout, none
pat59.rcp, 11293, 6, 5641, 106.32s, 31
pat60.rcp, 111923, 0, 55954, timeout, none
pat61.rcp, 111987, 0, 55986, timeout, none
pat62.rcp, 67798, 0, 33892, timeout, none
pat63.rcp, 57660, 4, 28821, timeout, 43
pat64.rcp, 84646, 0, 42317, timeout, none
pat65.rcp, 74408, 0, 37196, timeout, none
pat66.rcp, 58322, 0, 29154, timeout, none
pat67.rcp, 92809, 0, 46394, timeout, none
pat68.rcp, 136439, 0, 68212, timeout, none
pat69.rcp, 51153, 7, 25566, timeout, 30
pat70.rcp, 79782, 0, 39883, timeout, none
pat71.rcp, 89053, 0, 44518, timeout, none
pat72.rcp, 50811, 8, 25393, timeout, 42
pat73.rcp, 124905, 0, 62444, timeout, none
pat74.rcp, 81772, 0, 40878, timeout, none
pat75.rcp, 81073, 0, 40527, timeout, none
pat76.rcp, 69947, 0, 34965, timeout, none
pat77.rcp, 79234, 0, 39608, timeout, none
pat78.rcp, 139116, 0, 69549, timeout, none
pat79.rcp, 117677, 0, 58829, timeout, none
pat80.rcp, 107094, 0, 53538, timeout, none
pat81.rcp, 75156, 0, 37569, timeout, none
pat82.rcp, 78579, 0, 39280, timeout, none
pat83.rcp, 84673, 0, 42327, timeout, none
pat84.rcp, 83257, 0, 41619, timeout, none
pat85.rcp, 121, 3, 58, 1.09s, 31
pat86.rcp, 193, 3, 94, 1.79s, 31
pat87.rcp, 53678, 1, 26835, timeout, 31
