problem, nodes, solutions, fails, time, optimum
pat1.rcp, 49, 4, 21, 0.16s, 19
pat2.rcp, 33, 2, 15, 0.03s, 7
pat3.rcp, 39, 2, 18, 0.17s, 20
pat4.rcp, 43, 1, 21, 0.33s, 6
pat5.rcp, 41, 1, 20, 0.32s, 7
pat6.rcp, 1121, 1, 560, 6.77s, 8
pat7.rcp, 27, 3, 11, 0.03s, 8
pat8.rcp, 337, 3, 166, 0.37s, 11
pat9.rcp, 361664, 0, 180826, timeout, none
pat10.rcp, 13, 1, 6, 0.02s, 14
pat11.rcp, 109, 1, 54, 0.09s, 18
pat12.rcp, 100350, 2, 50167, timeout, 17
pat13.rcp, 195804, 0, 97893, timeout, none
pat14.rcp, 40435, 1, 20210, timeout, 44
pat15.rcp, 10369, 5, 5180, 162.66s, 43
pat16.rcp, 8363, 7, 4175, 71.34s, 32
pat17.rcp, 240642, 0, 120314, timeout, none
pat18.rcp, 102793, 3, 51385, timeout, 44
pat19.rcp, 69875, 6, 34928, timeout, 31
pat20.rcp, 166510, 0, 83248, timeout, none
pat21.rcp, 97103, 0, 48545, timeout, none
pat22.rcp, 84314, 6, 42147, timeout, 42
pat23.rcp, 212914, 0, 106449, timeout, none
pat24.rcp, 120691, 4, 60335, timeout, 43
pat25.rcp, 107290, 0, 53638, timeout, none
pat26.rcp, 90695, 0, 45342, timeout, none
pat27.rcp, 35605, 10, 17793, 269.00s, 36
pat28.rcp, 152186, 0, 76084, timeout, none
pat29.rcp, 50955, 7, 25471, 411.09s, 29
pat30.rcp, 95396, 5, 47690, timeout, 32
pat31.rcp, 187602, 0, 93794, timeout, none
pat32.rcp, 7677, 9, 3830, 51.65s, 22
pat33.rcp, 172991, 0, 86488, timeout, none
pat34.rcp, 90930, 3, 45458, timeout, 34
pat35.rcp, 7019, 4, 3506, 61.77s, 31
pat36.rcp, 109822, 2, 54906, timeout, 37
pat37.rcp, 99510, 5, 49747, timeout, 29
pat38.rcp, 153213, 0, 76600, timeout, none
pat39.rcp, 158375, 0, 79179, timeout, none
pat40.rcp, 72189, 8, 36082, timeout, 31
pat41.rcp, 94103, 0, 47045, timeout, none
pat42.rcp, 338861, 0, 169424, timeout, none
pat43.rcp, 91232, 4, 45607, timeout, 41
pat44.rcp, 515, 7, 251, 3.63s, 31
pat45.rcp, 83409, 0, 41699, timeout, none
pat46.rcp, 96596, 3, 48290, timeout, 35
pat47.rcp, 116935, 0, 58461, timeout, none
pat48.rcp, 50975, 5, 25483, 435.29s, 23
pat49.rcp, 179, 3, 87, 1.51s, 18
pat50.rcp, 74644, 6, 37313, timeout, 25
pat51.rcp, 75636, 5, 37809, timeout, 27
pat52.rcp, 78087, 4, 39036, timeout, 27
pat53.rcp, 65257, 3, 32626, 565.34s, 28
pat54.rcp, 163503, 0, 81744, timeout, none
pat55.rcp, 76511, 0, 38251, timeout, none
pat56.rcp, 37, 1, 18, 0.28s, 27
pat57.rcp, 41, 1, 20, 0.54s, 21
pat58.rcp, 17965, 11, 8972, 257.89s, 35
pat59.rcp, 359, 6, 174, 4.23s, 31
pat60.rcp, 76930, 0, 38457, timeout, none
pat61.rcp, 95621, 0, 47803, timeout, none
pat62.rcp, 79508, 0, 39747, timeout, none
pat63.rcp, 47448, 5, 23715, timeout, 42
pat64.rcp, 171513, 0, 85750, timeout, none
pat65.rcp, 50927, 5, 25455, timeout, 44
pat66.rcp, 6355, 7, 3171, 88.70s, 38
pat67.rcp, 47406, 7, 23694, timeout, 27
pat68.rcp, 107598, 0, 53790, timeout, none
pat69.rcp, 47426, 7, 23703, timeout, 30
pat70.rcp, 124155, 0, 62069, timeout, none
pat71.rcp, 144638, 0, 72310, timeout, none
pat72.rcp, 42881, 7, 21429, timeout, 42
pat73.rcp, 112966, 0, 56475, timeout, none
pat74.rcp, 93281, 0, 46633, timeout, none
pat75.rcp, 77873, 0, 38927, timeout, none
pat76.rcp, 88832, 0, 44408, timeout, none
pat77.rcp, 137861, 0, 68922, timeout, none
pat78.rcp, 172632, 0, 86307, timeout, none
pat79.rcp, 83981, 0, 41982, timeout, none
pat80.rcp, 62132, 0, 31058, timeout, none
pat81.rcp, 91975, 0, 45978, timeout, none
pat82.rcp, 91541, 0, 45761, timeout, none
pat83.rcp, 76398, 0, 38190, timeout, none
pat84.rcp, 80493, 0, 40237, timeout, none
pat85.rcp, 121, 3, 58, 2.93s, 31
pat86.rcp, 207, 3, 101, 3.83s, 31
