problem, nodes, solutions, fails, time, optimum
pat1.rcp, 2202759, 5, 1101306, timeout, 33
pat2.rcp, 107, 4, 50, 0.01s, 7
pat3.rcp, 3565479, 9, 1782695, timeout, 28
pat4.rcp, 1304644, 0, 652105, timeout, none
pat5.rcp, 1311683, 0, 655625, timeout, none
pat6.rcp, 1287383, 0, 643474, timeout, none
pat7.rcp, 13835, 8, 6910, 0.88s, 8
pat8.rcp, 9209, 6, 4599, 0.62s, 11
pat9.rcp, 1355482, 0, 677600, timeout, none
pat10.rcp, 531, 6, 260, 0.03s, 14
pat11.rcp, 685, 4, 339, 0.03s, 18
pat12.rcp, 812630, 0, 406088, timeout, none
pat13.rcp, 606443, 0, 303018, timeout, none
pat14.rcp, 398227, 0, 198540, timeout, none
pat15.rcp, 332582, 0, 165717, timeout, none
pat16.rcp, 2070955, 0, 1035262, timeout, none
pat17.rcp, 992962, 0, 496266, timeout, none
pat18.rcp, 2048599, 0, 1024093, timeout, none
pat19.rcp, 1028732, 0, 514161, timeout, none
pat20.rcp, 3732376, 0, 1865974, timeout, none
pat21.rcp, 3683584, 0, 1841630, timeout, none
pat22.rcp, 1442498, 0, 721034, timeout, none
pat23.rcp, 1016526, 0, 508059, timeout, none
pat24.rcp, 6614328, 0, 3306947, timeout, none
pat25.rcp, 4133221, 0, 2066394, timeout, none
pat26.rcp, 4128062, 0, 2063841, timeout, none
pat27.rcp, 3639821, 0, 1819696, timeout, none
pat28.rcp, 3820686, 0, 1910137, timeout, none
pat29.rcp, 1668108, 0, 833838, timeout, none
pat30.rcp, 4074882, 0, 2037224, timeout, none
pat31.rcp, 4145240, 0, 2072419, timeout, none
pat32.rcp, 965282, 0, 482427, timeout, none
pat33.rcp, 963138, 0, 481365, timeout, none
pat34.rcp, 946852, 0, 473240, timeout, none
pat35.rcp, 1809743, 0, 904656, timeout, none
pat36.rcp, 1443130, 0, 721349, timeout, none
pat37.rcp, 1275968, 0, 637768, timeout, none
pat38.rcp, 1262697, 0, 631140, timeout, none
pat39.rcp, 3375543, 0, 1687555, timeout, none
pat40.rcp, 3106825, 0, 1553196, timeout, none
pat41.rcp, 1753119, 0, 876344, timeout, none
pat42.rcp, 1422019, 0, 710793, timeout, none
pat43.rcp, 1385637, 0, 692671, timeout, none
pat44.rcp, 887404, 0, 443488, timeout, none
pat45.rcp, 763371, 0, 381482, timeout, none
pat46.rcp, 935893, 0, 467732, timeout, none
pat47.rcp, 919043, 0, 459314, timeout, none
pat48.rcp, 815085, 0, 407326, timeout, none
pat49.rcp, 815745, 0, 407654, timeout, none
pat50.rcp, 813594, 0, 406582, timeout, none
pat51.rcp, 1025847, 0, 512709, timeout, none
pat52.rcp, 1017182, 0, 508377, timeout, none
pat53.rcp, 1052681, 0, 526126, timeout, none
pat54.rcp, 1487795, 0, 743797, timeout, none
pat55.rcp, 1605035, 0, 802303, timeout, none
pat56.rcp, 1605220, 0, 802393, timeout, none
pat57.rcp, 792239, 0, 395901, timeout, none
pat58.rcp, 930319, 0, 464825, timeout, none
pat59.rcp, 1903865, 0, 951598, timeout, none
pat60.rcp, 520077, 0, 259706, timeout, none
pat61.rcp, 1698959, 0, 849147, timeout, none
pat62.rcp, 784470, 0, 391901, timeout, none
pat63.rcp, 847500, 0, 423416, timeout, none
pat64.rcp, 2334096, 0, 1166715, timeout, none
pat65.rcp, 677889, 0, 338612, timeout, none
pat66.rcp, 892267, 0, 445801, timeout, none
pat67.rcp, 819268, 0, 409300, timeout, none
pat68.rcp, 686666, 0, 343000, timeout, none
pat69.rcp, 474100, 0, 236718, timeout, none
pat70.rcp, 845877, 0, 422604, timeout, none
pat71.rcp, 635642, 0, 317488, timeout, none
pat72.rcp, 866802, 0, 433132, timeout, none
pat73.rcp, 632596, 0, 315981, timeout, none
pat74.rcp, 1189750, 0, 594542, timeout, none
pat75.rcp, 1196738, 0, 598101, timeout, none
pat76.rcp, 1205445, 0, 602421, timeout, none
pat77.rcp, 970228, 0, 484934, timeout, none
pat78.rcp, 942477, 0, 470995, timeout, none
pat79.rcp, 922901, 0, 461151, timeout, none
pat80.rcp, 889802, 0, 444583, timeout, none
pat81.rcp, 921752, 0, 460542, timeout, none
pat82.rcp, 950562, 0, 474945, timeout, none
pat83.rcp, 931659, 0, 465493, timeout, none
pat84.rcp, 936934, 0, 468131, timeout, none
pat85.rcp, 913531, 0, 456430, timeout, none
pat86.rcp, 936265, 0, 467797, timeout, none
pat87.rcp, 657610, 0, 328473, timeout, none
pat88.rcp, 561656, 0, 280495, timeout, none
pat89.rcp, 1435594, 0, 717464, timeout, none
pat90.rcp, 740521, 0, 369927, timeout, none
pat91.rcp, 632262, 0, 315798, timeout, none
pat92.rcp, 688176, 0, 343754, timeout, none
pat93.rcp, 2502625, 0, 1250978, timeout, none
pat94.rcp, 695224, 0, 347279, timeout, none
pat95.rcp, 649235, 0, 324285, timeout, none
pat96.rcp, 626313, 0, 312823, timeout, none
pat97.rcp, 891591, 0, 445463, timeout, none
pat98.rcp, 990942, 0, 495138, timeout, none
pat99.rcp, 835944, 0, 417638, timeout, none
pat100.rcp, 1003608, 0, 501471, timeout, none
pat101.rcp, 138039, 0, 67773, timeout, none
pat102.rcp, 767880, 0, 382691, timeout, none
pat103.rcp, 343672, 0, 170587, timeout, none
pat104.rcp, 199375, 0, 98440, timeout, none
pat105.rcp, 447850, 0, 222695, timeout, none
pat106.rcp, 113224, 0, 55379, timeout, none
pat107.rcp, 111143, 0, 54326, timeout, none
pat108.rcp, 232693, 0, 115111, timeout, none
pat109.rcp, 159164, 0, 78335, timeout, none
pat110.rcp, 530029, 0, 263767, timeout, none
