problem, nodes, solutions, fails, time, optimum
psp1.sch, 3, 0, 2, 11.28s, unsat
psp2.sch, 610, 0, 290, timeout, none
psp3.sch, 278, 0, 129, timeout, none
psp4.sch, 321, 0, 100, timeout, none
psp5.sch, 237, 0, 63, timeout, none
psp6.sch, 417, 0, 195, timeout, none
psp7.sch, 408, 0, 140, timeout, none
psp8.sch, 439, 0, 178, timeout, none
psp9.sch, 3, 0, 2, 11.25s, unsat
psp10.sch, 3, 0, 2, 11.26s, unsat
psp11.sch, 703, 0, 275, timeout, none
psp12.sch, 798, 0, 317, timeout, none
psp13.sch, 721, 0, 169, timeout, none
psp14.sch, 774, 0, 357, timeout, none
psp15.sch, 757, 0, 352, timeout, none
psp16.sch, 770, 0, 293, timeout, none
psp17.sch, 760, 0, 368, timeout, none
psp18.sch, 629, 0, 202, timeout, none
psp19.sch, 692, 0, 82, timeout, none
psp20.sch, 723, 0, 292, timeout, none
psp21.sch, 763, 0, 247, timeout, none
psp22.sch, 988, 0, 328, timeout, none
psp23.sch, 884, 0, 289, timeout, none
psp24.sch, 691, 0, 159, timeout, none
psp25.sch, 734, 0, 181, timeout, none
psp26.sch, 1079, 1, 440, timeout, 330
psp27.sch, 837, 0, 180, timeout, none
psp28.sch, 813, 0, 329, timeout, none
psp29.sch, 732, 0, 286, timeout, none
psp30.sch, 822, 0, 258, timeout, none
psp31.sch, 3, 0, 2, 11.33s, unsat
psp32.sch, 435, 0, 162, timeout, none
psp33.sch, 487, 0, 232, timeout, none
psp34.sch, 723, 0, 318, timeout, none
psp35.sch, 686, 0, 312, timeout, none
psp36.sch, 491, 0, 217, timeout, none
psp37.sch, 640, 0, 287, timeout, none
psp38.sch, 3, 0, 2, 11.33s, unsat
psp39.sch, 497, 0, 219, timeout, none
psp40.sch, 1, 0, 1, 4.87s, unsat
psp41.sch, 635, 0, 208, timeout, none
psp42.sch, 798, 0, 393, timeout, none
psp43.sch, 802, 0, 336, timeout, none
psp44.sch, 770, 0, 290, timeout, none
psp45.sch, 771, 0, 340, timeout, none
psp46.sch, 759, 0, 349, timeout, none
psp47.sch, 712, 0, 284, timeout, none
psp48.sch, 807, 0, 382, timeout, none
psp49.sch, 803, 0, 338, timeout, none
psp50.sch, 818, 0, 213, timeout, none
psp51.sch, 713, 0, 194, timeout, none
psp52.sch, 734, 0, 290, timeout, none
psp53.sch, 623, 0, 130, timeout, none
psp54.sch, 748, 0, 325, timeout, none
psp55.sch, 656, 0, 155, timeout, none
psp56.sch, 592, 0, 20, timeout, none
psp57.sch, 1039, 0, 378, timeout, none
psp58.sch, 1703, 0, 651, timeout, none
psp59.sch, 826, 0, 349, timeout, none
psp60.sch, 1239, 1, 570, timeout, 527
psp61.sch, 3, 0, 2, 11.37s, unsat
psp62.sch, 656, 0, 298, timeout, none
psp63.sch, 793, 0, 379, timeout, none
psp64.sch, 1, 0, 1, 5.07s, unsat
psp65.sch, 677, 0, 322, timeout, none
psp66.sch, 508, 0, 234, timeout, none
psp67.sch, 684, 0, 331, timeout, none
psp68.sch, 692, 0, 314, timeout, none
psp69.sch, 533, 0, 233, timeout, none
psp70.sch, 624, 0, 295, timeout, none
psp71.sch, 761, 0, 375, timeout, none
psp72.sch, 775, 0, 376, timeout, none
psp73.sch, 780, 0, 366, timeout, none
psp74.sch, 801, 0, 354, timeout, none
psp75.sch, 722, 0, 336, timeout, none
psp76.sch, 761, 0, 252, timeout, none
psp77.sch, 701, 0, 257, timeout, none
psp78.sch, 765, 0, 226, timeout, none
psp79.sch, 685, 0, 238, timeout, none
psp80.sch, 810, 0, 395, timeout, none
psp81.sch, 532, 0, 10, timeout, none
psp82.sch, 694, 0, 204, timeout, none
psp83.sch, 819, 0, 401, timeout, none
psp84.sch, 756, 0, 327, timeout, none
psp85.sch, 764, 0, 297, timeout, none
psp86.sch, 798, 0, 231, timeout, none
psp87.sch, 734, 0, 270, timeout, none
psp88.sch, 1201, 1, 600, 573.95s, 499
psp89.sch, 965, 1, 482, 432.96s, 761
psp90.sch, 755, 0, 234, timeout, none
